X,Y
10.592,5.059
10.598,5.052
10.603,5.047
10.610,5.042
10.616,5.038
10.623,5.034
10.630,5.030
10.638,5.026
10.647,5.022
10.656,5.017
10.665,5.011
10.675,5.004
10.685,4.995
10.697,4.986
10.708,4.975
10.720,4.964
10.733,4.951
10.746,4.938
10.760,4.924
10.774,4.909
10.789,4.894
10.804,4.878
10.820,4.861
10.836,4.844
10.853,4.826
10.870,4.807
10.888,4.789
10.907,4.770
10.925,4.751
10.945,4.731
10.965,4.712
10.985,4.692
11.006,4.672
11.027,4.652
11.049,4.632
11.072,4.613
11.095,4.593
11.118,4.574
11.142,4.555
11.166,4.536
11.191,4.517
11.216,4.498
11.242,4.480
11.268,4.462
11.295,4.444
11.322,4.426
11.350,4.408
11.378,4.390
11.406,4.373
11.435,4.356
11.465,4.339
11.494,4.321
11.524,4.305
11.555,4.288
11.586,4.271
11.617,4.255
11.649,4.238
11.681,4.222
11.714,4.206
11.747,4.189
11.780,4.173
11.814,4.157
11.848,4.142
11.882,4.126
11.917,4.110
11.952,4.095
11.987,4.079
12.023,4.063
12.059,4.048
12.095,4.033
12.132,4.017
12.169,4.002
12.206,3.987
12.244,3.972
12.282,3.956
12.320,3.941
12.359,3.926
12.397,3.911
12.437,3.896
12.476,3.881
12.515,3.866
12.555,3.851
12.595,3.836
12.636,3.821
12.676,3.806
12.717,3.791
12.758,3.776
12.799,3.761
12.841,3.746
12.883,3.731
12.924,3.716
12.966,3.701
13.008,3.686
13.051,3.672
13.093,3.657
13.136,3.642
13.179,3.627
13.222,3.613
13.265,3.598
13.308,3.583
13.351,3.569
13.394,3.554
13.438,3.539
13.481,3.525
13.525,3.510
13.569,3.495
13.613,3.481
13.656,3.466
13.700,3.452
13.744,3.437
13.788,3.423
13.832,3.409
13.876,3.394
13.920,3.380
13.964,3.365
14.008,3.351
14.052,3.337
14.096,3.322
14.140,3.308
14.184,3.294
14.228,3.280
14.272,3.265
14.316,3.251
14.359,3.237
14.403,3.223
14.447,3.209
14.490,3.195
14.533,3.181
14.577,3.167
14.620,3.153
14.663,3.139
14.706,3.125
14.749,3.111
14.792,3.097
14.834,3.083
14.877,3.069
14.920,3.055
14.962,3.042
15.004,3.028
15.047,3.015
15.089,3.001
15.131,2.988
15.173,2.974
15.215,2.961
15.257,2.947
15.299,2.934
15.340,2.921
15.382,2.908
15.424,2.895
15.465,2.882
15.507,2.869
15.548,2.857
15.589,2.844
15.631,2.831
15.672,2.819
15.713,2.807
15.754,2.794
15.795,2.782
15.836,2.770
15.878,2.758
15.918,2.747
15.959,2.735
16.000,2.723
16.041,2.712
16.082,2.701
16.123,2.689
16.163,2.678
16.204,2.667
16.245,2.657
16.285,2.646
16.326,2.635
16.367,2.625
16.407,2.615
16.448,2.605
16.488,2.595
16.529,2.585
16.569,2.575
16.610,2.566
16.650,2.557
16.691,2.547
16.731,2.539
16.772,2.530
16.812,2.521
16.852,2.513
16.893,2.505
16.933,2.497
16.973,2.489
17.013,2.481
17.052,2.474
17.092,2.466
17.132,2.460
17.171,2.453
17.210,2.446
17.249,2.440
17.288,2.434
17.327,2.428
17.365,2.422
17.404,2.417
17.442,2.412
17.480,2.407
17.517,2.402
17.555,2.398
17.592,2.394
17.629,2.390
17.665,2.387
17.702,2.383
17.738,2.380
17.773,2.378
17.809,2.375
17.844,2.373
17.878,2.372
17.913,2.370
17.947,2.369
17.981,2.368
18.014,2.367
18.047,2.367
18.079,2.367
18.111,2.368
18.143,2.369
18.174,2.370
18.205,2.371
18.236,2.373
18.266,2.375
18.295,2.378
18.324,2.381
18.352,2.384
18.380,2.388
18.408,2.393
18.435,2.398
18.461,2.403
18.486,2.409
18.511,2.416
18.536,2.423
18.560,2.431
18.583,2.440
18.605,2.449
18.627,2.459
18.648,2.469
18.668,2.481
18.688,2.493
18.707,2.506
18.725,2.520
18.742,2.534
18.759,2.550
18.774,2.566
18.789,2.583
18.803,2.601
18.816,2.620
18.828,2.640
18.840,2.661
18.850,2.683
18.860,2.706
