X,Y
10.616,5.225
10.631,5.213
10.648,5.202
10.666,5.191
10.686,5.182
10.707,5.173
10.730,5.165
10.754,5.158
10.780,5.151
10.806,5.146
10.834,5.141
10.863,5.136
10.892,5.132
10.923,5.129
10.955,5.126
10.987,5.124
11.020,5.122
11.053,5.121
11.087,5.120
11.122,5.120
11.157,5.120
11.193,5.120
11.228,5.120
11.264,5.121
11.300,5.122
11.336,5.123
11.372,5.125
11.408,5.126
11.444,5.128
11.479,5.130
11.514,5.131
11.549,5.133
11.584,5.135
11.618,5.137
11.652,5.139
11.685,5.141
11.719,5.143
11.751,5.145
11.784,5.147
11.816,5.150
11.848,5.152
11.879,5.154
11.911,5.156
11.941,5.159
11.972,5.161
12.002,5.163
12.031,5.166
12.061,5.168
12.090,5.171
12.118,5.174
12.146,5.176
12.174,5.179
12.202,5.182
12.229,5.184
12.255,5.187
12.282,5.190
12.308,5.193
12.333,5.196
12.358,5.199
12.383,5.202
12.408,5.205
12.432,5.208
12.455,5.211
12.479,5.214
12.502,5.217
12.525,5.220
12.549,5.223
12.572,5.226
12.595,5.230
12.618,5.233
12.641,5.236
12.665,5.239
12.688,5.242
12.712,5.245
12.736,5.248
12.761,5.251
12.786,5.254
12.811,5.256
12.837,5.259
12.863,5.262
12.890,5.264
12.918,5.267
12.946,5.269
12.976,5.272
13.005,5.274
13.036,5.276
13.068,5.278
13.100,5.280
13.133,5.282
13.166,5.284
13.201,5.285
13.236,5.287
13.271,5.288
13.308,5.289
13.344,5.291
13.382,5.292
13.420,5.293
13.458,5.294
13.497,5.295
13.536,5.296
13.576,5.297
13.616,5.297
13.657,5.298
13.698,5.298
13.739,5.299
13.780,5.299
13.822,5.300
13.864,5.300
13.907,5.300
13.949,5.300
13.992,5.300
14.035,5.300
14.078,5.300
14.122,5.300
14.165,5.300
14.208,5.299
14.252,5.299
14.295,5.299
14.339,5.298
14.383,5.298
14.426,5.297
14.469,5.297
14.513,5.296
14.556,5.296
14.599,5.295
14.642,5.294
14.685,5.294
14.727,5.293
14.770,5.292
14.812,5.292
14.854,5.291
14.896,5.291
14.938,5.291
14.979,5.291
15.021,5.291
15.062,5.291
15.102,5.292
15.143,5.293
15.183,5.294
15.223,5.295
15.263,5.296
15.302,5.298
15.341,5.300
15.379,5.303
15.418,5.306
15.456,5.309
