X	Y
18.624	32.286
18.639	32.265
18.657	32.244
18.677	32.223
18.699	32.203
18.723	32.183
18.748	32.163
18.774	32.142
18.801	32.122
18.828	32.101
18.855	32.079
18.881	32.057
18.907	32.034
18.932	32.010
18.956	31.985
18.978	31.959
18.997	31.931
19.015	31.902
19.032	31.871
19.047	31.839
19.061	31.807
19.074	31.772
19.086	31.737
19.099	31.701
19.111	31.663
19.124	31.625
19.137	31.586
19.151	31.546
19.166	31.505
19.182	31.463
19.200	31.421
19.220	31.378
19.242	31.334
19.266	31.290
19.293	31.245
19.323	31.200
19.356	31.154
19.392	31.108
19.431	31.061
19.473	31.014
19.517	30.967
19.564	30.920
19.614	30.872
19.666	30.824
19.720	30.775
19.776	30.727
19.835	30.678
19.896	30.629
19.958	30.580
20.023	30.530
20.089	30.481
20.158	30.431
20.227	30.382
20.299	30.332
20.371	30.283
20.445	30.233
20.520	30.183
20.597	30.134
20.674	30.084
20.753	30.035
20.832	29.986
20.912	29.936
20.993	29.887
21.075	29.838
21.156	29.790
21.239	29.741
21.322	29.693
21.405	29.645
21.488	29.598
21.571	29.550
21.654	29.504
21.737	29.457
21.820	29.411
21.903	29.365
21.985	29.320
22.066	29.275
22.148	29.230
22.229	29.186
22.309	29.142
22.390	29.099
22.470	29.056
22.549	29.013
22.629	28.970
22.708	28.928
22.788	28.886
22.867	28.844
22.946	28.802
23.025	28.760
23.104	28.718
23.183	28.677
23.262	28.635
23.341	28.594
23.420	28.552
23.500	28.511
23.579	28.469
23.659	28.427
23.739	28.385
23.820	28.343
23.900	28.301
23.981	28.259
24.062	28.216
24.144	28.174
24.226	28.131
24.309	28.087
24.392	28.044
24.476	28.000
24.560	27.955
24.645	27.910
24.731	27.865
24.817	27.820
24.904	27.773
24.991	27.727
25.080	27.679
25.169	27.632
25.259	27.583
25.350	27.534
25.441	27.485
25.534	27.435
25.628	27.384
25.722	27.332
25.818	27.280
25.914	27.227
26.011	27.174
26.108	27.120
26.207	27.066
26.305	27.011
26.405	26.956
26.504	26.901
26.604	26.846
26.704	26.791
26.804	26.735
26.904	26.680
27.005	26.625
27.105	26.569
27.205	26.514
27.305	26.460
27.404	26.405
27.503	26.351
27.602	26.297
27.700	26.244
27.797	26.191
27.894	26.139
27.990	26.088
28.086	26.037
28.180	25.987
28.273	25.938
28.366	25.889
28.457	25.842
28.547	25.795
28.636	25.750
28.723	25.706
28.809	25.662
28.893	25.620
28.976	25.580
29.058	25.540
29.137	25.502
29.215	25.466
29.291	25.431
29.365	25.397
29.437	25.366
29.507	25.335
29.575	25.307
29.640	25.280
29.704	25.256
29.764	25.233
29.823	25.212
29.879	25.193
29.932	25.176
29.983	25.161
30.032	25.149
30.079	25.139
30.125	25.131
30.168	25.125
30.209	25.122
30.249	25.122
30.288	25.124
30.325	25.128
30.360	25.136
30.395	25.146
30.429	25.159
30.461	25.175
30.493	25.193
30.524	25.215
30.555	25.240
30.585	25.268
30.615	25.299
30.644	25.333
30.673	25.370
30.702	25.410
30.730	25.452
30.758	25.497
30.785	25.545
30.811	25.595
30.837	25.648
30.863	25.702
30.888	25.759
30.912	25.818
30.936	25.878
30.959	25.941
30.981	26.005
31.002	26.070
31.023	26.137
31.043	26.206
31.063	26.275
31.081	26.346
31.099	26.418
31.116	26.490
31.132	26.564
31.147	26.638
31.161	26.713
31.174	26.788
31.186	26.863
31.198	26.939
31.208	27.015
31.217	27.091
31.225	27.167
31.233	27.243
31.239	27.319
31.244	27.395
31.248	27.471
31.252	27.546
31.254	27.622
31.256	27.697
31.256	27.773
31.256	27.848
31.256	27.922
31.254	27.997
31.252	28.072
31.249	28.146
31.246	28.220
31.241	28.294
31.237	28.367
31.231	28.441
31.226	28.514
31.219	28.586
31.212	28.659
31.205	28.731
31.197	28.803
31.189	28.874
31.181	28.945
31.172	29.016
31.163	29.087
31.154	29.157
31.144	29.227
31.134	29.296
31.124	29.365
31.114	29.433
31.104	29.501
31.094	29.569
31.083	29.636
31.073	29.702
31.062	29.769
31.052	29.834
31.041	29.900
31.030	29.965
31.018	30.030
31.007	30.094
30.995	30.158
30.983	30.222
30.971	30.286
