X	Y
19.005	33.787
19.030	33.762
19.057	33.736
19.086	33.711
19.116	33.686
19.148	33.662
19.182	33.638
19.218	33.614
19.256	33.591
19.296	33.569
19.338	33.547
19.382	33.526
19.428	33.506
19.475	33.486
19.525	33.467
19.577	33.449
19.630	33.432
19.686	33.415
19.744	33.399
19.804	33.385
19.866	33.371
19.930	33.358
19.996	33.346
20.064	33.335
20.134	33.326
20.206	33.317
20.280	33.309
20.356	33.301
20.433	33.295
20.512	33.290
20.593	33.285
20.675	33.281
20.758	33.278
20.843	33.276
20.929	33.274
21.016	33.273
21.104	33.273
21.193	33.273
21.283	33.274
21.375	33.275
21.466	33.277
21.559	33.279
21.652	33.282
21.746	33.286
21.840	33.289
21.935	33.293
22.030	33.298
22.126	33.303
22.222	33.308
22.317	33.313
22.413	33.319
22.509	33.325
22.605	33.331
22.701	33.337
22.796	33.343
22.891	33.350
22.986	33.356
23.080	33.363
23.174	33.369
23.268	33.376
23.360	33.382
23.452	33.389
23.543	33.395
23.634	33.402
23.723	33.408
23.813	33.415
23.901	33.422
23.989	33.428
24.076	33.435
24.162	33.442
24.247	33.450
24.332	33.457
24.417	33.465
24.500	33.473
24.583	33.481
24.665	33.489
24.747	33.498
24.828	33.507
24.908	33.517
24.988	33.527
25.067	33.537
25.145	33.548
25.223	33.559
25.300	33.571
25.376	33.583
25.452	33.596
25.527	33.610
25.601	33.624
25.675	33.638
25.748	33.653
25.820	33.669
25.892	33.686
25.964	33.703
26.034	33.722
26.104	33.740
26.174	33.760
26.242	33.781
26.311	33.802
26.378	33.824
26.445	33.847
26.512	33.870
26.578	33.895
26.643	33.920
26.708	33.945
26.773	33.972
26.837	33.999
26.901	34.027
26.964	34.055
27.027	34.084
27.090	34.114
27.152	34.144
27.214	34.175
27.276	34.207
27.337	34.239
27.398	34.271
27.459	34.304
27.520	34.338
27.581	34.372
27.641	34.406
27.701	34.441
27.761	34.477
27.821	34.513
27.881	34.549
27.940	34.585
28.000	34.622
28.060	34.660
28.119	34.697
28.179	34.736
28.238	34.774
28.297	34.813
28.356	34.852
28.414	34.892
28.472	34.932
28.529	34.973
28.585	35.014
28.640	35.056
28.695	35.098
28.748	35.141
28.800	35.185
28.851	35.229
28.901	35.274
28.948	35.319
28.995	35.366
29.040	35.413
29.082	35.461
29.123	35.510
29.162	35.559
29.199	35.609
29.234	35.661
29.266	35.713
29.296	35.766
29.324	35.820
29.349	35.875
29.371	35.931
29.390	35.988
29.406	36.047
29.420	36.106
29.431	36.166
29.439	36.227
29.445	36.289
29.448	36.351
29.449	36.415
29.447	36.479
29.443	36.544
29.437	36.609
29.429	36.675
29.418	36.742
29.406	36.809
29.391	36.877
29.375	36.945
29.357	37.013
29.337	37.082
29.316	37.151
29.293	37.220
29.268	37.289
29.242	37.358
29.215	37.428
29.186	37.497
29.156	37.567
29.125	37.636
29.093	37.706
29.059	37.775
29.025	37.844
28.990	37.913
28.954	37.981
28.918	38.049
28.880	38.117
28.842	38.185
28.803	38.252
28.764	38.319
28.723	38.385
28.682	38.452
28.640	38.518
28.597	38.583
28.554	38.648
28.509	38.713
28.465	38.778
28.419	38.842
28.372	38.906
28.325	38.970
28.277	39.033
28.229	39.095
28.179	39.158
28.129	39.220
28.078	39.282
28.027	39.343
27.974	39.404
27.921	39.464
27.868	39.525
27.813	39.584
27.758	39.644
27.702	39.703
27.646	39.761
27.589	39.819
27.531	39.877
27.472	39.934
27.413	39.991
27.353	40.048
27.292	40.104
27.231	40.159
27.169	40.215
27.106	40.269
27.043	40.324
26.979	40.377
26.915	40.431
26.850	40.483
26.785	40.536
26.719	40.587
26.652	40.639
26.585	40.689
26.518	40.739
26.451	40.789
26.382	40.838
26.314	40.886
26.245	40.934
26.176	40.981
