X,Y
73.928,31.785
73.938,31.716
73.956,31.644
73.982,31.568
74.013,31.490
74.052,31.410
74.096,31.328
74.145,31.243
74.199,31.157
74.258,31.069
74.320,30.980
74.387,30.889
74.456,30.797
74.528,30.705
74.601,30.612
74.677,30.519
74.754,30.425
74.831,30.332
74.909,30.239
74.987,30.146
75.064,30.054
75.141,29.963
75.215,29.872
75.289,29.783
75.361,29.694
75.431,29.607
75.501,29.520
75.571,29.434
75.639,29.348
75.707,29.262
75.775,29.177
75.843,29.092
75.911,29.007
75.978,28.922
76.047,28.837
76.116,28.752
76.185,28.666
76.255,28.580
76.327,28.494
76.399,28.407
76.473,28.319
76.548,28.230
76.625,28.141
76.704,28.050
76.785,27.958
76.868,27.865
76.953,27.771
77.040,27.676
77.129,27.580
77.220,27.483
77.312,27.385
77.407,27.286
77.503,27.186
77.600,27.086
77.699,26.985
77.800,26.883
77.901,26.781
78.004,26.678
78.109,26.575
78.214,26.472
78.320,26.368
78.428,26.264
78.536,26.160
78.645,26.056
78.755,25.952
78.866,25.848
78.977,25.744
79.089,25.640
79.201,25.537
79.314,25.433
79.427,25.330
79.540,25.228
79.653,25.126
79.767,25.025
79.880,24.924
79.994,24.824
80.108,24.724
80.221,24.625
80.335,24.527
80.448,24.430
80.562,24.334
80.675,24.238
80.789,24.143
80.902,24.049
81.016,23.956
81.129,23.864
81.242,23.773
81.355,23.683
81.468,23.594
81.581,23.505
81.694,23.418
81.806,23.332
81.919,23.247
82.031,23.164
82.143,23.081
82.256,23.000
82.367,22.919
82.479,22.840
82.591,22.763
82.702,22.686
82.813,22.611
82.924,22.537
83.035,22.465
83.145,22.394
83.256,22.325
83.366,22.256
83.475,22.190
83.584,22.125
83.693,22.061
83.801,21.999
83.909,21.939
84.016,21.881
84.123,21.824
84.229,21.768
84.334,21.715
84.439,21.663
84.543,21.613
84.646,21.565
84.748,21.518
84.849,21.474
84.949,21.431
85.049,21.391
85.147,21.352
85.244,21.316
85.340,21.281
85.435,21.248
85.529,21.218
85.621,21.190
85.713,21.163
85.803,21.139
85.892,21.116
85.980,21.096
86.067,21.077
86.153,21.060
86.238,21.044
86.323,21.031
86.406,21.018
86.489,21.007
86.571,20.998
86.652,20.990
86.732,20.983
86.812,20.977
86.892,20.973
86.970,20.970
87.049,20.967
87.126,20.966
87.204,20.966
87.281,20.968
87.357,20.971
87.432,20.975
87.507,20.982
87.582,20.990
87.656,21.000
87.729,21.013
87.801,21.027
87.873,21.045
87.944,21.064
88.015,21.087
88.084,21.112
88.153,21.140
88.221,21.171
88.289,21.204
88.355,21.241
88.420,21.280
88.484,21.322
88.547,21.366
88.608,21.412
88.668,21.460
88.727,21.511
88.784,21.563
88.839,21.618
88.893,21.674
88.944,21.732
88.994,21.791
89.041,21.852
89.087,21.914
89.131,21.978
89.172,22.043
89.212,22.109
89.249,22.177
89.285,22.246
89.319,22.315
89.351,22.387
89.382,22.459
89.410,22.532
89.437,22.607
89.462,22.682
89.486,22.759
89.508,22.836
89.529,22.915
89.548,22.995
89.566,23.075
89.582,23.157
89.597,23.239
89.611,23.323
89.623,23.408
89.634,23.494
89.644,23.582
89.653,23.671
89.661,23.762
89.668,23.854
89.674,23.948
89.679,24.044
89.683,24.141
89.687,24.240
89.689,24.341
89.691,24.444
89.692,24.549
89.693,24.657
89.693,24.766
89.692,24.877
89.691,24.991
89.689,25.106
89.687,25.223
89.683,25.341
89.680,25.461
89.675,25.582
89.670,25.703
89.665,25.826
89.658,25.950
89.651,26.074
89.643,26.198
89.634,26.323
89.625,26.448
89.615,26.573
89.604,26.697
89.592,26.821
89.580,26.945
89.566,27.068
89.552,27.191
89.537,27.312
89.521,27.432
89.504,27.551
89.486,27.669
89.467,27.785
89.448,27.899
89.427,28.012
89.406,28.124
89.384,28.234
89.362,28.342
89.339,28.448
89.315,28.553
89.291,28.657
89.266,28.758
89.240,28.858
89.215,28.957
89.188,29.053
89.162,29.148
89.135,29.242
89.108,29.333
89.081,29.423
89.054,29.511
89.027,29.597
88.999,29.682
88.972,29.765
88.944,29.846
88.916,29.925
88.888,30.002
88.859,30.078
88.828,30.152
88.796,30.224
88.763,30.294
88.727,30.362
88.689,30.428
88.649,30.493
88.606,30.555
88.560,30.616
88.510,30.674
88.457,30.731
88.400,30.786
88.339,30.838
88.274,30.889
88.205,30.938
88.132,30.985
88.055,31.030
87.976,31.074
87.893,31.116
87.808,31.156
87.720,31.194
87.630,31.232
87.538,31.267
87.445,31.302
87.350,31.335
87.254,31.367
87.156,31.397
87.059,31.427
86.960,31.455
86.862,31.483
86.763,31.509
86.665,31.535
86.568,31.559
86.470,31.583
86.373,31.606
86.276,31.629
86.179,31.651
86.082,31.672
85.985,31.692
85.887,31.712
85.789,31.732
85.690,31.751
85.590,31.769
85.490,31.788
85.388,31.806
85.285,31.823
85.181,31.840
85.076,31.857
84.969,31.874
84.860,31.891
84.749,31.908
84.637,31.924
84.523,31.941
84.406,31.957
84.287,31.974
84.167,31.991
84.044,32.008
83.920,32.025
83.795,32.042
83.668,32.059
83.539,32.077
83.409,32.095
83.278,32.113
83.146,32.132
83.013,32.151
82.880,32.170
82.745,32.190
82.610,32.211
82.475,32.232
82.339,32.253
82.203,32.276
82.067,32.298
81.930,32.322
81.794,32.346
81.658,32.371
81.522,32.396
81.387,32.423
81.252,32.450
81.117,32.478
80.984,32.507
80.851,32.537
80.719,32.568
80.588,32.600
80.458,32.632
80.329,32.664
80.201,32.697
80.073,32.730
79.947,32.764
79.822,32.798
79.698,32.831
79.575,32.865
79.454,32.898
79.333,32.931
79.214,32.964
79.096,32.996
