X,Y
74.030,33.010
74.075,32.966
74.129,32.924
74.190,32.885
74.259,32.848
74.333,32.813
74.413,32.780
74.499,32.748
74.588,32.717
74.682,32.688
74.779,32.658
74.878,32.630
74.980,32.601
75.082,32.573
75.186,32.544
75.290,32.514
75.393,32.484
75.496,32.453
75.596,32.420
75.695,32.386
75.793,32.351
75.889,32.315
75.984,32.278
76.079,32.241
76.172,32.202
76.265,32.163
76.357,32.124
76.450,32.085
76.542,32.045
76.634,32.005
76.726,31.965
76.818,31.926
76.911,31.887
77.005,31.848
77.100,31.810
77.196,31.772
77.292,31.735
77.391,31.699
77.490,31.664
77.590,31.630
77.692,31.597
77.794,31.565
77.896,31.534
77.999,31.504
78.102,31.475
78.205,31.447
78.309,31.420
78.411,31.395
78.514,31.370
78.616,31.346
78.717,31.324
78.817,31.302
78.916,31.282
79.013,31.263
79.110,31.246
79.204,31.229
79.298,31.214
79.389,31.200
79.479,31.187
79.568,31.175
79.656,31.164
79.744,31.155
79.831,31.147
79.918,31.139
80.006,31.133
80.094,31.128
80.183,31.124
80.272,31.121
80.363,31.120
80.456,31.119
80.551,31.119
80.647,31.120
80.746,31.122
80.847,31.124
80.951,31.128
81.057,31.133
81.165,31.139
81.275,31.146
81.386,31.154
81.498,31.163
81.611,31.173
81.725,31.185
81.839,31.198
81.953,31.212
82.067,31.228
82.180,31.245
82.293,31.264
82.405,31.284
82.515,31.305
82.624,31.328
82.732,31.353
82.837,31.380
82.940,31.408
83.040,31.438
83.138,31.470
83.234,31.503
83.328,31.538
83.419,31.575
83.510,31.613
83.599,31.652
83.688,31.693
83.775,31.736
83.863,31.779
83.951,31.824
84.039,31.870
84.127,31.916
84.217,31.964
84.308,32.013
84.400,32.063
84.494,32.113
84.590,32.164
84.689,32.216
84.790,32.268
84.894,32.321
85.001,32.375
85.109,32.429
85.220,32.484
85.332,32.539
85.446,32.595
85.560,32.652
85.676,32.710
85.791,32.769
85.908,32.828
86.024,32.888
86.139,32.949
86.254,33.011
86.369,33.074
86.482,33.137
86.593,33.202
86.703,33.268
86.811,33.335
86.916,33.402
87.019,33.471
87.119,33.541
87.216,33.613
87.310,33.685
87.400,33.759
87.486,33.833
87.569,33.910
87.649,33.987
87.725,34.066
87.798,34.147
87.868,34.229
87.935,34.313
87.998,34.398
88.059,34.486
88.117,34.575
88.172,34.666
88.225,34.759
88.275,34.854
88.322,34.951
88.367,35.051
88.409,35.153
88.450,35.257
88.488,35.363
88.523,35.472
88.557,35.583
88.589,35.697
88.618,35.813
88.646,35.930
88.671,36.050
88.695,36.171
88.716,36.293
88.735,36.417
88.752,36.542
88.767,36.667
88.780,36.793
88.791,36.920
88.799,37.047
88.806,37.174
88.810,37.302
88.813,37.429
88.813,37.555
88.811,37.681
88.807,37.806
88.801,37.930
88.793,38.053
88.783,38.175
88.771,38.295
88.757,38.414
88.740,38.531
88.722,38.647
88.702,38.761
88.679,38.874
88.655,38.986
88.629,39.096
88.601,39.205
88.572,39.314
88.540,39.421
88.507,39.527
88.472,39.632
88.436,39.737
88.398,39.841
88.359,39.944
88.317,40.046
88.275,40.148
88.231,40.249
88.186,40.350
88.139,40.451
88.091,40.551
88.042,40.651
87.991,40.751
87.939,40.849
87.886,40.947
87.832,41.044
87.777,41.139
87.721,41.232
87.663,41.324
87.605,41.414
87.546,41.501
87.485,41.587
87.424,41.669
87.362,41.749
87.299,41.826
87.235,41.899
87.171,41.969
87.105,42.035
87.039,42.098
86.972,42.156
86.905,42.210
86.837,42.261
86.768,42.308
86.699,42.352
86.628,42.394
86.557,42.433
86.485,42.470
86.413,42.506
86.339,42.541
86.265,42.575
86.189,42.609
86.113,42.643
86.036,42.677
85.958,42.712
85.879,42.749
85.799,42.786
85.718,42.826
85.636,42.866
85.553,42.907
85.470,42.950
85.385,42.992
85.300,43.035
85.214,43.079
85.127,43.122
85.040,43.165
84.952,43.207
84.864,43.249
84.775,43.290
84.685,43.330
84.595,43.368
84.505,43.405
84.414,43.440
84.323,43.473
84.232,43.504
84.140,43.533
84.048,43.559
83.956,43.583
83.863,43.604
83.769,43.623
83.676,43.639
83.582,43.652
83.487,43.663
83.392,43.670
83.296,43.675
83.200,43.676
83.103,43.674
83.006,43.669
82.907,43.660
82.809,43.648
82.709,43.632
82.609,43.613
82.508,43.590
82.407,43.564
82.305,43.535
82.203,43.502
82.100,43.467
81.997,43.429
81.894,43.388
81.791,43.345
81.688,43.300
81.584,43.253
81.481,43.204
81.379,43.153
81.276,43.101
81.174,43.048
81.073,42.994
80.972,42.939
80.872,42.883
80.772,42.826
80.674,42.770
80.576,42.713
80.479,42.656
80.383,42.599
80.288,42.542
80.194,42.484
80.101,42.427
80.008,42.369
79.915,42.310
79.823,42.251
79.732,42.191
79.640,42.130
79.549,42.069
79.458,42.006
79.366,41.942
79.275,41.877
79.183,41.811
79.092,41.743
78.999,41.674
78.907,41.603
78.813,41.531
78.720,41.456
78.625,41.380
78.530,41.302
78.434,41.222
78.337,41.140
78.239,41.057
78.141,40.972
78.043,40.885
77.944,40.798
77.844,40.709
77.744,40.620
77.644,40.529
77.544,40.438
77.443,40.347
77.343,40.254
77.242,40.162
77.141,40.069
77.041,39.977
76.940,39.884
76.840,39.791
76.740,39.699
76.640,39.608
76.540,39.516
76.441,39.426
76.343,39.336
76.244,39.248
76.147,39.160
76.050,39.074
75.954,38.989
75.859,38.904
75.765,38.820
75.673,38.737
75.582,38.655
75.493,38.573
75.406,38.491
75.321,38.409
75.238,38.327
75.158,38.245
75.081,38.163
75.006,38.081
74.935,37.997
74.867,37.914
74.802,37.829
74.741,37.744
74.684,37.657
74.631,37.570
74.581,37.481
74.537,37.391
74.496,37.299
74.460,37.206
74.428,37.112
74.400,37.017
74.375,36.922
74.353,36.826
74.334,36.731
74.317,36.636
74.303,36.541
74.290,36.447
74.280,36.354
74.270,36.263
74.262,36.173
74.255,36.084
74.248,35.998
74.242,35.914
74.235,35.833
74.228,35.754
74.221,35.679
74.214,35.605
74.206,35.535
74.198,35.466
74.190,35.399
74.182,35.335
74.173,35.271
74.164,35.210
74.155,35.150
74.146,35.090
74.137,35.032
74.128,34.975
74.118,34.918
74.109,34.862
74.099,34.806
74.090,34.750
74.080,34.694
74.071,34.637
74.061,34.580
74.051,34.523
74.042,34.465
74.032,34.405
74.023,34.345
74.014,34.283
74.005,34.221
73.996,34.158
73.987,34.094
73.978,34.029
73.969,33.964
73.961,33.899
73.953,33.834
73.945,33.769
73.937,33.704
73.930,33.639
73.922,33.575
73.916,33.512
73.912,33.449
73.910,33.388
73.911,33.328
73.916,33.270
73.926,33.213
73.941,33.159
73.963,33.107
73.993,33.057
74.030,33.010
