X,Y
10.249,4.088
10.259,4.073
10.270,4.059
10.283,4.046
10.296,4.032
10.311,4.019
10.327,4.007
10.344,3.994
10.362,3.982
10.380,3.970
10.400,3.958
10.421,3.947
10.442,3.935
10.464,3.924
10.487,3.913
10.511,3.902
10.536,3.891
10.561,3.880
10.587,3.869
10.613,3.858
10.640,3.847
10.667,3.837
10.695,3.826
10.724,3.815
10.753,3.804
10.782,3.793
10.811,3.782
10.841,3.770
10.872,3.759
10.902,3.747
10.933,3.735
10.964,3.723
10.995,3.711
11.026,3.699
11.057,3.686
11.089,3.673
11.120,3.660
11.152,3.647
11.184,3.633
11.216,3.619
11.248,3.606
11.280,3.592
11.313,3.578
11.345,3.563
11.378,3.549
11.411,3.535
11.443,3.520
11.476,3.506
11.509,3.491
11.543,3.476
11.576,3.461
11.609,3.447
11.643,3.432
11.676,3.417
11.710,3.402
11.744,3.387
11.778,3.372
11.812,3.357
11.846,3.342
11.880,3.328
11.915,3.313
11.949,3.298
11.983,3.284
12.018,3.269
12.053,3.255
12.087,3.240
12.122,3.226
12.157,3.212
12.192,3.198
12.227,3.184
12.262,3.171
12.297,3.157
12.333,3.144
12.368,3.131
12.403,3.118
12.439,3.105
12.474,3.092
12.510,3.080
12.546,3.068
12.581,3.056
12.617,3.044
12.653,3.033
12.689,3.021
12.725,3.010
12.761,2.999
12.797,2.988
12.833,2.977
12.870,2.967
12.906,2.956
12.942,2.946
12.979,2.936
13.015,2.925
13.052,2.915
13.089,2.905
13.125,2.895
13.162,2.886
13.199,2.876
13.236,2.866
13.273,2.857
13.310,2.847
13.348,2.838
13.385,2.828
13.422,2.819
13.460,2.809
13.498,2.800
13.535,2.791
13.573,2.781
13.611,2.772
13.649,2.762
13.687,2.753
13.725,2.744
13.763,2.734
13.801,2.725
13.840,2.715
13.878,2.705
13.917,2.696
13.955,2.686
13.994,2.676
14.033,2.666
14.072,2.656
14.111,2.646
14.150,2.636
14.189,2.625
14.228,2.615
14.268,2.604
14.307,2.594
14.347,2.583
14.386,2.572
14.426,2.561
14.466,2.550
14.505,2.539
14.545,2.528
14.585,2.517
14.625,2.505
14.664,2.494
14.704,2.482
14.744,2.471
14.784,2.460
14.824,2.448
14.864,2.437
14.903,2.425
14.943,2.413
14.983,2.402
15.022,2.390
15.062,2.379
15.101,2.367
15.141,2.355
15.180,2.344
15.219,2.332
15.258,2.321
15.297,2.309
15.336,2.298
15.375,2.287
15.414,2.275
15.452,2.264
15.491,2.253
15.529,2.242
15.567,2.231
15.605,2.220
15.643,2.209
15.680,2.198
15.718,2.187
15.755,2.177
