X,Y
9.822,4.964
9.831,4.954
9.843,4.944
9.857,4.934
9.873,4.925
9.891,4.917
9.910,4.908
9.931,4.901
9.953,4.893
9.977,4.886
10.001,4.878
10.026,4.871
10.052,4.864
10.077,4.857
10.104,4.850
10.130,4.842
10.156,4.835
10.181,4.827
10.206,4.819
10.230,4.810
10.254,4.801
10.276,4.791
10.296,4.781
10.316,4.770
10.333,4.759
10.349,4.747
10.363,4.734
10.375,4.720
10.385,4.706
10.394,4.691
10.402,4.676
10.409,4.661
10.416,4.646
10.422,4.631
10.427,4.616
10.433,4.601
10.439,4.587
10.445,4.573
10.451,4.559
10.458,4.546
10.467,4.534
10.476,4.523
10.487,4.513
10.499,4.504
10.513,4.496
10.528,4.489
10.545,4.483
10.563,4.478
10.582,4.474
10.603,4.471
10.625,4.468
10.648,4.467
10.672,4.466
10.698,4.465
10.724,4.466
10.752,4.467
10.781,4.468
10.811,4.471
10.841,4.473
10.873,4.476
10.906,4.480
10.939,4.484
10.973,4.488
11.009,4.493
11.044,4.497
11.081,4.502
11.118,4.508
11.156,4.513
11.194,4.518
11.233,4.524
11.273,4.530
11.312,4.535
11.353,4.541
11.394,4.546
11.435,4.551
11.476,4.557
11.518,4.561
11.560,4.566
11.603,4.571
11.645,4.576
11.688,4.580
11.731,4.584
11.775,4.589
11.819,4.593
11.863,4.597
11.907,4.601
11.951,4.605
11.996,4.608
12.041,4.612
12.086,4.616
12.131,4.620
12.176,4.623
12.222,4.627
12.267,4.630
12.313,4.634
12.359,4.637
12.405,4.640
12.451,4.644
12.497,4.647
12.543,4.651
12.590,4.654
12.636,4.658
12.682,4.661
12.729,4.665
12.775,4.668
12.822,4.672
12.868,4.676
12.914,4.680
12.961,4.683
13.007,4.687
13.053,4.691
13.100,4.695
13.146,4.700
13.192,4.704
13.238,4.708
13.284,4.713
13.330,4.717
13.376,4.722
13.421,4.727
13.466,4.732
13.512,4.737
13.557,4.743
13.602,4.748
13.647,4.754
13.691,4.760
13.735,4.766
13.780,4.772
13.824,4.778
13.867,4.785
13.911,4.792
13.954,4.799
13.998,4.806
14.041,4.813
14.084,4.821
14.127,4.828
14.169,4.836
14.212,4.844
14.254,4.852
14.296,4.861
14.338,4.869
14.380,4.878
14.422,4.887
14.463,4.896
14.505,4.905
14.546,4.915
14.587,4.924
14.628,4.934
14.669,4.944
14.710,4.954
14.750,4.965
14.791,4.975
14.831,4.986
14.871,4.997
14.911,5.008
14.951,5.020
14.991,5.031
15.031,5.043
15.071,5.055
15.110,5.067
15.150,5.079
15.189,5.092
15.228,5.104
15.267,5.117
15.306,5.130
15.345,5.143
15.384,5.157
15.423,5.170
15.462,5.184
15.501,5.198
15.539,5.212
15.578,5.227
15.616,5.241
15.654,5.256
15.692,5.271
15.730,5.286
15.768,5.302
15.806,5.317
15.843,5.333
15.881,5.349
15.918,5.366
15.955,5.382
15.991,5.399
16.027,5.416
16.064,5.434
16.099,5.451
16.135,5.469
16.170,5.488
16.205,5.506
16.239,5.525
16.273,5.544
16.307,5.563
16.340,5.583
16.373,5.603
16.406,5.623
16.438,5.644
16.470,5.664
16.501,5.686
16.532,5.707
16.562,5.729
16.592,5.751
16.621,5.774
16.650,5.797
16.678,5.820
16.706,5.844
16.733,5.868
16.759,5.892
16.785,5.917
16.811,5.942
16.835,5.967
16.859,5.993
16.883,6.019
16.905,6.046
16.927,6.073
16.949,6.100
16.969,6.128
16.989,6.156
17.009,6.184
17.027,6.213
17.045,6.241
17.062,6.270
17.079,6.299
17.095,6.329
17.110,6.358
17.124,6.388
17.138,6.418
17.151,6.447
17.163,6.477
17.174,6.507
17.185,6.537
17.195,6.567
17.204,6.597
17.212,6.627
17.220,6.657
17.227,6.687
17.233,6.717
17.238,6.746
17.242,6.776
17.246,6.805
17.249,6.834
17.251,6.863
17.252,6.892
17.253,6.920
17.252,6.949
17.251,6.977
17.249,7.004
17.246,7.032
17.243,7.059
