X,Y
45.749,13.264
45.763,13.215
45.782,13.165
45.805,13.114
45.832,13.062
45.864,13.008
45.900,12.954
45.940,12.898
45.984,12.841
46.031,12.783
46.082,12.725
46.137,12.665
46.195,12.605
46.257,12.544
46.322,12.483
46.390,12.421
46.461,12.358
46.534,12.295
46.611,12.231
46.690,12.168
46.772,12.104
46.856,12.039
46.943,11.975
47.032,11.911
47.123,11.846
47.216,11.782
47.311,11.718
47.408,11.654
47.506,11.590
47.606,11.527
47.707,11.464
47.810,11.401
47.914,11.339
48.019,11.278
48.126,11.217
48.233,11.157
48.341,11.098
48.450,11.039
48.559,10.981
48.670,10.923
48.781,10.866
48.893,10.810
49.006,10.754
49.119,10.699
49.233,10.644
49.347,10.590
49.462,10.536
49.577,10.483
49.693,10.430
49.809,10.378
49.926,10.327
50.043,10.276
50.160,10.225
50.277,10.174
50.395,10.125
50.513,10.075
50.631,10.026
50.749,9.977
50.867,9.929
50.985,9.881
51.103,9.833
51.220,9.786
51.338,9.739
51.456,9.692
51.573,9.646
51.691,9.600
51.808,9.554
51.924,9.508
52.041,9.462
52.157,9.417
52.272,9.372
52.387,9.327
52.502,9.283
52.616,9.238
52.729,9.194
52.842,9.150
52.954,9.106
53.066,9.062
53.177,9.018
53.287,8.974
53.396,8.930
53.504,8.886
53.612,8.843
53.719,8.799
53.826,8.756
53.931,8.712
54.037,8.669
54.141,8.625
54.246,8.582
54.350,8.539
54.453,8.496
54.556,8.452
54.659,8.409
54.762,8.366
54.865,8.323
54.967,8.280
55.070,8.237
55.172,8.194
55.275,8.150
55.377,8.107
55.480,8.064
55.583,8.021
55.686,7.978
55.789,7.935
55.893,7.892
55.997,7.849
56.101,7.806
56.206,7.763
56.311,7.720
56.417,7.677
56.524,7.634
56.631,7.591
56.739,7.547
56.848,7.504
56.957,7.461
57.067,7.418
57.179,7.374
57.291,7.331
57.404,7.288
57.518,7.244
57.633,7.201
57.750,7.157
57.867,7.113
57.986,7.070
58.105,7.026
58.226,6.982
58.348,6.939
58.471,6.895
58.595,6.851
58.720,6.808
58.845,6.764
58.972,6.720
59.099,6.677
59.227,6.633
59.356,6.590
59.485,6.546
59.615,6.503
59.745,6.460
59.877,6.417
60.008,6.374
60.140,6.331
60.273,6.288
60.406,6.246
60.539,6.203
60.673,6.161
60.807,6.119
60.941,6.077
61.075,6.036
61.209,5.994
61.344,5.953
61.479,5.912
61.613,5.872
61.748,5.831
61.882,5.791
62.017,5.751
62.151,5.712
62.286,5.673
62.420,5.634
62.553,5.595
62.687,5.557
62.820,5.519
62.953,5.481
63.085,5.444
63.217,5.407
63.348,5.371
63.479,5.335
63.610,5.299
63.739,5.264
63.868,5.229
63.997,5.195
64.124,5.161
64.251,5.128
64.377,5.095
64.503,5.062
64.627,5.030
64.751,4.999
64.874,4.968
64.997,4.937
65.119,4.907
65.240,4.878
65.361,4.848
65.481,4.820
65.601,4.792
65.720,4.764
65.839,4.737
65.957,4.710
66.075,4.684
66.193,4.658
66.310,4.633
66.427,4.609
66.544,4.584
66.661,4.561
66.777,4.537
66.893,4.515
67.009,4.493
67.125,4.471
67.241,4.450
67.357,4.429
67.473,4.409
67.589,4.389
67.705,4.370
67.821,4.352
67.937,4.333
68.053,4.316
68.170,4.299
68.286,4.282
68.403,4.266
68.521,4.251
68.638,4.236
68.756,4.221
68.874,4.207
68.992,4.194
69.111,4.181
69.231,4.169
69.351,4.157
69.471,4.146
69.592,4.135
69.713,4.125
69.835,4.115
69.957,4.106
70.080,4.097
70.203,4.089
70.327,4.082
70.451,4.075
70.575,4.069
70.700,4.064
70.825,4.059
70.950,4.055
71.075,4.052
71.200,4.050
71.326,4.048
71.452,4.047
71.578,4.046
71.704,4.047
71.830,4.048
71.956,4.050
72.082,4.052
72.208,4.056
72.334,4.060
72.460,4.066
72.586,4.072
72.711,4.079
72.837,4.087
72.962,4.095
73.087,4.105
73.212,4.116
73.337,4.127
73.461,4.140
73.585,4.153
73.709,4.168
73.832,4.183
73.955,4.200
74.078,4.217
74.200,4.236
74.321,4.255
74.442,4.276
74.563,4.298
74.682,4.321
74.802,4.345
74.920,4.370
75.038,4.396
75.156,4.423
75.272,4.452
75.388,4.481
75.503,4.512
75.618,4.544
75.731,4.576
75.843,4.610
75.955,4.644
76.065,4.680
76.175,4.716
76.283,4.754
76.390,4.792
76.496,4.830
76.600,4.870
76.703,4.910
76.805,4.951
76.906,4.993
77.005,5.035
77.102,5.078
77.198,5.122
77.292,5.166
77.385,5.210
77.476,5.256
77.565,5.301
77.653,5.347
77.739,5.393
77.822,5.440
77.904,5.487
77.984,5.534
78.062,5.582
78.138,5.629
78.212,5.677
78.284,5.725
78.353,5.774
78.420,5.822
78.485,5.871
78.548,5.919
78.608,5.968
78.666,6.016
78.721,6.065
78.774,6.114
78.825,6.163
78.873,6.212
78.919,6.262
78.962,6.313
79.003,6.365
79.041,6.417
79.077,6.470
79.111,6.525
79.142,6.580
79.170,6.637
79.197,6.695
79.220,6.754
79.242,6.815
79.260,6.878
79.277,6.943
79.290,7.009
79.302,7.077
79.311,7.148
79.317,7.220
79.321,7.295
79.322,7.373
79.321,7.452
79.318,7.534
79.312,7.619
79.304,7.705
79.293,7.794
79.280,7.884
79.266,7.977
79.249,8.071
79.230,8.167
79.209,8.265
79.186,8.364
79.162,8.465
79.135,8.567
79.107,8.670
79.077,8.775
79.046,8.880
79.012,8.987
78.978,9.094
78.942,9.202
78.904,9.311
78.866,9.421
78.825,9.531
78.784,9.642
78.742,9.753
78.698,9.864
78.653,9.976
78.607,10.087
78.561,10.199
78.513,10.310
78.465,10.421
78.416,10.532
78.366,10.643
78.315,10.753
78.264,10.863
78.212,10.972
78.160,11.080
78.107,11.188
78.054,11.294
78.001,11.400
77.947,11.504
77.893,11.608
77.839,11.710
77.785,11.811
77.730,11.911
77.675,12.010
77.620,12.109
77.564,12.206
77.509,12.302
77.452,12.398
77.396,12.492
77.339,12.586
77.282,12.679
77.225,12.772
77.167,12.863
77.109,12.954
77.051,13.045
76.992,13.134
76.933,13.224
76.874,13.312
76.814,13.400
76.754,13.488
76.693,13.575
76.632,13.662
76.571,13.748
76.509,13.834
76.447,13.919
76.384,14.005
76.321,14.090
76.258,14.175
76.194,14.259
76.130,14.344
76.065,14.428
76.000,14.512
75.934,14.596
75.868,14.680
75.801,14.764
75.734,14.848
75.667,14.932
75.599,15.016
75.530,15.101
75.461,15.185
75.392,15.270
75.322,15.354
75.252,15.439
75.181,15.523
75.110,15.608
75.038,15.693
74.966,15.777
74.894,15.862
74.822,15.947
74.749,16.032
74.676,16.116
74.603,16.201
74.530,16.286
74.456,16.370
74.382,16.455
74.308,16.539
74.234,16.623
74.160,16.707
74.085,16.791
74.011,16.875
73.936,16.959
73.862,17.043
73.787,17.126
73.713,17.209
73.638,17.292
73.564,17.375
73.489,17.458
73.415,17.540
73.340,17.622
73.266,17.704
73.192,17.786
73.118,17.867
73.044,17.948
72.971,18.029
72.897,18.109
72.824,18.190
72.751,18.269
72.679,18.349
72.607,18.428
72.535,18.506
72.463,18.585
72.391,18.662
72.320,18.740
72.248,18.816
72.176,18.892
72.105,18.967
72.033,19.042
71.961,19.116
71.889,19.188
71.816,19.260
71.743,19.331
71.670,19.401
71.596,19.470
71.521,19.538
71.446,19.604
71.370,19.670
71.294,19.734
71.216,19.797
71.138,19.858
71.059,19.918
70.979,19.976
70.897,20.033
70.815,20.089
70.732,20.142
70.647,20.194
70.561,20.245
70.473,20.293
70.384,20.340
70.294,20.385
70.202,20.428
70.109,20.468
70.014,20.507
69.917,20.544
69.818,20.578
69.718,20.611
69.616,20.641
69.511,20.669
69.406,20.694
69.298,20.718
69.188,20.739
69.077,20.759
68.965,20.776
68.851,20.792
68.735,20.805
68.618,20.817
68.500,20.828
68.381,20.836
68.260,20.843
68.139,20.848
68.016,20.852
67.893,20.854
67.768,20.855
67.643,20.854
67.517,20.852
67.390,20.849
67.263,20.845
67.135,20.840
67.006,20.833
66.877,20.825
66.748,20.817
66.618,20.807
66.488,20.797
66.358,20.786
66.228,20.774
66.098,20.761
65.968,20.748
65.837,20.734
65.707,20.719
65.578,20.704
65.448,20.689
65.319,20.673
65.190,20.657
65.062,20.641
64.934,20.624
64.807,20.607
64.680,20.590
64.555,20.573
64.430,20.556
64.305,20.539
64.182,20.523
64.060,20.506
63.939,20.489
63.818,20.473
63.699,20.457
63.580,20.441
63.463,20.425
63.346,20.410
63.230,20.395
63.114,20.380
62.999,20.365
62.885,20.350
62.772,20.336
62.659,20.322
62.547,20.308
62.435,20.295
62.324,20.281
62.213,20.268
62.102,20.256
61.992,20.243
61.882,20.231
61.773,20.219
61.663,20.207
61.554,20.196
61.445,20.185
61.336,20.175
61.228,20.164
61.119,20.154
61.010,20.145
60.902,20.135
60.793,20.126
60.684,20.118
60.576,20.110
60.467,20.102
60.357,20.094
60.248,20.087
60.138,20.080
60.028,20.074
59.918,20.068
59.807,20.063
59.696,20.058
59.584,20.053
59.472,20.049
59.360,20.045
59.247,20.041
59.133,20.038
59.019,20.035
58.905,20.033
58.790,20.031
58.675,20.029
58.560,20.028
58.445,20.027
58.329,20.026
58.213,20.025
58.096,20.025
57.980,20.025
57.864,20.025
57.747,20.025
57.630,20.026
57.513,20.026
57.397,20.027
57.280,20.028
57.163,20.029
57.046,20.030
56.929,20.032
56.813,20.033
56.696,20.034
56.580,20.036
56.464,20.037
56.348,20.039
56.232,20.040
56.116,20.041
56.001,20.043
55.886,20.044
55.772,20.045
55.658,20.046
55.544,20.048
55.430,20.048
55.317,20.049
55.205,20.050
55.093,20.050
54.982,20.051
54.871,20.051
54.760,20.051
54.651,20.051
54.542,20.050
54.433,20.049
54.325,20.048
54.218,20.046
54.112,20.044
54.007,20.041
53.902,20.037
53.798,20.033
53.695,20.028
53.593,20.023
53.492,20.016
53.392,20.008
53.293,20.000
53.195,19.990
53.098,19.979
53.002,19.968
52.907,19.954
52.814,19.940
52.721,19.924
52.630,19.907
52.540,19.888
52.451,19.867
52.364,19.845
52.278,19.822
52.193,19.796
52.110,19.769
52.028,19.740
51.947,19.709
51.869,19.676
51.791,19.641
51.715,19.604
51.641,19.565
51.568,19.523
51.497,19.479
51.428,19.433
