X,Y
46.474,15.543
46.526,15.510
46.585,15.479
46.651,15.451
46.725,15.426
46.806,15.404
46.893,15.384
46.987,15.368
47.087,15.353
47.193,15.342
47.304,15.332
47.421,15.325
47.542,15.321
47.669,15.318
47.800,15.318
47.935,15.320
48.074,15.324
48.217,15.330
48.364,15.337
48.513,15.347
48.666,15.358
48.821,15.371
48.979,15.386
49.138,15.403
49.300,15.420
49.463,15.440
49.627,15.460
49.793,15.482
49.959,15.505
50.125,15.529
50.292,15.555
50.459,15.581
50.626,15.609
50.792,15.637
50.957,15.666
51.121,15.696
51.284,15.726
51.445,15.758
51.604,15.789
51.761,15.822
51.915,15.854
52.067,15.887
52.216,15.921
52.363,15.955
52.507,15.989
52.649,16.023
52.789,16.058
52.926,16.093
53.062,16.129
53.195,16.165
53.326,16.201
53.456,16.238
53.584,16.275
53.710,16.312
53.835,16.350
53.958,16.388
54.080,16.426
54.200,16.465
54.319,16.504
54.438,16.544
54.555,16.584
54.671,16.624
54.786,16.664
54.901,16.705
55.015,16.747
55.128,16.788
55.241,16.830
55.353,16.872
55.465,16.915
55.577,16.958
55.689,17.001
55.800,17.045
55.912,17.089
56.024,17.134
56.136,17.178
56.248,17.223
56.360,17.269
56.473,17.314
56.587,17.361
56.701,17.407
56.816,17.454
56.932,17.501
57.048,17.548
57.164,17.596
57.281,17.644
57.399,17.692
57.516,17.741
57.635,17.789
57.753,17.838
57.872,17.887
57.991,17.937
58.110,17.986
58.230,18.036
58.350,18.086
58.470,18.135
58.590,18.186
58.710,18.236
58.830,18.286
58.951,18.336
59.071,18.387
59.191,18.437
59.311,18.488
59.431,18.539
59.551,18.589
59.671,18.640
59.790,18.690
59.910,18.741
60.029,18.792
60.147,18.842
60.266,18.893
60.384,18.943
60.501,18.993
60.619,19.044
60.735,19.094
60.852,19.144
60.967,19.194
61.083,19.243
61.197,19.293
61.311,19.342
61.425,19.392
61.538,19.441
61.650,19.490
61.762,19.539
61.873,19.588
61.984,19.638
62.094,19.687
62.203,19.737
62.312,19.786
62.420,19.836
62.528,19.886
62.635,19.936
62.742,19.987
62.848,20.037
62.953,20.089
63.058,20.140
63.162,20.192
63.266,20.244
63.369,20.296
63.471,20.349
63.573,20.403
63.674,20.457
63.775,20.511
63.875,20.567
63.974,20.622
64.073,20.679
64.171,20.735
