X,Y
23.636,32.230
23.683,32.180
23.752,32.140
23.837,32.107
23.937,32.080
24.047,32.057
24.164,32.037
24.285,32.017
24.407,31.997
24.527,31.974
24.641,31.947
24.752,31.918
24.859,31.889
24.964,31.860
25.067,31.834
25.169,31.812
25.270,31.795
25.372,31.785
25.476,31.784
25.582,31.792
25.689,31.809
25.798,31.834
25.908,31.864
26.018,31.899
26.129,31.938
26.239,31.979
26.349,32.021
26.459,32.062
26.566,32.101
26.673,32.138
26.778,32.172
26.883,32.205
26.987,32.236
27.092,32.267
27.197,32.297
27.303,32.327
27.410,32.358
27.519,32.391
27.630,32.425
27.742,32.460
27.856,32.497
27.970,32.536
28.085,32.576
28.199,32.617
28.312,32.660
28.424,32.704
28.534,32.750
28.642,32.796
28.746,32.844
28.848,32.893
28.947,32.943
29.045,32.995
29.142,33.049
29.239,33.105
29.337,33.164
29.435,33.225
29.536,33.290
29.638,33.358
29.744,33.429
29.853,33.504
29.965,33.582
30.080,33.662
30.198,33.744
30.318,33.827
30.441,33.912
30.567,33.998
30.694,34.084
30.823,34.169
30.955,34.255
31.088,34.339
31.222,34.422
31.358,34.503
31.494,34.583
31.627,34.662
31.757,34.741
31.882,34.820
32.000,34.899
32.109,34.980
32.209,35.061
32.297,35.144
32.372,35.230
32.433,35.318
32.477,35.408
32.505,35.502
32.516,35.598
32.512,35.696
32.494,35.796
32.461,35.896
32.415,35.996
32.356,36.096
32.284,36.196
32.201,36.294
32.108,36.390
32.005,36.485
31.894,36.576
31.776,36.665
31.653,36.750
31.525,36.831
31.395,36.907
31.262,36.979
31.128,37.045
30.994,37.105
30.862,37.159
30.733,37.207
30.606,37.248
30.482,37.284
30.359,37.316
30.237,37.344
30.116,37.371
29.995,37.396
29.875,37.420
29.753,37.446
29.630,37.473
29.505,37.502
29.379,37.535
29.250,37.570
29.119,37.607
28.986,37.646
28.851,37.685
28.714,37.723
28.575,37.760
28.434,37.794
28.292,37.825
28.147,37.853
28.001,37.875
27.852,37.892
27.703,37.903
27.551,37.907
27.399,37.906
27.247,37.899
27.095,37.887
26.944,37.870
26.795,37.850
26.647,37.826
26.502,37.798
26.359,37.768
26.220,37.735
26.085,37.701
25.955,37.665
25.830,37.628
25.709,37.589
25.593,37.548
25.482,37.506
25.375,37.460
25.272,37.412
25.173,37.360
25.078,37.305
24.988,37.246
24.900,37.183
24.817,37.116
24.736,37.044
24.659,36.970
24.586,36.894
24.515,36.816
24.447,36.738
24.382,36.659
24.319,36.581
24.259,36.504
24.201,36.429
24.146,36.355
24.093,36.281
24.043,36.207
23.994,36.133
23.949,36.056
23.906,35.978
23.865,35.897
23.826,35.813
23.791,35.726
23.758,35.635
23.727,35.541
23.700,35.444
23.675,35.342
23.654,35.238
23.635,35.129
23.620,35.017
23.607,34.903
23.596,34.788
23.587,34.674
23.579,34.564
23.572,34.457
23.566,34.358
23.559,34.266
23.552,34.184
23.544,34.112
23.536,34.048
23.529,33.989
23.524,33.931
23.523,33.872
23.527,33.807
23.534,33.736
23.544,33.661
23.555,33.583
23.566,33.503
23.575,33.422
23.580,33.342
23.581,33.263
23.580,33.186
23.577,33.111
23.575,33.040
23.575,32.972
23.579,32.907
23.589,32.847
23.602,32.792
23.617,32.742
23.630,32.698
23.639,32.661
23.643,32.629
23.640,32.593
23.632,32.548
23.619,32.490
23.607,32.425
23.602,32.357
23.610,32.291
23.636,32.230
