X	Y
347.000	158.000
347.504	157.563
348.229	157.175
349.142	156.815
350.211	156.467
351.402	156.111
352.685	155.729
354.026	155.302
355.392	154.812
356.753	154.240
358.074	153.568
359.324	152.777
360.486	151.857
361.568	150.816
362.583	149.663
363.543	148.406
364.462	147.055
365.351	145.618
366.224	144.104
367.091	142.523
367.967	140.882
368.863	139.192
369.792	137.461
370.766	135.697
371.798	133.911
372.901	132.109
374.086	130.303
375.366	128.500
376.748	126.706
378.231	124.922
379.811	123.146
381.484	121.378
383.248	119.618
385.100	117.866
387.035	116.120
389.052	114.380
391.146	112.645
393.315	110.915
395.556	109.190
397.865	107.469
400.239	105.752
402.674	104.037
405.169	102.324
407.719	100.614
410.321	98.904
412.973	97.196
415.670	95.487
418.410	93.779
421.190	92.069
424.006	90.358
426.855	88.645
429.735	86.930
432.641	85.212
435.571	83.490
438.522	81.767
441.491	80.045
444.477	78.325
447.476	76.611
450.486	74.905
453.505	73.208
456.530	71.523
459.559	69.853
462.589	68.199
465.617	66.565
468.642	64.951
471.660	63.361
474.670	61.797
477.668	60.261
480.653	58.755
483.621	57.282
486.571	55.843
489.500	54.442
492.404	53.080
495.283	51.760
498.133	50.485
500.951	49.255
503.736	48.074
506.485	46.943
509.195	45.866
511.864	44.845
514.490	43.880
517.069	42.976
519.601	42.134
522.085	41.352
524.523	40.629
526.916	39.965
529.266	39.357
531.573	38.804
533.840	38.304
536.066	37.857
538.253	37.460
540.403	37.113
542.517	36.814
544.595	36.561
546.640	36.354
548.651	36.190
550.632	36.069
552.582	35.988
554.503	35.947
556.396	35.943
558.263	35.977
560.104	36.045
561.919	36.149
563.706	36.289
565.463	36.466
567.187	36.681
568.877	36.934
570.530	37.227
572.145	37.561
573.720	37.936
575.252	38.353
576.739	38.813
578.180	39.318
579.571	39.867
580.912	40.463
582.201	41.105
583.434	41.795
584.612	42.535
585.732	43.328
586.795	44.176
587.799	45.081
588.742	46.045
589.624	47.071
590.444	48.161
591.200	49.317
591.892	50.541
592.519	51.837
593.078	53.206
593.571	54.649
593.998	56.164
594.361	57.747
594.663	59.394
594.904	61.104
595.088	62.872
595.216	64.695
595.289	66.570
595.309	68.494
595.279	70.463
595.200	72.475
595.075	74.525
594.904	76.612
594.690	78.731
594.434	80.879
594.139	83.053
593.807	85.250
593.437	87.467
593.031	89.701
592.587	91.951
592.107	94.214
591.590	96.488
591.035	98.769
590.444	101.057
589.816	103.349
589.150	105.641
588.448	107.933
587.708	110.221
586.931	112.503
586.117	114.777
585.266	117.040
584.378	119.291
583.452	121.526
582.489	123.744
581.489	125.942
580.452	128.118
579.377	130.269
578.265	132.394
577.116	134.490
575.931	136.560
574.711	138.603
573.456	140.620
572.168	142.611
570.847	144.576
569.495	146.516
568.111	148.432
566.697	150.323
565.254	152.190
563.782	154.034
562.282	155.854
560.755	157.652
559.202	159.427
557.624	161.181
556.022	162.913
554.396	164.623
552.746	166.313
551.075	167.983
549.383	169.632
547.670	171.262
545.937	172.871
544.181	174.460
542.402	176.026
540.599	177.569
538.770	179.088
536.915	180.582
535.033	182.049
533.122	183.490
531.182	184.903
529.210	186.287
527.208	187.642
525.172	188.965
523.102	190.257
520.998	191.516
518.857	192.741
516.679	193.932
514.463	195.087
512.208	196.206
509.913	197.287
507.576	198.329
505.196	199.332
502.776	200.296
500.318	201.221
497.827	202.110
495.307	202.963
492.764	203.782
490.201	204.567
487.623	205.322
485.034	206.046
482.440	206.741
479.843	207.409
477.249	208.051
474.662	208.668
472.087	209.262
469.527	209.833
466.988	210.384
464.474	210.916
461.989	211.429
459.538	211.926
457.125	212.407
454.754	212.875
452.431	213.330
450.159	213.774
447.942	214.207
445.781	214.630
443.672	215.041
441.608	215.436
439.586	215.813
437.601	216.170
435.647	216.505
433.721	216.815
431.816	217.097
429.929	217.349
428.055	217.568
426.188	217.753
424.324	217.901
422.458	218.009
420.586	218.074
418.702	218.095
416.801	218.069
414.880	217.994
412.935	217.867
410.975	217.689
409.008	217.459
407.043	217.179
405.090	216.849
403.158	216.469
401.256	216.039
399.393	215.560
397.578	215.032
395.821	214.456
394.131	213.832
392.517	213.160
390.988	212.441
389.553	211.674
388.222	210.862
387.003	210.002
385.902	209.100
384.901	208.167
383.979	207.220
383.116	206.273
382.289	205.342
381.478	204.442
380.662	203.590
379.818	202.801
378.927	202.090
377.966	201.473
376.914	200.965
375.761	200.572
374.530	200.269
373.248	200.026
371.946	199.813
370.654	199.597
369.399	199.349
368.211	199.038
367.120	198.633
366.155	198.104
365.344	197.419
364.717	196.549
364.270	195.496
363.969	194.291
363.781	192.967
363.669	191.559
363.600	190.100
363.537	188.623
363.446	187.162
363.292	185.751
363.040	184.422
362.655	183.210
362.102	182.148
361.353	181.263
360.425	180.543
359.355	179.961
358.176	179.489
356.926	179.099
355.640	178.764
354.353	178.456
353.100	178.147
351.917	177.810
350.839	177.418
349.902	176.941
349.130	176.364
348.510	175.695
348.024	174.951
347.654	174.148
347.381	173.299
347.188	172.423
347.057	171.532
346.969	170.644
346.912	169.767
346.882	168.906
346.876	168.062
346.889	167.239
346.917	166.439
346.957	165.665
347.006	164.919
347.056	164.203
347.100	163.512
347.125	162.842
347.120	162.186
347.076	161.541
346.981	160.900
346.843	160.264
346.715	159.643
346.659	159.050
346.733	158.498
347.000	158.000
