X,Y
42.200,21.954
42.259,21.925
42.336,21.908
42.427,21.901
42.530,21.901
42.642,21.907
42.758,21.916
42.877,21.925
42.994,21.933
43.108,21.937
43.215,21.936
43.317,21.931
43.414,21.922
43.508,21.910
43.601,21.897
43.693,21.884
43.786,21.871
43.881,21.860
43.980,21.853
44.083,21.848
44.189,21.847
44.299,21.848
44.410,21.852
44.524,21.857
44.639,21.863
44.754,21.870
44.870,21.878
44.985,21.885
45.099,21.891
45.212,21.897
45.323,21.903
45.434,21.908
45.543,21.914
45.651,21.919
45.758,21.926
45.865,21.933
45.970,21.942
46.075,21.952
46.179,21.964
46.282,21.977
46.385,21.992
46.488,22.008
46.591,22.026
46.694,22.045
46.798,22.065
46.902,22.085
47.007,22.107
47.114,22.129
47.221,22.152
47.329,22.175
47.437,22.198
47.545,22.221
47.652,22.244
47.759,22.267
47.864,22.289
47.966,22.309
48.067,22.329
48.165,22.348
48.261,22.366
48.354,22.383
48.446,22.399
48.536,22.416
48.625,22.434
48.713,22.452
48.800,22.471
48.888,22.492
48.975,22.515
49.063,22.539
49.151,22.566
49.239,22.593
49.328,22.623
49.419,22.654
49.510,22.686
49.603,22.721
49.698,22.756
49.794,22.794
49.892,22.832
49.993,22.872
50.095,22.913
50.200,22.954
50.308,22.996
50.418,23.038
50.531,23.081
50.647,23.124
50.766,23.167
50.885,23.210
51.003,23.254
51.118,23.299
51.228,23.344
51.332,23.390
51.428,23.437
51.515,23.485
51.590,23.535
51.652,23.587
51.701,23.640
51.740,23.695
51.774,23.753
51.803,23.813
51.833,23.877
51.865,23.944
51.901,24.015
51.942,24.088
51.985,24.164
52.031,24.243
52.078,24.322
52.125,24.403
52.173,24.484
52.219,24.565
52.263,24.646
52.306,24.727
52.346,24.808
52.386,24.890
52.423,24.971
52.458,25.053
52.492,25.136
52.523,25.220
52.553,25.305
52.580,25.390
52.603,25.475
52.624,25.560
52.640,25.644
52.652,25.727
52.659,25.808
52.660,25.887
52.656,25.965
52.647,26.043
52.634,26.122
52.616,26.204
52.593,26.289
52.567,26.379
52.537,26.476
52.504,26.579
52.468,26.686
52.429,26.796
52.388,26.907
52.345,27.018
52.301,27.125
52.255,27.227
52.208,27.323
52.161,27.409
52.114,27.486
52.067,27.552
52.020,27.610
51.974,27.665
51.930,27.719
51.887,27.775
51.846,27.836
51.807,27.906
51.771,27.983
51.736,28.067
51.702,28.156
51.668,28.248
51.634,28.343
51.600,28.438
51.565,28.532
51.528,28.624
51.489,28.713
51.449,28.800
51.408,28.884
51.367,28.966
51.325,29.046
51.284,29.125
51.244,29.203
51.205,29.280
51.167,29.357
51.129,29.432
51.089,29.505
51.047,29.576
51.001,29.643
50.949,29.707
50.891,29.765
50.826,29.818
50.753,29.866
50.674,29.911
50.591,29.952
50.503,29.992
50.412,30.031
50.319,30.071
50.225,30.111
50.131,30.153
50.038,30.198
49.944,30.244
49.851,30.292
49.757,30.339
49.663,30.387
49.568,30.434
49.472,30.480
49.375,30.523
49.276,30.565
49.176,30.603
49.075,30.640
48.973,30.674
48.869,30.706
48.765,30.737
48.660,30.767
48.554,30.796
48.449,30.826
48.343,30.855
48.237,30.886
48.131,30.917
48.025,30.948
47.920,30.980
47.816,31.012
47.712,31.043
47.610,31.075
47.508,31.105
47.409,31.135
47.310,31.164
47.213,31.192
47.118,31.219
47.024,31.244
46.931,31.268
46.838,31.291
46.745,31.312
46.653,31.333
46.559,31.352
46.466,31.369
46.371,31.385
46.276,31.399
46.181,31.411
46.086,31.419
45.992,31.424
45.898,31.425
45.805,31.421
45.713,31.412
45.623,31.397
45.534,31.377
45.449,31.353
45.366,31.324
45.287,31.292
45.213,31.257
45.143,31.220
45.078,31.180
45.018,31.139
44.962,31.096
44.908,31.050
44.855,31.000
44.802,30.947
44.748,30.890
44.692,30.829
44.633,30.763
44.572,30.693
44.508,30.620
44.442,30.544
44.375,30.466
44.305,30.385
44.234,30.302
44.160,30.218
44.086,30.133
44.010,30.046
43.934,29.958
43.857,29.868
43.781,29.775
43.704,29.680
43.629,29.582
43.555,29.481
43.482,29.376
43.411,29.268
43.342,29.156
43.276,29.040
43.212,28.920
43.151,28.796
43.092,28.670
43.035,28.541
42.979,28.410
42.926,28.277
42.875,28.142
42.825,28.006
42.776,27.869
42.730,27.732
42.684,27.594
42.640,27.457
42.597,27.320
42.554,27.184
42.513,27.050
42.472,26.918
42.432,26.789
42.392,26.663
42.353,26.540
42.313,26.421
42.274,26.307
42.234,26.198
42.194,26.094
42.154,25.996
42.114,25.902
42.074,25.813
42.034,25.725
41.995,25.640
41.958,25.554
41.922,25.468
41.888,25.380
41.855,25.290
41.826,25.197
41.799,25.102
41.775,25.006
41.756,24.909
41.740,24.814
41.730,24.720
41.724,24.630
41.724,24.542
41.729,24.459
41.740,24.380
41.754,24.302
41.770,24.227
41.788,24.152
41.806,24.077
41.823,24.001
41.839,23.922
41.854,23.842
41.867,23.761
41.879,23.678
41.892,23.594
41.904,23.510
41.916,23.426
41.930,23.341
41.944,23.257
41.959,23.173
41.974,23.090
41.990,23.008
42.007,22.927
42.023,22.848
42.040,22.770
42.057,22.694
42.073,22.620
42.087,22.546
42.100,22.473
42.110,22.400
42.116,22.327
42.119,22.254
42.120,22.181
42.125,22.112
42.136,22.050
42.160,21.996
42.200,21.954
