X	Y
361.000	172.000
362.551	171.221
364.397	170.556
366.515	170.000
368.881	169.545
371.470	169.185
374.257	168.913
377.219	168.721
380.332	168.605
383.571	168.555
386.911	168.567
390.330	168.632
393.801	168.744
397.302	168.897
400.808	169.084
404.294	169.297
407.737	169.531
411.112	169.778
414.395	170.031
417.569	170.286
420.640	170.544
423.617	170.808
426.510	171.079
429.326	171.361
432.076	171.654
434.768	171.962
437.411	172.287
440.016	172.630
442.590	172.996
445.143	173.384
447.684	173.799
450.222	174.242
452.766	174.715
455.325	175.221
457.909	175.763
460.526	176.341
463.175	176.958
465.845	177.612
468.529	178.305
471.215	179.035
473.894	179.803
476.557	180.609
479.194	181.452
481.795	182.333
484.352	183.251
486.853	184.206
489.290	185.198
491.652	186.227
493.931	187.293
496.117	188.396
498.199	189.535
500.170	190.710
502.029	191.922
503.785	193.171
505.445	194.455
507.019	195.775
508.513	197.132
509.937	198.524
511.298	199.951
512.604	201.415
513.865	202.914
515.087	204.448
516.279	206.018
517.449	207.623
518.590	209.261
519.677	210.925
520.683	212.610
521.579	214.311
522.340	216.020
522.938	217.733
523.346	219.442
523.537	221.143
523.484	222.828
523.159	224.493
522.538	226.132
521.628	227.738
520.454	229.309
519.040	230.838
517.413	232.323
515.596	233.757
513.615	235.138
511.496	236.460
509.263	237.719
506.941	238.910
504.556	240.029
502.132	241.071
499.695	242.032
497.270	242.907
494.878	243.694
492.522	244.394
490.196	245.014
487.896	245.558
485.616	246.032
483.351	246.440
481.097	246.789
478.849	247.084
476.600	247.328
474.348	247.529
472.086	247.691
469.810	247.819
467.514	247.918
465.194	247.995
462.847	248.053
460.484	248.098
458.120	248.134
455.771	248.166
453.451	248.198
451.176	248.236
448.960	248.284
446.820	248.346
444.769	248.427
442.824	248.532
440.998	248.665
439.308	248.831
437.769	249.035
436.383	249.280
435.120	249.569
433.948	249.906
432.832	250.291
431.739	250.727
430.635	251.217
429.485	251.763
428.258	252.366
426.946	253.015
425.560	253.685
424.113	254.354
422.615	254.997
421.080	255.592
419.518	256.114
417.942	256.541
416.364	256.848
414.796	257.013
413.248	257.028
411.726	256.935
410.235	256.783
408.782	256.620
407.371	256.496
406.009	256.458
404.700	256.556
403.450	256.838
402.264	257.347
401.137	258.057
400.056	258.886
399.009	259.754
397.983	260.581
396.966	261.286
395.946	261.788
394.909	262.006
393.847	261.884
392.758	261.446
391.644	260.728
390.505	259.767
389.342	258.600
388.157	257.265
386.951	255.798
385.723	254.238
384.477	252.619
383.211	250.980
381.933	249.331
380.648	247.670
379.366	245.992
378.094	244.294
376.839	242.571
375.610	240.820
374.415	239.037
373.260	237.217
372.155	235.357
371.106	233.452
370.121	231.499
369.209	229.494
368.376	227.434
367.615	225.332
366.914	223.208
366.261	221.083
365.643	218.977
365.049	216.909
364.465	214.901
363.879	212.973
363.279	211.144
362.653	209.435
361.987	207.867
361.270	206.459
360.492	205.229
359.669	204.157
358.840	203.198
358.040	202.307
357.308	201.438
356.681	200.545
356.195	199.582
355.887	198.506
355.761	197.304
355.784	196.001
355.919	194.626
356.131	193.206
356.384	191.769
356.644	190.342
356.874	188.954
357.038	187.631
357.122	186.387
357.141	185.205
357.118	184.068
357.072	182.957
357.025	181.856
356.997	180.745
357.010	179.607
357.091	178.440
357.274	177.263
357.596	176.098
358.094	174.968
358.803	173.893
359.759	172.897
361.000	172.000
