X,Y
45.744,17.692
45.741,17.656
45.743,17.615
45.751,17.570
45.764,17.520
45.782,17.466
45.805,17.408
45.832,17.347
45.863,17.282
45.899,17.215
45.939,17.144
45.983,17.071
46.031,16.995
46.082,16.917
46.137,16.838
46.195,16.756
46.256,16.673
46.320,16.589
46.387,16.504
46.457,16.418
46.529,16.332
46.603,16.245
46.679,16.159
46.758,16.072
46.838,15.986
46.920,15.901
47.003,15.817
47.088,15.733
47.174,15.650
47.261,15.569
47.349,15.487
47.439,15.407
47.530,15.327
47.621,15.248
47.714,15.170
47.807,15.092
47.902,15.015
47.997,14.938
48.092,14.862
48.188,14.786
48.285,14.710
48.382,14.635
48.479,14.560
48.577,14.485
48.675,14.411
48.773,14.336
48.871,14.262
48.969,14.188
49.067,14.114
49.165,14.040
49.262,13.966
49.360,13.892
49.457,13.818
49.554,13.744
49.650,13.669
49.745,13.595
49.840,13.520
49.935,13.444
50.028,13.369
50.121,13.293
50.213,13.216
50.303,13.140
50.393,13.062
50.482,12.984
50.570,12.906
50.657,12.828
50.744,12.749
50.830,12.670
50.915,12.591
51.000,12.511
51.084,12.431
51.167,12.351
51.251,12.271
51.334,12.191
51.416,12.110
51.499,12.030
51.581,11.950
51.663,11.869
51.745,11.789
51.827,11.709
51.909,11.629
51.992,11.549
52.074,11.469
52.157,11.389
52.240,11.310
52.324,11.231
52.407,11.152
52.492,11.073
52.577,10.995
52.662,10.917
52.748,10.840
52.835,10.763
52.923,10.687
53.011,10.611
53.100,10.536
53.191,10.461
53.282,10.387
53.374,10.314
53.467,10.241
53.561,10.168
53.656,10.096
53.751,10.024
53.848,9.953
53.945,9.883
54.042,9.812
54.141,9.742
54.239,9.673
54.339,9.604
54.439,9.535
54.540,9.466
54.641,9.398
54.743,9.329
54.845,9.261
54.947,9.194
55.050,9.126
55.153,9.059
55.257,8.991
55.361,8.924
55.465,8.857
55.569,8.790
55.674,8.723
55.778,8.656
55.883,8.588
55.988,8.521
56.093,8.454
56.198,8.387
56.303,8.320
56.408,8.252
56.513,8.184
