X	Y
364.000	214.000
364.567	212.962
365.263	211.884
366.083	210.767
367.022	209.610
368.072	208.416
369.230	207.184
370.488	205.914
371.841	204.609
373.284	203.267
374.811	201.890
376.416	200.479
378.093	199.033
379.836	197.554
381.640	196.043
383.500	194.498
385.408	192.923
387.361	191.316
389.351	189.678
391.373	188.011
393.422	186.314
395.491	184.589
397.577	182.836
399.677	181.056
401.791	179.251
403.916	177.421
406.052	175.568
408.196	173.693
410.348	171.797
412.507	169.882
414.670	167.948
416.836	165.997
419.004	164.030
421.173	162.048
423.341	160.053
425.506	158.046
427.668	156.027
429.824	153.998
431.975	151.960
434.117	149.915
436.249	147.864
438.371	145.807
440.481	143.746
442.577	141.683
444.659	139.618
446.723	137.552
448.770	135.487
450.798	133.425
452.805	131.365
454.790	129.310
456.752	127.260
458.689	125.218
460.602	123.181
462.493	121.152
464.361	119.129
466.209	117.112
468.038	115.101
469.849	113.095
471.643	111.096
473.421	109.102
475.185	107.113
476.935	105.129
478.673	103.149
480.400	101.175
482.118	99.204
483.826	97.238
485.527	95.276
487.222	93.318
488.912	91.364
490.598	89.412
492.281	87.464
493.963	85.519
495.644	83.577
497.326	81.638
499.010	79.701
500.697	77.766
502.389	75.833
504.086	73.902
505.790	71.973
507.500	70.049
509.217	68.131
510.940	66.222
512.670	64.325
514.407	62.442
516.150	60.576
517.900	58.729
519.656	56.903
521.419	55.101
523.188	53.325
524.964	51.579
526.746	49.863
528.534	48.182
530.329	46.537
532.131	44.930
533.938	43.365
535.752	41.843
537.573	40.368
539.399	38.941
541.232	37.565
543.071	36.242
544.916	34.976
546.768	33.768
548.626	32.621
550.490	31.536
552.361	30.510
554.239	29.543
556.126	28.632
558.021	27.775
559.924	26.971
561.838	26.217
563.761	25.511
565.695	24.853
567.640	24.239
569.597	23.668
571.566	23.138
573.547	22.646
575.542	22.193
577.551	21.774
579.573	21.388
581.611	21.035
583.663	20.710
585.732	20.413
587.817	20.142
589.919	19.895
592.035	19.672
594.160	19.474
596.288	19.304
598.413	19.163
600.531	19.055
602.633	18.980
604.716	18.942
606.773	18.941
608.799	18.980
610.787	19.061
612.732	19.187
614.629	19.358
616.470	19.578
618.252	19.848
619.967	20.170
621.610	20.546
623.175	20.979
624.657	21.470
626.050	22.022
627.349	22.634
628.556	23.304
629.672	24.027
630.701	24.796
631.643	25.608
632.502	26.457
633.279	27.338
633.977	28.246
634.598	29.176
635.143	30.124
635.617	31.084
636.020	32.051
636.352	33.021
636.609	33.995
636.782	34.972
636.864	35.952
636.848	36.938
636.726	37.928
636.491	38.924
636.136	39.926
635.653	40.934
635.035	41.949
634.277	42.972
633.389	44.004
632.383	45.045
631.275	46.098
630.076	47.164
628.800	48.244
627.461	49.339
626.071	50.451
624.644	51.581
623.194	52.730
621.734	53.900
620.277	55.092
618.836	56.307
617.425	57.547
616.058	58.813
614.747	60.105
613.505	61.427
612.347	62.778
611.275	64.159
610.289	65.571
609.385	67.011
608.561	68.481
607.815	69.979
607.144	71.505
606.545	73.059
606.016	74.641
605.555	76.249
605.159	77.884
604.825	79.545
604.552	81.232
604.336	82.944
604.176	84.681
604.068	86.442
604.010	88.228
604.000	90.038
604.034	91.870
604.109	93.724
604.221	95.600
604.366	97.495
604.540	99.410
604.739	101.343
604.960	103.293
605.198	105.259
605.450	107.240
605.713	109.236
605.982	111.245
606.253	113.266
606.523	115.299
606.787	117.342
607.043	119.394
607.286	121.455
607.512	123.524
607.718	125.599
607.899	127.679
608.053	129.764
608.176	131.853
608.269	133.944
608.333	136.037
608.367	138.131
608.372	140.224
608.349	142.316
608.298	144.405
608.218	146.491
608.111	148.573
607.977	150.650
607.817	152.721
607.630	154.784
607.416	156.839
607.177	158.885
606.913	160.920
606.624	162.945
606.310	164.957
605.972	166.956
605.610	168.941
605.225	170.911
604.816	172.864
604.384	174.801
603.930	176.722
603.453	178.627
602.955	180.516
602.434	182.389
601.891	184.247
601.327	186.090
600.741	187.917
600.134	189.730
599.507	191.528
598.858	193.312
598.189	195.082
597.500	196.839
596.791	198.581
596.062	200.310
595.314	202.027
594.546	203.730
593.758	205.420
592.952	207.098
592.127	208.763
591.279	210.414
590.407	212.049
589.506	213.664
588.575	215.259
587.609	216.832
586.606	218.380
585.563	219.900
584.477	221.392
583.344	222.853
582.162	224.281
580.928	225.674
579.639	227.030
578.291	228.347
576.881	229.622
575.408	230.854
