X	Y
363.000	238.000
363.652	237.226
364.565	236.525
365.725	235.894
367.118	235.329
368.730	234.826
370.547	234.380
372.555	233.988
374.740	233.647
377.088	233.352
379.585	233.099
382.218	232.884
384.972	232.705
387.833	232.555
390.788	232.433
393.823	232.334
396.923	232.253
400.075	232.188
403.264	232.134
406.478	232.088
409.701	232.045
412.920	232.001
416.123	231.954
419.306	231.904
422.469	231.852
425.610	231.800
428.729	231.749
431.823	231.700
434.893	231.654
437.936	231.613
440.952	231.579
443.940	231.552
446.898	231.534
449.826	231.526
452.722	231.530
455.585	231.546
458.415	231.577
461.209	231.623
463.967	231.686
466.688	231.767
469.371	231.868
472.014	231.990
474.617	232.133
477.178	232.301
479.697	232.493
482.171	232.711
484.601	232.956
486.984	233.231
489.323	233.535
491.617	233.870
493.869	234.237
496.079	234.636
498.249	235.069
500.379	235.537
502.472	236.040
504.528	236.580
506.549	237.157
508.536	237.773
510.490	238.428
512.412	239.123
514.303	239.859
516.166	240.638
518.000	241.460
519.808	242.326
521.590	243.237
523.348	244.194
525.082	245.197
526.793	246.244
528.481	247.333
530.145	248.461
531.785	249.625
533.402	250.824
534.996	252.055
536.565	253.315
538.111	254.603
539.633	255.915
541.132	257.250
542.606	258.604
544.056	259.976
545.483	261.364
546.885	262.764
548.263	264.175
549.617	265.593
550.947	267.018
552.248	268.449
553.518	269.891
554.749	271.347
555.939	272.819
557.081	274.311
558.171	275.826
559.204	277.367
560.175	278.937
561.079	280.540
561.912	282.178
562.669	283.855
563.343	285.574
563.932	287.338
564.430	289.150
564.831	291.013
565.132	292.931
565.334	294.901
565.443	296.919
565.469	298.979
565.418	301.075
565.298	303.200
565.117	305.349
564.884	307.516
564.605	309.695
564.288	311.881
563.941	314.067
563.572	316.247
563.189	318.416
562.799	320.568
562.410	322.697
562.030	324.797
561.666	326.862
561.327	328.887
561.020	330.865
560.751	332.792
560.517	334.670
560.312	336.503
560.131	338.297
559.968	340.055
559.818	341.781
559.674	343.480
559.530	345.157
559.382	346.816
559.224	348.460
559.049	350.095
558.852	351.725
558.628	353.354
558.370	354.986
558.073	356.627
557.732	358.279
557.343	359.940
556.903	361.606
556.410	363.273
555.862	364.934
555.255	366.586
554.587	368.224
553.857	369.843
553.060	371.439
552.195	373.006
551.259	374.540
550.249	376.035
549.163	377.489
547.998	378.895
546.753	380.248
545.423	381.545
544.013	382.784
542.529	383.967
540.982	385.095
539.380	386.173
537.731	387.201
536.045	388.183
534.331	389.121
532.596	390.017
530.851	390.874
529.103	391.694
527.362	392.480
525.636	393.233
523.934	393.957
522.265	394.654
520.638	395.325
519.062	395.975
517.542	396.604
516.075	397.217
514.653	397.817
513.269	398.407
511.915	398.992
510.583	399.574
509.267	400.157
507.958	400.744
506.649	401.340
505.333	401.947
504.002	402.569
502.649	403.209
501.266	403.872
499.846	404.559
498.393	405.271
496.910	406.002
495.404	406.749
493.880	407.510
492.344	408.280
490.800	409.057
489.254	409.836
487.712	410.615
486.179	411.390
484.660	412.157
483.161	412.913
481.687	413.655
480.244	414.378
478.838	415.081
477.470	415.757
476.136	416.399
474.831	416.997
473.549	417.542
472.283	418.025
471.029	418.436
469.781	418.767
468.532	419.008
467.277	419.150
466.010	419.184
464.725	419.101
463.417	418.891
462.082	418.551
460.722	418.083
459.338	417.490
457.930	416.775
456.499	415.941
455.047	414.989
453.573	413.924
452.080	412.747
450.567	411.461
449.037	410.070
447.489	408.575
445.924	406.980
444.345	405.287
442.751	403.500
441.143	401.620
439.522	399.650
437.890	397.594
436.247	395.456
434.593	393.241
432.930	390.956
431.259	388.605
429.580	386.195
427.893	383.732
426.201	381.220
424.503	378.665
422.800	376.074
421.093	373.451
419.383	370.803
417.671	368.135
415.958	365.453
414.243	362.762
412.529	360.068
410.815	357.377
409.103	354.694
407.394	352.025
405.687	349.376
403.985	346.752
402.287	344.159
400.595	341.602
398.909	339.088
397.230	336.622
395.559	334.209
393.897	331.855
392.245	329.565
390.607	327.336
388.988	325.166
387.393	323.052
385.826	320.991
384.291	318.981
382.795	317.018
381.340	315.101
379.932	313.225
378.576	311.389
377.275	309.589
376.035	307.823
374.860	306.088
373.756	304.382
372.725	302.700
371.774	301.042
370.907	299.404
370.128	297.782
369.443	296.175
368.855	294.580
368.364	292.994
367.960	291.418
367.632	289.850
367.368	288.291
367.159	286.739
366.992	285.196
366.857	283.659
366.741	282.129
366.635	280.606
366.527	279.090
366.406	277.578
366.261	276.073
366.081	274.572
365.855	273.076
365.585	271.587
365.284	270.108
364.961	268.643
364.629	267.195
364.300	265.767
363.984	264.363
363.692	262.987
363.438	261.642
363.231	260.331
363.083	259.058
363.006	257.826
363.011	256.639
363.097	255.497
363.243	254.391
363.425	253.316
363.622	252.264
363.810	251.228
363.966	250.199
364.067	249.172
364.090	248.137
364.012	247.089
363.819	246.022
363.541	244.944
363.224	243.864
362.911	242.796
362.649	241.749
362.482	240.734
362.455	239.764
362.613	238.849
363.000	238.000
