X	Y
358.000	117.000
358.561	116.023
359.324	115.083
360.276	114.175
361.402	113.296
362.689	112.440
364.123	111.604
365.691	110.783
367.379	109.973
369.172	109.169
371.058	108.368
373.022	107.565
375.051	106.756
377.130	105.936
379.247	105.102
381.387	104.248
383.537	103.371
385.694	102.471
387.857	101.549
390.027	100.607
392.204	99.647
394.388	98.671
396.581	97.681
398.782	96.677
400.992	95.663
403.211	94.639
405.440	93.608
407.679	92.572
409.928	91.531
412.188	90.488
414.459	89.445
416.742	88.403
419.038	87.365
421.345	86.331
423.666	85.304
426.000	84.286
428.347	83.277
430.709	82.281
433.085	81.298
435.476	80.330
437.882	79.378
440.303	78.443
442.741	77.527
445.194	76.630
447.664	75.755
450.151	74.901
452.656	74.072
455.177	73.267
457.717	72.488
460.275	71.737
462.852	71.014
465.448	70.321
468.063	69.660
470.697	69.031
473.352	68.435
476.027	67.875
478.722	67.351
481.439	66.864
484.177	66.417
486.937	66.009
489.718	65.642
492.519	65.313
495.335	65.020
498.165	64.760
501.005	64.530
503.852	64.326
506.703	64.146
509.555	63.987
512.406	63.847
515.251	63.721
518.089	63.608
520.916	63.504
523.729	63.406
526.525	63.312
529.301	63.218
532.055	63.122
534.782	63.020
537.481	62.911
540.147	62.790
542.779	62.655
545.373	62.503
547.926	62.331
550.435	62.136
552.897	61.916
555.312	61.669
557.680	61.398
560.005	61.106
562.287	60.796
564.530	60.469
566.734	60.130
568.903	59.779
571.038	59.421
573.142	59.058
575.215	58.693
577.261	58.327
579.281	57.965
581.278	57.608
583.253	57.260
585.208	56.922
587.146	56.599
589.069	56.291
590.978	56.003
592.874	55.738
594.755	55.501
596.616	55.302
598.452	55.147
600.260	55.044
602.035	55.000
603.772	55.024
605.467	55.122
607.116	55.303
608.715	55.574
610.259	55.942
611.744	56.415
613.165	57.001
614.518	57.707
615.799	58.540
617.006	59.499
618.140	60.575
619.201	61.760
620.188	63.047
621.103	64.427
621.945	65.892
622.715	67.435
623.413	69.047
624.038	70.719
624.592	72.445
625.075	74.216
625.486	76.023
625.826	77.860
626.095	79.717
626.297	81.590
626.438	83.479
626.525	85.381
626.565	87.298
626.566	89.227
626.534	91.169
626.476	93.123
626.400	95.088
626.313	97.064
626.221	99.050
626.132	101.045
626.052	103.049
625.990	105.061
625.951	107.081
625.944	109.107
625.974	111.140
626.049	113.179
626.165	115.221
626.312	117.264
626.477	119.307
626.649	121.345
626.818	123.378
626.971	125.401
627.098	127.413
627.187	129.411
627.226	131.393
627.205	133.355
627.111	135.296
626.935	137.213
626.663	139.103
626.285	140.964
625.790	142.792
625.165	144.587
624.402	146.345
623.505	148.064
622.485	149.745
621.352	151.385
620.117	152.985
618.793	154.544
617.390	156.060
615.918	157.533
614.389	158.963
612.815	160.347
611.205	161.686
609.572	162.979
607.926	164.224
606.278	165.422
604.639	166.570
603.021	167.669
601.434	168.717
599.889	169.715
598.382	170.660
596.905	171.553
595.448	172.394
594.003	173.183
592.560	173.918
591.110	174.600
589.643	175.229
588.151	175.804
586.625	176.324
585.054	176.791
583.430	177.202
581.744	177.559
579.987	177.860
578.149	178.106
576.228	178.297
574.231	178.439
572.165	178.535
570.035	178.588
567.848	178.603
565.611	178.584
563.330	178.534
561.012	178.458
558.663	178.359
556.289	178.242
553.897	178.110
551.494	177.967
549.085	177.818
546.678	177.665
544.279	177.513
541.894	177.367
539.530	177.229
537.194	177.104
534.891	176.995
532.626	176.907
530.396	176.838
528.197	176.788
526.023	176.757
523.870	176.743
521.733	176.747
519.607	176.767
517.488	176.802
515.371	176.853
513.251	176.919
511.123	176.998
508.983	177.091
506.826	177.196
504.647	177.313
502.442	177.441
500.205	177.580
497.933	177.728
495.620	177.886
493.261	178.053
490.856	178.227
488.408	178.407
485.922	178.592
483.402	178.780
480.854	178.970
478.282	179.160
475.690	179.348
473.084	179.534
470.467	179.715
467.844	179.891
465.220	180.059
462.600	180.218
459.989	180.367
457.390	180.504
454.808	180.627
452.249	180.736
449.716	180.828
447.215	180.902
444.749	180.957
442.325	180.991
439.945	181.002
437.615	180.990
435.337	180.951
433.112	180.885
430.939	180.788
428.820	180.660
426.754	180.498
424.743	180.299
422.786	180.062
420.885	179.784
419.039	179.464
417.249	179.100
415.516	178.688
413.839	178.228
412.220	177.717
410.659	177.153
409.157	176.535
407.713	175.859
406.325	175.126
404.985	174.343
403.683	173.516
402.409	172.652
401.153	171.759
399.906	170.842
398.658	169.909
397.400	168.966
396.121	168.021
394.813	167.080
393.464	166.150
392.067	165.238
390.610	164.351
389.086	163.496
387.496	162.675
385.852	161.888
384.167	161.135
382.452	160.416
380.719	159.731
378.980	159.080
377.247	158.463
375.532	157.880
373.847	157.330
372.203	156.813
370.613	156.330
369.089	155.880
367.641	155.463
366.283	155.079
365.026	154.727
363.873	154.389
362.826	154.045
361.886	153.671
361.054	153.245
360.331	152.745
359.719	152.148
359.218	151.432
358.830	150.575
358.549	149.576
358.363	148.454
358.262	147.231
358.234	145.928
358.266	144.566
358.347	143.167
358.465	141.750
358.609	140.338
358.767	138.951
358.927	137.611
359.077	136.338
359.210	135.136
359.318	133.994
359.397	132.900
359.441	131.844
359.444	130.812
359.401	129.795
359.305	128.780
359.151	127.755
358.934	126.710
358.659	125.639
358.356	124.548
358.055	123.445
357.786	122.338
357.581	121.234
357.469	120.140
357.481	119.065
357.648	118.016
358.000	117.000
