X	Y
360.000	145.000
361.212	144.304
362.659	143.718
364.325	143.237
366.197	142.857
368.261	142.575
370.502	142.386
372.906	142.286
375.458	142.271
378.145	142.337
380.953	142.480
383.866	142.696
386.870	142.981
389.952	143.331
393.097	143.741
396.291	144.208
399.519	144.728
402.768	145.296
406.022	145.908
409.268	146.561
412.492	147.250
415.678	147.972
418.814	148.721
421.884	149.495
424.875	150.289
427.771	151.099
430.560	151.920
433.225	152.750
435.756	153.583
438.152	154.420
440.424	155.260
442.581	156.104
444.632	156.953
446.588	157.807
448.458	158.667
450.253	159.533
451.980	160.406
453.651	161.287
455.275	162.175
456.862	163.072
458.421	163.979
459.962	164.895
461.494	165.821
463.028	166.758
464.573	167.706
466.139	168.667
467.736	169.640
469.372	170.626
471.058	171.625
472.796	172.638
474.582	173.665
476.415	174.703
478.291	175.754
480.208	176.816
482.163	177.888
484.154	178.972
486.176	180.065
488.229	181.167
490.308	182.278
492.411	183.398
494.536	184.525
496.680	185.660
498.839	186.801
501.011	187.948
503.194	189.101
505.384	190.260
507.579	191.423
509.776	192.589
511.973	193.760
514.166	194.933
516.353	196.109
518.530	197.288
520.696	198.467
522.845	199.650
524.973	200.836
527.076	202.027
529.150	203.222
531.190	204.424
533.193	205.633
535.153	206.849
537.066	208.074
538.929	209.309
540.737	210.554
542.485	211.810
544.169	213.078
545.786	214.359
547.330	215.653
548.797	216.963
550.184	218.287
551.485	219.628
552.697	220.987
553.815	222.363
554.835	223.758
555.752	225.172
556.567	226.602
557.278	228.045
557.885	229.495
558.388	230.949
558.787	232.402
559.082	233.851
559.272	235.289
559.358	236.715
559.338	238.122
559.214	239.508
558.984	240.867
558.649	242.196
558.208	243.490
557.661	244.745
557.012	245.962
556.266	247.145
555.431	248.300
554.510	249.430
553.512	250.540
552.441	251.636
551.304	252.720
550.106	253.799
548.854	254.876
547.554	255.956
546.212	257.044
544.833	258.144
543.423	259.261
541.990	260.399
540.538	261.564
539.074	262.758
537.598	263.983
536.109	265.233
534.604	266.507
533.082	267.800
531.540	269.108
529.977	270.429
528.390	271.757
526.777	273.091
525.136	274.426
523.466	275.758
521.764	277.084
520.028	278.401
518.255	279.705
516.445	280.991
514.595	282.258
512.702	283.500
510.766	284.715
508.783	285.899
506.751	287.047
504.670	288.158
502.536	289.226
500.349	290.251
498.112	291.231
495.827	292.167
493.497	293.061
491.126	293.912
488.716	294.722
486.271	295.490
483.793	296.218
481.285	296.906
478.750	297.554
476.192	298.163
473.612	298.734
471.014	299.268
468.401	299.764
465.777	300.224
463.143	300.648
460.502	301.036
457.859	301.390
455.215	301.709
452.573	301.995
449.938	302.248
447.311	302.468
444.695	302.656
442.093	302.814
439.509	302.940
436.946	303.036
434.404	303.102
431.887	303.138
429.395	303.143
426.930	303.117
424.493	303.059
422.085	302.970
419.708	302.848
417.364	302.694
415.053	302.506
412.777	302.285
410.537	302.030
408.335	301.741
406.172	301.417
404.049	301.058
401.969	300.664
399.931	300.234
397.938	299.768
395.991	299.265
394.092	298.725
392.241	298.148
390.440	297.533
388.691	296.880
386.994	296.188
385.348	295.455
383.752	294.680
382.206	293.859
380.708	292.991
379.256	292.074
377.851	291.107
376.491	290.086
375.175	289.010
373.902	287.876
372.671	286.684
371.480	285.430
370.330	284.113
369.218	282.731
368.143	281.281
367.105	279.762
366.103	278.171
365.135	276.508
364.202	274.775
363.303	272.979
362.439	271.124
361.609	269.215
360.814	267.258
360.053	265.258
359.328	263.221
358.637	261.150
357.980	259.052
357.359	256.931
356.773	254.794
356.222	252.644
355.705	250.488
355.224	248.330
354.778	246.175
354.367	244.030
353.992	241.898
353.652	239.786
353.347	237.698
353.077	235.639
352.843	233.615
352.644	231.625
352.477	229.665
352.341	227.732
352.235	225.823
352.157	223.934
352.105	222.061
352.078	220.201
352.074	218.350
352.092	216.505
352.130	214.663
352.186	212.820
352.259	210.972
352.346	209.116
352.448	207.248
352.561	205.365
352.685	203.464
352.817	201.540
352.957	199.591
353.102	197.613
353.252	195.610
353.406	193.589
353.564	191.558
353.724	189.523
353.888	187.492
354.054	185.471
354.221	183.470
354.390	181.493
354.559	179.550
354.729	177.646
354.898	175.790
355.066	173.988
355.233	172.248
355.399	170.577
355.562	168.982
355.722	167.471
355.879	166.050
356.032	164.727
356.181	163.506
356.323	162.383
356.458	161.354
356.583	160.413
356.697	159.556
356.799	158.778
356.886	158.076
356.957	157.443
357.011	156.877
357.046	156.362
357.063	155.868
357.062	155.362
357.045	154.809
357.011	154.177
356.964	153.436
356.921	152.591
356.910	151.667
356.958	150.687
357.092	149.677
357.339	148.659
357.726	147.658
358.281	146.699
359.030	145.805
360.000	145.000
