X	Y
342.000	185.000
342.340	183.889
342.822	182.808
343.440	181.755
344.190	180.725
345.065	179.715
346.061	178.721
347.172	177.740
348.394	176.767
349.721	175.799
351.149	174.832
352.671	173.863
354.283	172.888
355.980	171.904
357.757	170.905
359.608	169.890
361.528	168.854
363.512	167.793
365.555	166.704
367.652	165.585
369.803	164.438
372.005	163.264
374.255	162.065
376.553	160.843
378.896	159.600
381.283	158.337
383.711	157.058
386.179	155.762
388.685	154.453
391.228	153.132
393.804	151.801
396.413	150.462
399.052	149.117
401.720	147.767
404.415	146.415
407.135	145.062
409.878	143.710
412.642	142.361
415.426	141.017
418.227	139.679
421.044	138.350
423.875	137.032
426.718	135.726
429.571	134.433
432.432	133.157
435.300	131.899
438.172	130.660
441.047	129.443
443.923	128.250
446.798	127.081
449.670	125.939
452.539	124.825
455.405	123.738
458.266	122.677
461.122	121.644
463.973	120.637
466.819	119.657
469.659	118.704
472.492	117.777
475.319	116.877
478.139	116.003
480.951	115.156
483.755	114.335
486.550	113.540
489.337	112.771
492.114	112.028
494.882	111.311
497.639	110.620
500.386	109.954
503.122	109.315
505.846	108.701
508.558	108.112
511.258	107.549
513.946	107.011
516.620	106.499
519.281	106.011
521.927	105.549
524.560	105.112
527.177	104.700
529.779	104.313
532.365	103.950
534.936	103.612
537.490	103.299
540.028	103.009
542.551	102.743
545.057	102.500
547.548	102.280
550.023	102.082
552.482	101.906
554.926	101.752
557.353	101.619
559.766	101.507
562.162	101.416
564.544	101.345
566.909	101.293
569.260	101.261
571.595	101.248
573.915	101.254
576.219	101.278
578.508	101.319
580.782	101.379
583.041	101.455
585.285	101.548
587.514	101.658
589.728	101.784
591.927	101.925
594.111	102.082
596.277	102.255
598.419	102.448
600.532	102.663
602.609	102.904
604.644	103.174
606.632	103.474
608.567	103.809
610.443	104.182
612.253	104.595
613.993	105.051
615.656	105.553
617.235	106.104
618.727	106.708
620.123	107.366
621.419	108.083
622.609	108.860
623.686	109.702
624.645	110.610
625.480	111.589
626.191	112.635
626.782	113.746
627.255	114.915
627.616	116.140
627.867	117.416
628.013	118.738
628.057	120.101
628.004	121.501
627.856	122.934
627.617	124.395
627.292	125.880
626.884	127.384
626.397	128.902
625.834	130.431
625.201	131.967
624.505	133.504
623.752	135.041
622.950	136.573
622.106	138.098
621.227	139.611
620.321	141.110
619.395	142.590
618.455	144.048
617.509	145.481
616.565	146.885
615.629	148.258
614.708	149.594
613.810	150.891
612.943	152.146
612.112	153.354
611.326	154.513
610.590	155.620
609.905	156.678
609.264	157.702
608.658	158.701
608.081	159.689
607.525	160.678
606.983	161.679
606.448	162.705
605.913	163.768
605.370	164.879
604.812	166.052
604.231	167.298
603.621	168.629
602.974	170.057
602.285	171.589
601.551	173.218
600.774	174.931
599.954	176.716
599.089	178.559
598.182	180.450
597.231	182.376
596.236	184.324
595.199	186.282
594.118	188.239
592.994	190.181
591.828	192.097
590.618	193.974
589.366	195.800
588.071	197.563
586.733	199.251
585.353	200.850
583.930	202.350
582.465	203.737
580.958	205.000
579.409	206.126
577.817	207.103
576.184	207.924
574.510	208.594
572.798	209.124
571.049	209.522
569.265	209.797
567.447	209.958
565.597	210.015
563.717	209.975
561.808	209.849
559.872	209.645
557.910	209.372
555.925	209.039
553.917	208.656
551.889	208.230
549.842	207.772
547.778	207.290
545.698	206.794
543.604	206.292
541.498	205.792
539.381	205.306
537.255	204.840
535.121	204.401
532.980	203.991
530.832	203.609
528.678	203.256
526.518	202.933
524.352	202.641
522.182	202.380
520.007	202.151
517.829	201.954
515.647	201.790
513.462	201.661
511.274	201.565
509.085	201.505
506.895	201.480
504.703	201.492
502.511	201.540
500.319	201.626
498.128	201.751
495.937	201.914
493.748	202.117
491.561	202.360
489.377	202.644
487.196	202.969
485.018	203.336
482.843	203.742
480.670	204.185
478.498	204.661
476.328	205.168
474.158	205.703
471.987	206.262
469.815	206.844
467.642	207.444
465.466	208.059
463.287	208.688
461.104	209.327
458.916	209.973
456.723	210.623
454.525	211.274
452.320	211.923
450.108	212.568
447.888	213.205
445.659	213.831
443.421	214.443
441.173	215.039
438.915	215.616
436.645	216.170
434.364	216.699
432.070	217.199
429.765	217.669
427.451	218.109
425.133	218.518
422.815	218.897
420.499	219.244
418.189	219.559
415.889	219.844
413.602	220.096
411.332	220.316
409.083	220.504
406.857	220.659
404.659	220.781
402.492	220.870
400.360	220.926
398.266	220.948
396.214	220.937
394.207	220.891
392.249	220.811
390.344	220.697
388.494	220.548
386.704	220.364
384.977	220.144
383.317	219.890
381.722	219.600
380.186	219.278
378.702	218.926
377.264	218.546
375.864	218.141
374.496	217.712
373.153	217.263
371.829	216.795
370.515	216.310
369.207	215.811
367.895	215.301
366.575	214.781
365.239	214.254
363.880	213.721
362.492	213.186
361.068	212.651
359.615	212.115
358.148	211.579
356.681	211.040
355.230	210.499
353.809	209.954
352.432	209.404
351.116	208.849
349.873	208.287
348.720	207.718
347.672	207.141
346.741	206.554
345.945	205.958
345.297	205.351
344.812	204.732
344.483	204.098
344.281	203.442
344.173	202.757
344.129	202.038
344.117	201.277
344.105	200.468
344.061	199.605
343.955	198.680
343.774	197.693
343.534	196.650
343.253	195.562
342.951	194.434
342.646	193.276
342.357	192.096
342.102	190.902
341.901	189.701
341.771	188.502
341.732	187.314
341.802	186.144
342.000	185.000
