X	Y
367.000	184.000
367.936	182.976
369.014	182.016
370.228	181.114
371.573	180.270
373.041	179.479
374.628	178.740
376.327	178.047
378.132	177.400
380.037	176.794
382.036	176.227
384.123	175.696
386.293	175.198
388.538	174.729
390.854	174.287
393.234	173.869
395.672	173.471
398.163	173.091
400.699	172.726
403.276	172.373
405.887	172.028
408.526	171.689
411.187	171.353
413.864	171.017
416.553	170.678
419.250	170.337
421.957	169.995
424.672	169.653
427.395	169.312
430.126	168.975
432.863	168.641
435.607	168.313
438.356	167.992
441.111	167.678
443.871	167.373
446.635	167.079
449.403	166.796
452.174	166.526
454.948	166.271
457.724	166.030
460.502	165.806
463.282	165.600
466.062	165.413
468.843	165.247
471.623	165.102
474.403	164.980
477.181	164.882
479.958	164.810
482.733	164.764
485.504	164.747
488.273	164.758
491.037	164.800
493.798	164.873
496.554	164.980
499.304	165.120
502.047	165.295
504.782	165.504
507.507	165.749
510.220	166.027
512.919	166.341
515.603	166.690
518.270	167.073
520.918	167.492
523.546	167.946
526.151	168.435
528.733	168.959
531.289	169.519
533.818	170.114
536.317	170.745
538.786	171.412
541.223	172.114
543.625	172.852
545.991	173.627
548.320	174.437
550.610	175.283
552.859	176.166
555.064	177.084
557.226	178.040
559.341	179.031
561.409	180.060
563.427	181.124
565.394	182.226
567.307	183.365
569.163	184.541
570.957	185.755
572.685	187.009
574.343	188.302
575.926	189.636
577.432	191.011
578.855	192.428
580.192	193.888
581.438	195.391
582.588	196.938
583.640	198.529
584.589	200.166
585.431	201.849
586.161	203.579
586.776	205.356
587.271	207.182
587.642	209.056
587.885	210.980
587.996	212.955
587.971	214.980
587.810	217.055
587.521	219.173
587.108	221.331
586.578	223.522
585.938	225.743
585.192	227.988
584.348	230.252
583.411	232.530
582.389	234.817
581.285	237.109
580.108	239.399
578.863	241.684
577.556	243.959
576.194	246.217
574.781	248.455
573.326	250.667
571.833	252.849
570.309	254.995
568.761	257.100
567.193	259.160
565.613	261.169
564.026	263.123
562.439	265.016
560.857	266.843
559.288	268.601
557.736	270.282
556.206	271.886
554.696	273.415
553.202	274.873
551.723	276.264
550.254	277.592
548.794	278.861
547.338	280.076
545.885	281.240
544.431	282.357
542.974	283.431
541.510	284.467
540.037	285.468
538.551	286.438
537.051	287.382
535.532	288.303
533.992	289.205
532.428	290.092
530.838	290.969
529.218	291.840
527.565	292.708
525.877	293.577
524.153	294.448
522.398	295.321
520.611	296.194
518.797	297.068
516.957	297.942
515.093	298.814
513.208	299.684
511.304	300.552
509.383	301.416
507.448	302.277
505.501	303.132
503.544	303.982
501.580	304.826
499.610	305.662
497.637	306.492
495.664	307.313
493.693	308.124
491.725	308.926
489.764	309.718
487.811	310.499
485.869	311.267
483.941	312.023
482.027	312.766
480.128	313.493
478.244	314.204
476.375	314.895
474.520	315.567
472.679	316.216
470.852	316.841
469.039	317.441
467.239	318.013
465.451	318.556
463.677	319.067
461.915	319.546
460.166	319.990
458.429	320.398
456.703	320.768
454.989	321.098
453.286	321.386
451.594	321.630
449.913	321.830
448.243	321.982
446.582	322.085
444.931	322.139
443.286	322.143
441.647	322.095
440.012	321.996
438.379	321.844
436.746	321.639
435.111	321.381
433.474	321.067
431.832	320.698
430.184	320.274
428.527	319.792
426.861	319.253
425.184	318.656
423.493	318.000
421.788	317.284
420.066	316.509
418.326	315.672
416.566	314.773
414.786	313.813
412.992	312.793
411.187	311.713
409.377	310.576
407.566	309.383
405.760	308.135
403.963	306.833
402.180	305.480
400.416	304.077
398.676	302.624
396.965	301.124
395.287	299.578
393.647	297.987
392.051	296.352
390.503	294.676
389.008	292.960
387.571	291.204
386.196	289.411
384.889	287.582
383.654	285.718
382.497	283.821
381.422	281.892
380.434	279.933
379.537	277.944
378.730	275.931
378.006	273.898
377.356	271.852
376.773	269.797
376.250	267.740
375.778	265.687
375.349	263.643
374.957	261.615
374.593	259.607
374.249	257.626
373.919	255.678
373.594	253.768
373.266	251.901
372.928	250.085
372.572	248.324
372.190	246.624
371.775	244.992
371.319	243.432
370.814	241.951
370.252	240.554
369.627	239.247
368.942	238.025
368.212	236.874
367.449	235.783
366.668	234.738
365.883	233.727
365.105	232.735
364.351	231.751
363.632	230.762
362.963	229.754
362.358	228.715
361.829	227.631
361.392	226.490
361.058	225.279
360.841	223.987
360.735	222.619
360.728	221.191
360.808	219.716
360.963	218.208
361.180	216.681
361.448	215.150
361.753	213.628
362.084	212.129
362.428	210.667
362.774	209.258
363.108	207.913
363.419	206.649
363.694	205.478
363.921	204.415
364.089	203.473
364.196	202.641
364.251	201.893
364.263	201.200
364.239	200.534
364.188	199.867
364.120	199.170
364.041	198.416
363.961	197.576
363.890	196.644
363.839	195.631
363.820	194.551
363.844	193.417
363.924	192.243
364.070	191.041
364.295	189.825
364.609	188.608
365.025	187.404
365.555	186.226
366.209	185.087
367.000	184.000
