X	Y
367.000	153.000
367.426	151.986
368.006	150.988
368.734	150.004
369.603	149.033
370.606	148.074
371.736	147.125
372.986	146.185
374.349	145.253
375.819	144.326
377.389	143.405
379.052	142.486
380.802	141.570
382.630	140.654
384.531	139.738
386.498	138.819
388.523	137.896
390.601	136.968
392.724	136.034
394.885	135.092
397.077	134.141
399.295	133.179
401.530	132.206
403.777	131.219
406.034	130.218
408.301	129.205
410.578	128.179
412.866	127.141
415.165	126.091
417.476	125.030
419.798	123.958
422.131	122.875
424.477	121.782
426.835	120.680
429.206	119.569
431.590	118.448
433.987	117.319
436.398	116.182
438.822	115.038
441.260	113.886
443.713	112.728
446.180	111.563
448.663	110.392
451.160	109.215
453.673	108.034
456.202	106.848
458.746	105.657
461.307	104.462
463.885	103.264
466.479	102.063
469.091	100.859
471.720	99.653
474.367	98.445
477.031	97.236
479.714	96.025
482.416	94.814
485.136	93.603
487.872	92.393
490.624	91.184
493.389	89.979
496.166	88.778
498.952	87.581
501.746	86.391
504.547	85.208
507.352	84.033
510.160	82.867
512.969	81.711
515.777	80.567
518.583	79.434
521.384	78.315
524.180	77.211
526.968	76.121
529.746	75.048
532.513	73.992
535.268	72.955
538.007	71.937
540.731	70.940
543.436	69.964
546.121	69.011
548.784	68.081
551.424	67.176
554.039	66.296
556.627	65.443
559.186	64.618
561.715	63.822
564.211	63.055
566.674	62.319
569.101	61.614
571.491	60.943
573.841	60.306
576.151	59.703
578.418	59.137
580.641	58.611
582.820	58.128
584.953	57.690
587.040	57.301
589.078	56.964
591.066	56.680
593.004	56.454
594.891	56.289
596.725	56.186
598.505	56.149
600.229	56.182
601.898	56.286
603.509	56.465
605.061	56.722
606.554	57.060
607.986	57.481
609.356	57.988
610.662	58.585
611.905	59.274
613.081	60.059
614.192	60.940
615.237	61.915
616.217	62.981
617.134	64.133
617.989	65.368
618.782	66.681
619.514	68.070
620.188	69.531
620.802	71.059
621.360	72.651
621.861	74.304
622.307	76.013
622.698	77.774
623.036	79.585
623.322	81.442
623.557	83.339
623.741	85.275
623.876	87.245
623.963	89.245
624.003	91.271
623.996	93.321
623.944	95.393
623.846	97.484
623.704	99.593
623.519	101.718
623.289	103.857
623.018	106.010
622.703	108.173
622.348	110.345
621.951	112.525
621.514	114.710
621.037	116.899
620.521	119.090
619.966	121.282
619.373	123.472
618.742	125.660
618.074	127.842
617.370	130.018
616.631	132.186
615.856	134.343
615.046	136.489
614.202	138.621
613.325	140.738
612.415	142.838
611.472	144.919
610.498	146.979
609.493	149.017
608.458	151.032
607.394	153.022
606.303	154.987
605.186	156.927
604.045	158.840
602.882	160.726
601.698	162.585
600.494	164.415
599.272	166.215
598.033	167.986
596.780	169.726
595.513	171.435
594.234	173.111
592.944	174.755
591.646	176.365
590.340	177.942
589.028	179.483
587.712	180.988
586.392	182.458
585.072	183.890
583.751	185.284
582.432	186.640
581.116	187.957
579.805	189.233
578.500	190.470
577.200	191.665
575.904	192.818
574.608	193.931
573.310	195.001
572.006	196.029
570.694	197.014
569.371	197.958
568.034	198.858
566.681	199.715
565.308	200.529
563.913	201.299
562.493	202.026
561.044	202.708
559.565	203.346
558.053	203.940
556.504	204.488
554.916	204.992
553.286	205.451
551.610	205.863
549.888	206.231
548.117	206.554
546.300	206.835
544.437	207.076
542.529	207.280
540.579	207.448
538.586	207.584
536.553	207.690
534.479	207.767
532.368	207.819
530.219	207.847
528.034	207.855
525.815	207.843
523.561	207.815
521.276	207.772
518.958	207.718
516.611	207.655
514.235	207.584
511.831	207.508
509.400	207.430
506.945	207.351
504.465	207.275
501.962	207.203
499.437	207.138
496.892	207.082
494.327	207.037
491.744	207.006
489.144	206.991
486.529	206.991
483.903	207.003
481.266	207.027
478.623	207.058
475.975	207.096
473.326	207.138
470.678	207.181
468.034	207.224
465.395	207.264
462.766	207.298
460.148	207.326
457.544	207.343
454.958	207.349
452.390	207.341
449.845	207.317
447.324	207.274
444.831	207.210
442.367	207.123
439.937	207.010
437.541	206.870
435.184	206.701
432.866	206.499
430.592	206.263
428.364	205.990
426.184	205.679
424.056	205.327
421.981	204.931
419.962	204.490
418.002	204.001
416.103	203.463
414.264	202.880
412.482	202.258
410.757	201.601
409.086	200.915
407.467	200.205
405.898	199.477
404.379	198.735
402.906	197.984
401.478	197.230
400.093	196.478
398.749	195.734
397.445	195.002
396.178	194.288
394.947	193.596
393.750	192.933
392.585	192.303
391.450	191.711
390.344	191.163
389.264	190.663
388.209	190.207
387.179	189.783
386.173	189.382
385.189	188.992
384.227	188.603
383.287	188.206
382.366	187.788
381.465	187.340
380.583	186.852
379.719	186.312
378.872	185.710
378.040	185.035
377.225	184.281
376.429	183.453
375.657	182.563
374.912	181.620
374.199	180.637
373.523	179.622
372.887	178.588
372.295	177.544
371.753	176.502
371.263	175.472
370.831	174.464
370.461	173.490
370.156	172.559
369.922	171.684
369.753	170.864
369.636	170.089
369.556	169.346
369.496	168.624
369.442	167.911
369.378	167.193
369.289	166.460
369.159	165.699
368.973	164.897
368.724	164.047
368.427	163.153
368.101	162.220
367.765	161.254
367.438	160.260
367.139	159.244
366.887	158.212
366.701	157.169
366.601	156.120
366.604	155.072
366.731	154.030
367.000	153.000
