X	Y
377.000	183.000
377.946	182.204
379.134	181.507
380.553	180.903
382.189	180.389
384.030	179.962
386.063	179.617
388.276	179.350
390.657	179.158
393.193	179.036
395.871	178.981
398.680	178.989
401.606	179.056
404.637	179.178
407.760	179.351
410.964	179.571
414.235	179.834
417.562	180.137
420.931	180.475
424.330	180.845
427.746	181.242
431.168	181.663
434.583	182.104
437.978	182.561
441.340	183.030
444.658	183.507
447.918	183.988
451.111	184.470
454.236	184.954
457.294	185.439
460.289	185.929
463.221	186.423
466.093	186.922
468.906	187.429
471.664	187.943
474.367	188.466
477.018	188.999
479.619	189.543
482.171	190.100
484.677	190.670
487.139	191.254
489.558	191.854
491.937	192.470
494.278	193.104
496.583	193.757
498.853	194.430
501.090	195.124
503.298	195.839
505.476	196.578
507.629	197.342
509.757	198.130
511.862	198.945
513.947	199.788
516.007	200.659
518.040	201.559
520.041	202.489
522.007	203.449
523.933	204.441
525.817	205.465
527.654	206.522
529.440	207.612
531.172	208.737
532.846	209.897
534.458	211.093
536.004	212.326
537.481	213.596
538.883	214.904
540.209	216.251
541.454	217.638
542.614	219.065
543.685	220.533
544.663	222.044
545.548	223.595
546.338	225.185
547.033	226.812
547.633	228.474
548.136	230.170
548.542	231.897
548.852	233.653
549.064	235.437
549.177	237.247
549.192	239.080
549.107	240.936
548.923	242.811
548.638	244.705
548.253	246.614
547.766	248.538
547.177	250.474
546.486	252.421
545.697	254.375
544.815	256.333
543.847	258.292
542.798	260.247
541.673	262.197
540.480	264.136
539.223	266.062
537.908	267.972
536.542	269.861
535.129	271.726
533.676	273.565
532.189	275.372
530.674	277.146
529.136	278.882
527.580	280.577
526.014	282.228
524.442	283.831
522.871	285.383
521.306	286.880
519.754	288.318
518.219	289.695
516.702	291.010
515.197	292.265
513.698	293.463
512.201	294.607
510.700	295.698
509.188	296.739
507.661	297.732
506.112	298.681
504.536	299.587
502.928	300.453
501.281	301.282
499.591	302.075
497.851	302.836
496.056	303.567
494.201	304.269
492.279	304.947
490.286	305.601
488.215	306.235
486.067	306.850
483.848	307.446
481.566	308.022
479.230	308.579
476.846	309.116
474.422	309.632
471.967	310.129
469.487	310.604
466.991	311.059
464.486	311.492
461.979	311.904
459.479	312.295
456.993	312.664
454.530	313.010
452.095	313.335
449.698	313.637
447.346	313.916
445.047	314.172
442.807	314.404
440.636	314.614
438.541	314.799
436.529	314.961
434.607	315.097
432.772	315.207
431.016	315.284
429.332	315.325
427.711	315.326
426.145	315.280
424.626	315.185
423.147	315.036
421.698	314.829
420.272	314.558
418.862	314.219
417.458	313.809
416.054	313.322
414.640	312.755
413.209	312.102
411.754	311.360
410.278	310.530
408.786	309.613
407.282	308.613
405.773	307.531
404.263	306.370
402.758	305.132
401.264	303.819
399.786	302.434
398.329	300.979
396.899	299.456
395.500	297.867
394.139	296.216
392.820	294.503
391.549	292.732
390.332	290.905
389.173	289.023
388.078	287.090
387.053	285.108
386.101	283.079
385.222	281.008
384.411	278.902
383.666	276.767
382.983	274.609
382.359	272.433
381.791	270.246
381.276	268.054
380.811	265.862
380.392	263.677
380.015	261.505
379.679	259.351
379.380	257.222
379.113	255.124
378.877	253.062
378.668	251.043
378.483	249.073
378.318	247.157
378.171	245.303
378.037	243.514
377.915	241.798
377.802	240.152
377.698	238.570
377.603	237.047
377.515	235.576
377.435	234.151
377.362	232.766
377.295	231.416
377.233	230.095
377.177	228.795
377.125	227.513
377.077	226.240
377.032	224.973
376.991	223.704
376.952	222.430
376.917	221.153
376.887	219.874
376.862	218.597
376.845	217.323
376.837	216.054
376.837	214.793
376.848	213.542
376.871	212.303
376.906	211.078
376.955	209.869
377.019	208.679
377.096	207.507
377.179	206.350
377.261	205.203
377.334	204.060
377.390	202.919
377.423	201.774
377.425	200.620
377.388	199.454
377.304	198.270
377.167	197.064
376.969	195.831
376.711	194.571
376.419	193.295
376.120	192.013
375.845	190.738
375.622	189.481
375.480	188.255
375.448	187.072
375.555	185.943
375.830	184.880
376.302	183.895
377.000	183.000
