X,Y
274.000,159.750
274.394,158.470
274.943,157.180
275.634,155.879
276.457,154.568
277.400,153.247
278.452,151.915
279.601,150.573
280.836,149.221
282.146,147.858
283.520,146.485
284.951,145.100
286.436,143.702
287.969,142.286
289.547,140.853
291.166,139.399
292.821,137.923
294.508,136.422
296.223,134.894
297.961,133.338
299.720,131.750
301.493,130.130
303.278,128.474
305.070,126.781
306.866,125.054
308.665,123.295
310.463,121.506
312.259,119.690
314.049,117.850
315.832,115.987
317.605,114.106
319.366,112.208
321.112,110.295
322.840,108.371
324.550,106.438
326.237,104.498
327.899,102.555
329.535,100.610
331.144,98.667
332.731,96.732
334.299,94.808
335.852,92.901
337.396,91.015
338.934,89.156
340.471,87.328
342.011,85.537
343.558,83.786
345.116,82.082
346.690,80.429
348.284,78.832
349.902,77.295
351.549,75.824
353.226,74.415
354.933,73.064
356.670,71.764
358.437,70.508
360.234,69.290
362.062,68.104
363.919,66.944
365.807,65.802
367.725,64.673
369.673,63.551
371.652,62.429
373.660,61.300
375.696,60.164
377.741,59.041
379.775,57.958
381.777,56.943
383.724,56.024
385.596,55.226
387.372,54.578
389.030,54.107
390.549,53.840
391.907,53.804
393.084,54.027
394.068,54.524
394.883,55.272
395.556,56.239
396.118,57.397
396.598,58.713
397.023,60.157
397.424,61.699
397.827,63.310
398.240,64.982
398.662,66.712
399.091,68.499
399.529,70.342
399.974,72.240
400.425,74.191
400.882,76.193
401.345,78.246
401.812,80.348
402.283,82.498
402.757,84.694
403.231,86.932
403.697,89.206
404.150,91.510
404.583,93.837
404.990,96.181
405.362,98.536
405.696,100.896
405.982,103.254
406.216,105.603
406.390,107.938
406.498,110.252
406.533,112.540
406.490,114.794
406.360,117.008
406.140,119.177
405.825,121.294
405.410,123.355
404.889,125.352
404.258,127.281
403.513,129.135
402.647,130.909
401.657,132.596
400.537,134.191
399.283,135.688
397.890,137.082
396.362,138.374
394.712,139.574
392.950,140.689
391.087,141.727
389.136,142.697
387.107,143.607
385.012,144.466
382.862,145.281
380.668,146.060
378.443,146.812
376.197,147.546
373.941,148.269
371.685,148.988
369.430,149.706
367.172,150.423
364.911,151.141
362.644,151.861
360.370,152.583
358.087,153.310
355.794,154.041
353.488,154.779
351.167,155.524
348.830,156.277
346.476,157.039
344.102,157.812
341.706,158.597
339.289,159.392
336.855,160.195
334.411,161.001
331.962,161.804
329.514,162.601
327.074,163.386
324.646,164.155
322.238,164.903
319.854,165.625
317.501,166.317
315.184,166.975
312.910,167.592
310.684,168.165
308.513,168.689
306.401,169.160
304.351,169.574
302.363,169.930
300.439,170.225
298.579,170.457
296.785,170.624
295.057,170.723
293.397,170.752
291.805,170.710
290.281,170.593
288.828,170.400
287.445,170.133
286.132,169.800
284.887,169.408
283.711,168.964
282.603,168.477
281.561,167.954
280.586,167.403
279.674,166.840
278.822,166.303
278.023,165.833
277.271,165.472
276.560,165.260
275.888,165.214
275.271,165.222
274.731,165.129
274.289,164.787
273.961,164.148
273.758,163.267
273.690,162.202
273.768,161.010
274.000,159.750
