X,Y
275.250,165.000
276.033,164.209
277.183,163.494
278.645,162.840
280.368,162.234
282.297,161.661
284.380,161.106
286.563,160.556
288.793,159.996
291.019,159.413
293.221,158.805
295.407,158.177
297.585,157.537
299.764,156.892
301.951,156.248
304.156,155.613
306.386,154.992
308.650,154.394
310.955,153.824
313.311,153.290
315.725,152.798
318.193,152.348
320.714,151.937
323.284,151.565
325.897,151.230
328.552,150.931
331.244,150.665
333.969,150.432
336.723,150.229
339.503,150.056
342.306,149.910
345.127,149.791
347.961,149.696
350.802,149.624
353.636,149.576
356.450,149.552
359.234,149.551
361.974,149.573
364.657,149.617
367.273,149.684
369.808,149.774
372.250,149.885
374.587,150.019
376.806,150.174
378.896,150.351
380.859,150.553
382.706,150.783
384.452,151.049
386.109,151.353
387.690,151.702
389.209,152.101
390.678,152.554
392.109,153.068
393.484,153.661
394.761,154.362
395.900,155.199
396.860,156.203
397.600,157.401
398.078,158.822
398.275,160.470
398.218,162.301
397.940,164.258
397.474,166.290
396.854,168.343
396.112,170.363
395.281,172.297
394.395,174.090
393.486,175.691
392.581,177.086
391.694,178.329
390.838,179.481
390.026,180.605
389.271,181.762
388.586,183.014
387.983,184.421
387.457,186.001
386.979,187.729
386.521,189.576
386.055,191.513
385.552,193.511
384.983,195.541
384.320,197.575
383.535,199.583
382.599,201.538
381.502,203.425
380.256,205.251
378.872,207.022
377.365,208.745
375.747,210.426
374.031,212.073
372.230,213.692
370.357,215.291
368.426,216.875
366.448,218.451
364.436,220.026
362.398,221.589
360.336,223.121
358.255,224.601
356.157,226.009
354.046,227.326
351.924,228.530
349.796,229.603
347.665,230.523
345.533,231.271
343.405,231.827
341.282,232.171
339.167,232.305
337.055,232.246
334.944,232.011
332.833,231.619
330.718,231.086
328.598,230.431
326.469,229.672
324.330,228.825
322.178,227.910
320.011,226.942
317.834,225.928
315.660,224.867
313.501,223.755
311.369,222.589
309.277,221.367
307.237,220.087
305.261,218.745
303.361,217.339
301.550,215.867
299.840,214.325
298.243,212.711
296.752,211.034
295.352,209.305
294.026,207.538
292.759,205.747
291.534,203.945
290.335,202.145
289.145,200.360
287.947,198.605
286.727,196.891
285.468,195.234
284.180,193.641
282.891,192.123
281.626,190.688
280.414,189.343
279.281,188.097
278.255,186.958
277.362,185.934
276.629,185.033
276.062,184.224
275.647,183.446
275.370,182.633
275.218,181.724
275.172,180.687
275.205,179.549
275.289,178.342
275.394,177.097
275.493,175.848
275.561,174.621
275.585,173.423
275.561,172.253
275.480,171.109
275.336,169.991
275.127,168.899
274.906,167.840
274.781,166.827
274.860,165.876
275.250,165.000
