X	Y
37.877	17.736
37.932	17.668
37.998	17.609
38.074	17.558
38.160	17.516
38.257	17.480
38.363	17.451
38.478	17.428
38.602	17.411
38.735	17.398
38.877	17.390
39.026	17.386
39.183	17.386
39.348	17.388
39.519	17.392
39.697	17.398
39.882	17.405
40.073	17.412
40.270	17.420
40.471	17.429
40.678	17.438
40.889	17.448
41.103	17.459
41.321	17.470
41.543	17.483
41.766	17.496
41.992	17.510
42.219	17.525
42.448	17.541
42.677	17.559
42.906	17.577
43.136	17.597
43.364	17.618
43.592	17.641
43.818	17.665
44.042	17.690
44.263	17.717
44.482	17.745
44.697	17.775
44.909	17.807
45.116	17.840
45.319	17.875
45.516	17.912
45.708	17.951
45.894	17.992
46.074	18.035
46.247	18.080
46.416	18.127
46.579	18.176
46.737	18.226
46.890	18.278
47.039	18.332
47.184	18.388
47.325	18.445
47.462	18.504
47.596	18.565
47.727	18.627
47.856	18.691
47.982	18.756
48.105	18.823
48.227	18.891
48.348	18.961
48.467	19.032
48.585	19.104
48.703	19.178
48.819	19.253
48.935	19.329
49.049	19.408
49.162	19.488
49.273	19.570
49.382	19.655
49.490	19.742
49.596	19.831
49.699	19.923
49.799	20.018
49.897	20.116
49.993	20.217
50.085	20.321
50.174	20.429
50.260	20.540
50.342	20.655
50.421	20.774
50.496	20.897
50.567	21.023
50.634	21.152
50.698	21.283
50.758	21.416
50.815	21.551
50.869	21.686
50.919	21.823
50.965	21.960
51.009	22.096
51.049	22.232
51.086	22.366
51.120	22.499
51.150	22.631
51.178	22.759
51.203	22.885
51.225	23.008
51.243	23.127
51.260	23.242
51.273	23.355
51.284	23.465
51.292	23.573
51.298	23.680
51.302	23.786
51.303	23.891
51.303	23.997
51.300	24.102
51.296	24.209
51.290	24.316
51.282	24.426
51.273	24.538
51.262	24.652
51.249	24.769
51.235	24.888
51.219	25.008
51.201	25.130
51.181	25.254
51.159	25.378
51.134	25.503
51.107	25.628
51.077	25.754
51.045	25.879
51.009	26.004
50.971	26.128
50.929	26.251
50.885	26.373
50.836	26.493
50.785	26.611
50.731	26.727
50.674	26.841
50.615	26.953
50.555	27.062
50.494	27.168
50.432	27.271
50.370	27.372
50.308	27.468
50.247	27.562
50.187	27.652
50.129	27.737
50.073	27.819
50.019	27.897
49.969	27.970
49.921	28.039
49.875	28.105
49.830	28.168
49.786	28.229
49.741	28.288
49.695	28.346
49.647	28.404
49.597	28.463
49.543	28.522
49.485	28.583
49.423	28.645
49.357	28.708
49.288	28.772
49.215	28.836
49.140	28.900
49.061	28.963
48.980	29.026
48.898	29.087
48.813	29.147
48.727	29.204
48.640	29.259
48.552	29.312
48.463	29.361
48.374	29.407
48.285	29.452
48.196	29.495
48.106	29.536
48.017	29.576
47.928	29.615
47.840	29.654
47.753	29.693
47.666	29.732
47.581	29.772
47.497	29.813
47.414	29.855
47.332	29.898
47.252	29.942
47.171	29.985
47.091	30.027
47.010	30.068
46.929	30.106
46.847	30.142
46.764	30.175
46.679	30.203
46.592	30.227
46.503	30.247
46.412	30.261
46.320	30.272
46.226	30.279
46.130	30.284
46.034	30.288
45.938	30.291
45.841	30.294
45.745	30.298
45.649	30.304
45.554	30.312
45.461	30.324
45.369	30.341
45.279	30.361
45.190	30.384
45.102	30.408
45.014	30.433
44.928	30.457
44.842	30.479
44.755	30.498
44.669	30.512
44.582	30.520
44.495	30.522
44.406	30.516
44.317	30.501
44.226	30.478
44.134	30.448
44.042	30.411
43.948	30.368
43.854	30.319
43.759	30.265
43.663	30.207
43.567	30.145
43.470	30.079
43.372	30.011
43.274	29.941
43.176	29.870
43.078	29.798
42.979	29.725
42.879	29.651
42.780	29.576
42.680	29.500
42.580	29.422
42.479	29.343
42.378	29.262
42.277	29.179
42.175	29.094
42.073	29.007
41.970	28.918
41.867	28.826
41.763	28.732
41.659	28.634
41.555	28.534
41.450	28.431
41.345	28.325
41.239	28.216
41.133	28.103
41.027	27.988
40.922	27.871
40.816	27.750
40.711	27.628
40.607	27.502
40.504	27.375
40.402	27.246
40.300	27.114
40.200	26.981
40.102	26.846
40.005	26.709
39.910	26.571
39.817	26.431
39.726	26.290
39.637	26.148
39.551	26.005
39.468	25.861
39.387	25.717
39.308	25.571
39.233	25.426
39.159	25.280
39.087	25.135
39.017	24.990
38.949	24.847
38.881	24.704
38.815	24.563
38.749	24.424
38.684	24.287
38.619	24.153
38.553	24.021
38.488	23.892
38.422	23.767
38.355	23.645
38.287	23.527
38.218	23.413
38.147	23.304
38.074	23.199
38.000	23.100
37.925	23.004
37.850	22.911
37.776	22.821
37.704	22.733
37.634	22.646
37.567	22.560
37.504	22.474
37.445	22.387
37.392	22.299
37.346	22.208
37.306	22.115
37.274	22.019
37.251	21.919
37.236	21.814
37.228	21.706
37.228	21.596
37.233	21.482
37.244	21.367
37.260	21.250
37.279	21.132
37.301	21.014
37.326	20.895
37.352	20.777
37.379	20.659
37.405	20.543
37.431	20.429
37.456	20.317
37.478	20.208
37.498	20.102
37.517	19.999
37.534	19.899
37.550	19.803
37.565	19.712
37.579	19.624
37.593	19.541
37.607	19.462
37.621	19.389
37.635	19.320
37.650	19.257
37.665	19.199
37.680	19.143
37.695	19.088
37.708	19.031
37.719	18.972
37.729	18.909
37.735	18.838
37.738	18.760
37.738	18.674
37.737	18.582
37.737	18.485
37.737	18.386
37.739	18.285
37.746	18.184
37.757	18.085
37.775	17.989
37.800	17.898
37.834	17.813
37.877	17.736
