X,Y
265.500,155.250
266.011,154.434
266.853,153.527
267.984,152.542
269.360,151.493
270.939,150.391
272.679,149.252
274.534,148.089
276.464,146.913
278.425,145.740
280.375,144.582
282.299,143.442
284.202,142.317
286.090,141.203
287.967,140.096
289.840,138.992
291.715,137.888
293.597,136.778
295.491,135.661
297.404,134.530
299.340,133.383
301.306,132.216
303.306,131.027
305.339,129.816
307.401,128.588
309.490,127.346
311.603,126.093
313.738,124.833
315.891,123.569
318.061,122.304
320.245,121.041
322.439,119.784
324.642,118.536
326.850,117.300
329.061,116.080
331.271,114.877
333.477,113.691
335.672,112.519
337.853,111.361
340.015,110.213
342.152,109.075
344.260,107.944
346.334,106.818
348.369,105.697
350.360,104.577
352.303,103.458
354.193,102.338
356.025,101.215
357.805,100.098
359.544,99.004
361.253,97.945
362.942,96.937
364.622,95.996
366.304,95.135
367.999,94.371
369.718,93.716
371.471,93.188
373.268,92.798
375.105,92.545
376.963,92.411
378.823,92.379
380.668,92.430
382.479,92.547
384.237,92.712
385.924,92.908
387.521,93.117
389.011,93.320
390.378,93.527
391.610,93.779
392.697,94.122
393.627,94.603
394.391,95.267
394.976,96.159
395.389,97.293
395.654,98.649
395.796,100.201
395.840,101.925
395.812,103.798
395.737,105.794
395.640,107.890
395.547,110.062
395.482,112.285
395.457,114.541
395.459,116.820
395.477,119.113
395.497,121.411
395.507,123.706
395.493,125.987
395.442,128.246
395.342,130.474
395.180,132.662
394.943,134.801
394.618,136.881
394.193,138.895
393.670,140.841
393.054,142.725
392.355,144.549
391.581,146.319
390.738,148.039
389.835,149.712
388.880,151.344
387.881,152.937
386.845,154.497
385.779,156.027
384.677,157.522
383.522,158.973
382.302,160.369
380.999,161.702
379.599,162.961
378.086,164.137
376.446,165.219
374.664,166.199
372.723,167.066
370.612,167.813
368.337,168.443
365.918,168.965
363.371,169.391
360.716,169.730
357.968,169.991
355.147,170.185
352.270,170.322
349.355,170.412
346.420,170.464
343.483,170.488
340.561,170.495
337.673,170.494
334.837,170.496
332.068,170.509
329.373,170.537
326.742,170.577
324.168,170.624
321.642,170.675
319.154,170.727
316.697,170.775
314.263,170.816
311.842,170.847
309.426,170.863
307.007,170.861
304.575,170.838
302.124,170.789
299.643,170.712
297.138,170.603
294.625,170.464
292.123,170.296
289.650,170.097
287.224,169.870
284.863,169.614
282.585,169.329
280.409,169.017
278.353,168.678
276.435,168.311
274.673,167.919
273.084,167.500
271.663,167.066
270.391,166.631
269.245,166.212
268.205,165.824
267.249,165.485
266.355,165.209
265.530,164.983
264.844,164.712
264.377,164.296
264.204,163.633
264.314,162.717
264.604,161.635
264.969,160.476
265.301,159.331
265.496,158.291
265.486,157.420
265.378,156.674
265.331,155.976
265.500,155.250
