X,Y
264.333,162.667
265.624,162.119
267.276,161.737
269.239,161.499
271.463,161.386
273.900,161.379
276.498,161.455
279.208,161.597
281.981,161.782
284.766,161.992
287.513,162.206
290.190,162.412
292.801,162.611
295.356,162.810
297.865,163.014
300.337,163.229
302.782,163.460
305.210,163.712
307.632,163.991
310.056,164.302
312.493,164.651
314.953,165.043
317.434,165.479
319.930,165.955
322.432,166.467
324.931,167.012
327.419,167.585
329.886,168.184
332.326,168.803
334.729,169.440
337.086,170.091
339.389,170.752
341.632,171.419
343.823,172.089
345.975,172.759
348.101,173.425
350.213,174.085
352.326,174.735
354.451,175.373
356.601,175.994
358.790,176.596
361.030,177.176
363.309,177.742
365.573,178.319
367.763,178.933
369.822,179.612
371.691,180.382
373.313,181.271
374.629,182.306
375.582,183.513
376.125,184.911
376.284,186.470
376.108,188.146
375.648,189.890
374.954,191.659
374.074,193.405
373.060,195.082
371.959,196.648
370.798,198.101
369.589,199.471
368.344,200.785
367.074,202.073
365.791,203.365
364.505,204.688
363.230,206.073
361.974,207.543
360.728,209.093
359.479,210.704
358.212,212.358
356.911,214.036
355.561,215.718
354.149,217.386
352.658,219.022
351.074,220.606
349.386,222.122
347.599,223.559
345.727,224.911
343.785,226.173
341.785,227.337
339.742,228.399
337.669,229.350
335.580,230.187
333.489,230.901
331.409,231.487
329.353,231.948
327.329,232.303
325.347,232.573
323.416,232.778
321.544,232.939
319.740,233.076
318.014,233.211
316.374,233.363
314.819,233.537
313.324,233.693
311.859,233.789
310.395,233.781
308.905,233.624
307.358,233.276
305.730,232.697
304.023,231.891
302.254,230.880
300.438,229.687
298.594,228.334
296.736,226.845
294.882,225.242
293.047,223.547
291.249,221.784
289.504,219.976
287.821,218.137
286.203,216.270
284.649,214.379
283.158,212.464
281.731,210.527
280.366,208.571
279.064,206.596
277.825,204.606
276.648,202.601
275.533,200.585
274.479,198.560
273.485,196.542
272.550,194.546
271.672,192.588
270.850,190.682
270.083,188.844
269.368,187.089
268.705,185.433
268.091,183.891
267.513,182.476
266.940,181.197
266.342,180.063
265.688,179.083
264.945,178.266
264.097,177.610
263.211,177.037
262.386,176.443
261.721,175.724
261.308,174.780
261.161,173.600
261.216,172.252
261.411,170.804
261.679,169.326
261.959,167.888
262.200,166.554
262.461,165.351
262.837,164.293
263.429,163.394
264.333,162.667
