X	Y
16.749	10.311
16.775	10.242
16.811	10.173
16.856	10.103
16.910	10.032
16.973	9.960
17.044	9.886
17.124	9.810
17.211	9.732
17.305	9.650
17.406	9.566
17.513	9.478
17.626	9.386
17.745	9.290
17.869	9.190
17.998	9.086
18.130	8.978
18.267	8.868
18.406	8.755
18.548	8.639
18.692	8.521
18.838	8.402
18.985	8.281
19.132	8.158
19.280	8.035
19.427	7.912
19.573	7.788
19.718	7.664
19.861	7.541
20.002	7.418
20.140	7.297
20.274	7.177
20.405	7.059
20.531	6.943
20.653	6.829
20.769	6.717
20.882	6.608
20.992	6.501
21.098	6.397
21.201	6.294
21.301	6.194
21.400	6.096
21.498	6.000
21.594	5.906
21.689	5.814
21.784	5.724
21.880	5.636
21.975	5.549
22.072	5.465
22.171	5.382
22.271	5.301
22.372	5.222
22.476	5.145
22.580	5.070
22.685	4.997
22.790	4.926
22.895	4.858
23.000	4.792
23.105	4.729
23.208	4.669
23.310	4.612
23.411	4.558
23.510	4.507
23.606	4.459
23.700	4.415
23.792	4.375
23.882	4.337
23.970	4.303
24.058	4.272
24.145	4.243
24.231	4.217
24.318	4.194
24.406	4.174
24.495	4.155
24.585	4.139
24.677	4.126
24.770	4.116
24.862	4.111
24.953	4.112
25.041	4.122
25.126	4.140
25.205	4.169
25.279	4.211
25.346	4.265
25.404	4.335
25.455	4.419
25.497	4.518
25.532	4.629
25.560	4.751
25.583	4.883
25.600	5.024
25.613	5.172
25.622	5.327
25.627	5.485
25.630	5.648
25.631	5.812
25.631	5.978
25.630	6.142
25.630	6.305
25.630	6.465
25.632	6.621
25.635	6.771
25.640	6.915
25.645	7.055
25.651	7.190
25.656	7.321
25.660	7.447
25.662	7.570
25.661	7.689
25.657	7.804
25.650	7.917
25.638	8.027
25.621	8.134
25.599	8.239
25.570	8.342
25.534	8.443
25.492	8.542
25.444	8.640
25.390	8.735
25.330	8.828
25.266	8.918
25.197	9.006
25.123	9.091
25.045	9.174
24.964	9.253
24.880	9.329
24.792	9.401
24.703	9.470
24.611	9.535
24.516	9.597
24.418	9.656
24.318	9.713
24.213	9.766
24.106	9.817
23.994	9.866
23.878	9.913
23.758	9.958
23.633	10.002
23.503	10.045
23.368	10.086
23.227	10.127
23.080	10.167
22.928	10.206
22.771	10.246
22.608	10.285
22.441	10.323
22.271	10.361
22.097	10.398
21.920	10.435
21.742	10.471
21.562	10.507
21.381	10.542
21.199	10.576
21.018	10.609
20.837	10.642
20.658	10.674
20.480	10.705
20.305	10.735
20.133	10.765
19.964	10.793
19.799	10.821
19.639	10.847
19.483	10.872
19.333	10.897
19.187	10.920
19.045	10.943
18.908	10.965
18.774	10.986
18.643	11.007
18.515	11.027
18.390	11.046
18.268	11.065
18.148	11.084
18.029	11.102
17.912	11.120
17.796	11.138
17.681	11.156
17.567	11.174
17.454	11.191
17.345	11.206
17.241	11.217
17.142	11.225
17.052	11.228
16.971	11.224
16.900	11.213
16.842	11.194
16.797	11.165
16.767	11.126
16.750	11.080
16.743	11.028
16.743	10.976
16.746	10.925
16.750	10.880
16.754	10.840
16.755	10.805
16.754	10.769
16.750	10.729
16.744	10.683
16.737	10.631
16.730	10.573
16.726	10.511
16.727	10.446
16.734	10.379
16.749	10.311
