X	Y
16.687	10.973
16.759	10.945
16.856	10.920
16.977	10.898
17.118	10.878
17.278	10.861
17.454	10.846
17.643	10.832
17.844	10.821
18.054	10.811
18.271	10.802
18.493	10.795
18.716	10.788
18.939	10.782
19.159	10.777
19.374	10.772
19.581	10.767
19.779	10.762
19.968	10.757
20.147	10.752
20.319	10.747
20.484	10.743
20.643	10.738
20.797	10.734
20.947	10.730
21.093	10.727
21.238	10.725
21.381	10.723
21.523	10.723
21.666	10.723
21.810	10.724
21.957	10.726
22.105	10.730
22.256	10.735
22.407	10.741
22.560	10.750
22.712	10.760
22.865	10.773
23.016	10.788
23.166	10.806
23.314	10.827
23.459	10.851
23.602	10.879
23.741	10.909
23.876	10.944
24.006	10.982
24.131	11.024
24.249	11.069
24.360	11.118
24.462	11.171
24.556	11.226
24.640	11.285
24.712	11.346
24.773	11.410
24.822	11.478
24.858	11.547
24.882	11.619
24.897	11.693
24.902	11.768
24.899	11.845
24.890	11.923
24.875	12.002
24.855	12.082
24.830	12.162
24.800	12.244
24.764	12.328
24.722	12.413
24.675	12.500
24.621	12.590
24.562	12.681
24.497	12.775
24.428	12.872
24.354	12.969
24.276	13.069
24.196	13.169
24.115	13.270
24.031	13.372
23.948	13.474
23.865	13.576
23.782	13.678
23.702	13.779
23.623	13.879
23.545	13.978
23.468	14.076
23.390	14.172
23.311	14.266
23.229	14.358
23.144	14.447
23.056	14.534
22.962	14.617
22.863	14.697
22.757	14.774
22.644	14.847
22.525	14.917
22.401	14.983
22.274	15.045
22.145	15.105
22.014	15.161
21.882	15.215
21.752	15.266
21.624	15.314
21.499	15.360
21.379	15.403
21.264	15.445
21.156	15.484
21.053	15.521
20.955	15.554
20.861	15.585
20.768	15.612
20.678	15.634
20.587	15.653
20.495	15.666
20.402	15.674
20.306	15.676
20.208	15.672
20.107	15.662
20.006	15.646
19.903	15.624
19.800	15.596
19.697	15.561
19.595	15.520
19.493	15.471
19.393	15.417
19.294	15.355
19.196	15.287
19.099	15.211
19.002	15.129
18.906	15.040
18.809	14.945
18.711	14.842
18.613	14.733
18.513	14.616
18.412	14.493
18.310	14.363
18.205	14.226
18.099	14.084
17.991	13.936
17.884	13.784
17.776	13.629
17.670	13.473
17.565	13.316
17.463	13.159
17.363	13.004
17.267	12.851
17.175	12.702
17.087	12.557
17.006	12.418
16.930	12.286
16.861	12.161
16.799	12.046
16.745	11.940
16.699	11.844
16.660	11.756
16.630	11.677
16.607	11.606
16.592	11.543
16.585	11.488
16.585	11.440
16.591	11.397
16.598	11.359
16.605	11.324
16.607	11.290
16.606	11.257
16.605	11.222
16.603	11.186
16.603	11.148
16.604	11.110
16.607	11.073
16.618	11.038
16.642	11.004
16.687	10.973
