X	Y
23.778	10.251
23.831	10.164
23.898	10.068
23.979	9.964
24.073	9.852
24.179	9.733
24.296	9.608
24.424	9.476
24.562	9.339
24.709	9.198
24.865	9.052
25.028	8.902
25.199	8.750
25.376	8.595
25.558	8.438
25.746	8.280
25.937	8.121
26.132	7.963
26.330	7.804
26.530	7.647
26.731	7.492
26.932	7.339
27.134	7.189
27.335	7.041
27.535	6.897
27.736	6.754
27.936	6.614
28.136	6.476
28.336	6.340
28.536	6.206
28.736	6.073
28.936	5.941
29.136	5.810
29.337	5.681
29.537	5.551
29.737	5.423
29.938	5.294
30.139	5.166
30.340	5.037
30.542	4.909
30.743	4.779
30.946	4.649
31.149	4.518
31.352	4.386
31.556	4.252
31.760	4.117
31.965	3.981
32.171	3.842
32.377	3.702
32.583	3.562
32.789	3.421
32.994	3.282
33.198	3.145
33.401	3.010
33.602	2.879
33.802	2.752
33.999	2.630
34.193	2.514
34.384	2.404
34.572	2.302
34.757	2.208
34.937	2.123
35.113	2.048
35.284	1.984
35.450	1.931
35.610	1.890
35.765	1.862
35.914	1.848
36.056	1.849
36.192	1.865
36.321	1.895
36.444	1.939
36.560	1.996
36.671	2.065
36.775	2.145
36.874	2.235
36.968	2.336
37.055	2.445
37.138	2.562
37.216	2.686
37.288	2.817
37.356	2.953
37.420	3.094
37.479	3.239
37.534	3.388
37.584	3.541
37.630	3.697
37.673	3.856
37.711	4.019
37.745	4.183
37.776	4.350
37.803	4.519
37.826	4.690
37.845	4.862
37.862	5.035
37.874	5.210
37.884	5.384
37.890	5.560
37.893	5.735
37.894	5.910
37.891	6.084
37.885	6.258
37.877	6.430
37.865	6.602
37.851	6.772
37.833	6.941
37.813	7.107
37.790	7.272
37.764	7.434
37.735	7.594
37.704	7.751
37.669	7.904
37.632	8.055
37.592	8.202
37.549	8.346
37.503	8.486
37.455	8.621
37.404	8.753
37.349	8.880
37.290	9.003
37.226	9.122
37.157	9.236
37.081	9.347
37.000	9.454
36.911	9.556
36.815	9.655
36.710	9.750
36.597	9.841
36.474	9.928
36.341	10.011
36.197	10.091
36.043	10.167
35.878	10.240
35.704	10.309
35.521	10.375
35.329	10.439
35.131	10.500
34.926	10.559
34.715	10.615
34.499	10.670
34.279	10.723
34.056	10.775
33.829	10.826
33.601	10.876
33.371	10.925
33.141	10.974
32.911	11.023
32.682	11.072
32.455	11.121
32.231	11.170
32.009	11.221
31.792	11.272
31.579	11.325
31.372	11.379
31.171	11.434
30.974	11.490
30.783	11.547
30.596	11.603
30.414	11.660
30.235	11.716
30.061	11.770
29.889	11.823
29.721	11.874
29.555	11.923
29.392	11.970
29.230	12.013
29.071	12.053
28.912	12.089
28.755	12.120
28.599	12.147
28.443	12.169
28.288	12.186
28.132	12.197
27.976	12.203
27.820	12.204
27.664	12.202
27.508	12.196
27.352	12.188
27.196	12.178
27.040	12.166
26.884	12.154
26.727	12.142
26.571	12.130
26.415	12.119
26.259	12.110
26.103	12.103
25.947	12.099
25.791	12.099
25.635	12.103
25.481	12.109
25.328	12.118
25.177	12.129
25.030	12.139
24.887	12.148
24.749	12.156
24.617	12.162
24.491	12.163
24.373	12.160
24.263	12.151
24.162	12.136
24.071	12.113
23.990	12.082
23.920	12.042
23.861	11.995
23.811	11.941
23.769	11.881
23.736	11.816
23.711	11.747
23.693	11.675
23.682	11.601
23.676	11.525
23.674	11.449
23.676	11.372
23.680	11.295
23.685	11.219
23.691	11.145
23.695	11.073
23.698	11.003
23.700	10.936
23.700	10.872
23.699	10.809
23.698	10.749
23.695	10.690
23.692	10.634
23.690	10.578
23.692	10.521
23.699	10.462
23.714	10.398
23.740	10.328
23.778	10.251
