X	Y
23.778	11.763
23.851	11.719
23.943	11.687
24.052	11.667
24.179	11.658
24.322	11.660
24.480	11.671
24.653	11.692
24.840	11.721
25.039	11.759
25.250	11.803
25.473	11.855
25.705	11.912
25.947	11.974
26.198	12.042
26.456	12.113
26.721	12.188
26.992	12.266
27.268	12.345
27.548	12.427
27.832	12.509
28.119	12.591
28.407	12.672
28.696	12.753
28.985	12.832
29.273	12.909
29.559	12.983
29.844	13.055
30.126	13.125
30.406	13.194
30.682	13.261
30.955	13.328
31.223	13.393
31.486	13.459
31.744	13.524
31.997	13.590
32.244	13.656
32.483	13.722
32.716	13.790
32.942	13.859
33.159	13.930
33.368	14.003
33.567	14.078
33.758	14.155
33.938	14.235
34.109	14.319
34.268	14.405
34.416	14.495
34.552	14.589
34.676	14.688
34.788	14.791
34.886	14.898
34.972	15.010
35.046	15.126
35.108	15.246
35.159	15.370
35.200	15.496
35.231	15.626
35.253	15.758
35.265	15.892
35.270	16.028
35.266	16.166
35.256	16.305
35.238	16.445
35.215	16.585
35.186	16.726
35.152	16.867
35.112	17.007
35.067	17.147
35.017	17.285
34.961	17.422
34.901	17.557
34.835	17.690
34.764	17.821
34.689	17.948
34.608	18.073
34.523	18.194
34.433	18.310
34.338	18.423
34.238	18.531
34.134	18.633
34.025	18.731
33.911	18.823
33.793	18.910
33.670	18.993
33.543	19.070
33.412	19.144
33.276	19.213
33.136	19.278
32.991	19.340
32.843	19.398
32.690	19.453
32.533	19.504
32.371	19.553
32.206	19.600
32.037	19.644
31.863	19.685
31.686	19.725
31.505	19.763
31.320	19.799
31.131	19.834
30.941	19.865
30.748	19.894
30.553	19.919
30.357	19.941
30.161	19.959
29.965	19.972
29.769	19.980
29.574	19.984
29.380	19.981
29.189	19.973
28.999	19.959
28.813	19.938
28.631	19.909
28.452	19.874
28.278	19.831
28.109	19.779
27.945	19.719
27.788	19.650
27.636	19.572
27.491	19.485
27.352	19.390
27.217	19.288
27.088	19.178
26.962	19.061
26.841	18.938
26.724	18.810
26.609	18.676
26.498	18.537
26.389	18.395
26.281	18.248
26.176	18.098
26.071	17.945
25.968	17.790
25.864	17.633
25.761	17.475
25.657	17.315
25.553	17.156
25.447	16.996
25.340	16.837
25.234	16.678
25.127	16.520
25.020	16.363
24.915	16.207
24.812	16.052
24.710	15.899
24.611	15.747
24.514	15.597
24.422	15.449
24.333	15.303
24.248	15.159
24.168	15.018
24.094	14.880
24.025	14.745
23.963	14.612
23.907	14.483
23.858	14.358
23.817	14.236
23.783	14.117
23.756	14.002
23.734	13.891
23.717	13.784
23.705	13.680
23.697	13.580
23.693	13.484
23.691	13.391
23.691	13.302
23.693	13.217
23.696	13.136
23.700	13.058
23.703	12.981
23.706	12.906
23.708	12.831
23.708	12.755
23.706	12.676
23.701	12.595
23.693	12.509
23.682	12.419
23.670	12.326
23.660	12.232
23.654	12.139
23.655	12.050
23.665	11.965
23.687	11.888
23.724	11.820
23.778	11.763
