X,Y
10.187,4.720
10.191,4.709
10.196,4.699
10.201,4.688
10.207,4.678
10.212,4.667
10.219,4.657
10.225,4.646
10.232,4.636
10.240,4.625
10.247,4.615
10.256,4.604
10.264,4.593
10.273,4.583
10.282,4.572
10.292,4.561
10.302,4.550
10.312,4.540
10.323,4.529
10.334,4.518
10.345,4.507
10.357,4.497
10.369,4.486
10.382,4.475
10.394,4.464
10.407,4.453
10.421,4.442
10.435,4.431
10.449,4.421
10.463,4.410
10.478,4.399
10.493,4.388
10.509,4.377
10.525,4.366
10.541,4.355
10.557,4.344
10.574,4.334
10.591,4.323
10.608,4.312
10.626,4.301
10.644,4.290
10.662,4.279
10.681,4.268
10.699,4.257
10.718,4.246
10.738,4.236
10.757,4.225
10.777,4.214
10.797,4.203
10.818,4.192
10.838,4.181
10.859,4.170
10.880,4.160
10.902,4.149
10.923,4.138
10.945,4.127
10.967,4.116
10.989,4.105
11.012,4.094
11.034,4.084
11.057,4.073
11.080,4.062
11.103,4.051
11.127,4.040
11.150,4.029
11.174,4.018
11.198,4.008
11.222,3.997
11.246,3.986
11.271,3.975
11.295,3.964
11.320,3.953
11.345,3.943
11.370,3.932
11.395,3.921
11.420,3.910
11.446,3.899
11.471,3.888
11.497,3.878
11.522,3.867
11.548,3.856
11.574,3.845
11.600,3.834
11.626,3.823
11.652,3.813
11.679,3.802
11.705,3.791
11.731,3.780
11.758,3.769
11.784,3.759
11.811,3.748
11.838,3.737
11.864,3.726
11.891,3.715
11.918,3.705
11.945,3.694
11.971,3.683
11.998,3.672
12.025,3.661
12.052,3.651
12.079,3.640
12.106,3.629
12.133,3.618
12.160,3.607
12.187,3.596
12.215,3.586
12.242,3.575
12.269,3.564
12.296,3.553
12.323,3.542
12.351,3.532
12.378,3.521
12.405,3.510
12.432,3.499
12.460,3.488
12.487,3.477
12.514,3.467
12.542,3.456
12.569,3.445
12.596,3.434
12.624,3.423
12.651,3.412
12.678,3.401
12.706,3.390
12.733,3.380
12.760,3.369
12.788,3.358
12.815,3.347
12.842,3.336
12.869,3.325
12.897,3.314
12.924,3.303
12.951,3.292
12.978,3.281
13.006,3.270
13.033,3.259
13.060,3.248
13.087,3.237
13.114,3.226
13.141,3.215
13.168,3.204
13.195,3.193
13.222,3.182
13.249,3.171
13.276,3.160
13.303,3.148
13.330,3.137
13.357,3.126
13.383,3.115
13.410,3.104
13.437,3.093
13.463,3.081
13.490,3.070
13.516,3.059
13.543,3.048
13.569,3.036
13.596,3.025
13.622,3.014
13.648,3.003
13.674,2.991
13.700,2.980
13.726,2.969
13.752,2.957
13.778,2.946
13.804,2.934
13.830,2.923
13.856,2.912
13.882,2.900
13.907,2.889
13.933,2.877
13.959,2.866
13.984,2.855
14.010,2.843
14.036,2.832
14.061,2.821
14.086,2.809
14.112,2.798
14.137,2.787
14.163,2.775
14.188,2.764
14.213,2.753
14.239,2.742
14.264,2.730
14.289,2.719
14.314,2.708
14.340,2.697
14.365,2.686
14.390,2.675
14.415,2.664
14.440,2.653
14.466,2.642
14.491,2.631
14.516,2.621
14.541,2.610
14.566,2.599
14.591,2.588
14.616,2.578
14.642,2.567
14.667,2.557
14.692,2.546
14.717,2.536
14.742,2.526
14.767,2.515
14.793,2.505
14.818,2.495
14.843,2.485
14.868,2.475
14.893,2.465
14.919,2.455
14.944,2.445
14.969,2.436
14.995,2.426
15.020,2.417
15.045,2.407
15.071,2.398
15.096,2.389
15.122,2.379
15.147,2.370
15.173,2.361
15.198,2.352
15.224,2.344
15.249,2.335
15.275,2.326
15.301,2.318
15.326,2.309
15.352,2.301
15.378,2.293
15.404,2.285
15.430,2.276
15.455,2.268
15.481,2.261
15.507,2.253
15.533,2.245
15.559,2.237
15.585,2.230
15.611,2.222
15.637,2.215
15.663,2.208
15.689,2.200
15.715,2.193
15.741,2.186
15.767,2.179
15.793,2.172
