X,Y
10.082,5.175
10.090,5.169
10.100,5.163
10.110,5.158
10.122,5.153
10.134,5.149
10.148,5.146
10.162,5.144
10.177,5.142
10.193,5.141
10.210,5.140
10.228,5.140
10.246,5.140
10.265,5.141
10.285,5.142
10.305,5.144
10.327,5.146
10.348,5.148
10.371,5.151
10.394,5.154
10.417,5.158
10.441,5.162
10.465,5.166
10.490,5.170
10.516,5.175
10.541,5.180
10.568,5.185
10.594,5.190
10.621,5.195
10.648,5.200
10.675,5.206
10.703,5.211
10.730,5.217
10.758,5.222
10.786,5.227
10.815,5.233
10.843,5.238
10.871,5.244
10.900,5.249
10.928,5.254
10.956,5.259
10.985,5.263
11.013,5.268
11.041,5.272
11.070,5.277
11.098,5.281
11.126,5.285
11.154,5.288
11.182,5.292
11.210,5.296
11.239,5.299
11.267,5.302
11.295,5.306
11.323,5.309
11.351,5.312
11.379,5.315
11.407,5.317
11.436,5.320
11.464,5.323
11.492,5.325
11.520,5.328
11.548,5.330
11.577,5.333
11.605,5.335
11.633,5.338
11.661,5.340
11.690,5.342
11.718,5.344
11.747,5.347
11.775,5.349
11.804,5.351
11.832,5.353
11.861,5.355
11.889,5.358
11.918,5.360
11.947,5.362
11.976,5.365
12.005,5.367
12.034,5.369
12.063,5.372
12.092,5.374
12.121,5.377
12.150,5.379
12.179,5.382
12.209,5.385
12.238,5.387
12.268,5.390
12.298,5.393
12.327,5.396
12.357,5.399
12.387,5.403
12.417,5.406
12.448,5.410
12.478,5.413
12.508,5.417
12.539,5.421
12.569,5.425
12.600,5.429
12.631,5.433
12.662,5.437
12.692,5.442
12.723,5.446
12.754,5.451
12.786,5.455
12.817,5.460
12.848,5.465
12.879,5.470
12.910,5.475
12.942,5.480
12.973,5.485
13.004,5.490
13.036,5.495
13.067,5.500
13.098,5.506
13.130,5.511
13.161,5.516
13.192,5.522
13.224,5.527
13.255,5.533
13.286,5.538
13.318,5.544
13.349,5.549
13.380,5.555
13.411,5.560
13.442,5.566
13.473,5.571
13.504,5.577
13.535,5.582
13.566,5.588
13.597,5.593
13.628,5.599
13.658,5.604
13.689,5.610
13.719,5.615
13.750,5.620
13.780,5.626
13.810,5.631
13.840,5.636
13.870,5.641
13.900,5.647
13.929,5.652
13.959,5.657
13.988,5.662
14.017,5.666
14.046,5.671
14.075,5.676
14.104,5.681
14.133,5.685
14.161,5.690
14.189,5.694
14.217,5.698
14.245,5.702
14.273,5.707
14.301,5.711
14.328,5.715
14.355,5.719
14.382,5.723
14.409,5.726
14.436,5.730
14.462,5.734
14.489,5.738
14.515,5.741
14.541,5.745
14.567,5.749
14.593,5.753
14.618,5.756
14.644,5.760
14.669,5.764
14.694,5.768
14.719,5.771
14.744,5.775
14.769,5.779
14.793,5.783
14.817,5.787
14.842,5.791
14.866,5.795
14.890,5.799
14.913,5.803
14.937,5.808
14.960,5.812
14.984,5.816
15.007,5.821
15.030,5.826
15.053,5.831
15.075,5.835
15.098,5.840
15.120,5.846
15.143,5.851
15.165,5.856
15.187,5.862
15.209,5.868
15.230,5.874
15.252,5.880
15.273,5.886
15.295,5.892
15.316,5.899
15.337,5.906
15.358,5.912
15.379,5.920
15.399,5.927
15.420,5.934
15.441,5.942
15.461,5.950
15.481,5.958
15.501,5.966
15.521,5.974
15.541,5.983
15.561,5.991
15.581,6.000
15.601,6.009
15.620,6.018
15.640,6.028
15.659,6.037
15.678,6.047
15.698,6.057
15.717,6.067
15.736,6.077
15.755,6.087
15.774,6.098
15.793,6.109
15.812,6.119
15.831,6.131
15.850,6.142
15.869,6.153
15.887,6.165
15.906,6.176
15.925,6.188
15.943,6.200
15.962,6.212
15.981,6.225
15.999,6.237
16.018,6.250
16.036,6.263
16.055,6.276
16.073,6.289
16.092,6.302
16.110,6.316
16.128,6.329
16.147,6.343
16.165,6.357
16.183,6.371
16.201,6.385
16.218,6.400
16.236,6.415
16.253,6.429
16.270,6.444
16.287,6.460
16.303,6.475
16.319,6.490
16.335,6.506
16.351,6.522
16.366,6.538
16.381,6.554
16.395,6.571
16.409,6.587
16.423,6.604
16.436,6.621
16.449,6.638
16.461,6.656
16.472,6.673
16.484,6.691
16.494,6.709
16.504,6.727
16.513,6.746
16.522,6.764
16.530,6.783
16.538,6.802
16.545,6.821
16.551,6.841
16.556,6.860
16.561,6.880
16.565,6.900
16.568,6.920
16.570,6.941
16.572,6.961
16.573,6.982
16.573,7.003
16.572,7.024
16.571,7.046
16.569,7.067
16.566,7.088
16.563,7.110
16.559,7.132
16.555,7.154
16.550,7.175
16.544,7.197
16.538,7.219
16.531,7.241
16.523,7.263
16.516,7.285
16.507,7.307
16.498,7.329
16.489,7.351
16.479,7.373
16.468,7.395
16.458,7.416
16.446,7.438
16.435,7.460
16.423,7.481
16.410,7.502
16.397,7.524
