X,Y
6.760,4.150
6.761,4.145
6.763,4.140
6.767,4.135
6.771,4.129
6.776,4.123
6.783,4.116
6.790,4.109
6.798,4.102
6.808,4.094
6.818,4.086
6.829,4.078
6.841,4.070
6.854,4.061
6.868,4.052
6.882,4.043
6.898,4.033
6.914,4.023
6.930,4.013
6.948,4.003
6.966,3.993
6.985,3.982
7.004,3.971
7.024,3.960
7.045,3.949
7.066,3.938
7.087,3.926
7.109,3.915
7.132,3.903
7.155,3.891
7.178,3.879
7.202,3.867
7.226,3.855
7.251,3.843
7.276,3.830
7.301,3.818
7.326,3.806
7.352,3.793
7.378,3.781
7.404,3.768
7.430,3.756
7.456,3.743
7.482,3.731
7.509,3.719
7.535,3.706
7.562,3.694
7.588,3.682
7.615,3.669
7.641,3.657
7.668,3.645
7.694,3.633
7.720,3.622
7.746,3.610
7.772,3.598
7.797,3.587
7.823,3.576
7.848,3.565
7.873,3.554
7.897,3.543
7.922,3.532
7.946,3.522
7.970,3.511
7.994,3.501
8.017,3.491
8.041,3.481
8.064,3.471
8.087,3.462
8.110,3.452
8.132,3.443
8.155,3.433
8.177,3.424
8.199,3.415
8.221,3.407
8.243,3.398
8.264,3.389
8.286,3.381
8.307,3.373
8.328,3.364
8.350,3.356
8.370,3.348
8.391,3.341
8.412,3.333
8.433,3.325
8.453,3.318
8.473,3.311
8.494,3.303
8.514,3.296
8.534,3.289
8.554,3.283
8.574,3.276
8.594,3.269
8.613,3.263
8.633,3.256
8.653,3.250
8.672,3.244
8.692,3.238
8.711,3.232
8.731,3.226
8.750,3.220
8.770,3.215
8.789,3.209
8.808,3.204
8.827,3.198
8.847,3.193
8.866,3.188
8.885,3.183
8.904,3.178
8.924,3.173
8.943,3.168
8.962,3.164
8.982,3.159
9.001,3.154
9.020,3.150
9.040,3.146
9.059,3.141
9.078,3.137
9.098,3.133
9.117,3.129
9.137,3.125
9.156,3.121
9.176,3.117
9.196,3.113
9.215,3.110
9.235,3.106
9.254,3.102
9.274,3.098
9.294,3.095
9.314,3.091
9.333,3.087
9.353,3.084
9.373,3.080
9.393,3.076
9.413,3.073
9.433,3.069
9.453,3.066
9.473,3.062
9.493,3.058
9.513,3.054
9.533,3.051
9.553,3.047
9.573,3.043
9.593,3.039
9.613,3.035
9.634,3.031
9.654,3.027
9.674,3.023
9.694,3.019
9.715,3.015
9.735,3.010
9.756,3.006
9.776,3.001
9.797,2.997
9.817,2.992
9.838,2.987
9.858,2.983
9.879,2.978
9.900,2.973
9.920,2.967
9.941,2.962
9.962,2.957
9.983,2.951
10.004,2.945
10.025,2.940
10.046,2.934
10.067,2.928
10.088,2.921
10.109,2.915
10.130,2.909
10.151,2.902
10.172,2.896
10.193,2.889
10.214,2.883
10.235,2.876
10.256,2.870
10.276,2.863
10.297,2.856
10.318,2.850
10.339,2.843
10.360,2.837
10.380,2.830
10.401,2.824
10.421,2.817
10.441,2.811
10.462,2.805
10.482,2.799
10.502,2.793
10.522,2.787
10.542,2.781
10.562,2.775
10.581,2.770
10.601,2.765
10.620,2.759
10.639,2.754
10.658,2.750
10.677,2.745
10.696,2.741
10.714,2.737
10.732,2.733
10.751,2.729
10.769,2.726
10.786,2.722
10.804,2.719
10.821,2.717
10.838,2.715
10.855,2.713
10.872,2.711
10.888,2.710
10.905,2.709
10.920,2.708
10.936,2.708
10.952,2.708
10.967,2.708
10.982,2.709
10.996,2.710
11.011,2.712
11.025,2.713
11.039,2.715
11.053,2.718
11.067,2.720
11.080,2.723
11.094,2.725
11.107,2.728
11.120,2.731
11.133,2.735
11.146,2.738
11.159,2.741
11.172,2.744
11.185,2.748
11.197,2.751
11.210,2.754
11.223,2.757
11.236,2.760
11.249,2.763
11.262,2.766
11.275,2.768
11.288,2.771
11.301,2.773
11.314,2.775
11.328,2.776
11.341,2.778
11.355,2.779
11.369,2.779
11.383,2.779
11.398,2.779
11.412,2.779
11.427,2.778
11.442,2.776
11.457,2.774
11.472,2.772
11.488,2.769
11.504,2.766
11.520,2.763
11.536,2.759
11.552,2.756
11.568,2.751
11.585,2.747
11.602,2.743
11.618,2.738
11.635,2.733
11.652,2.728
11.669,2.723
11.686,2.718
11.703,2.712
11.720,2.707
11.737,2.702
11.755,2.696
11.772,2.691
11.789,2.686
11.806,2.681
11.823,2.676
11.840,2.671
11.857,2.666
11.874,2.661
11.891,2.657
11.908,2.653
11.925,2.649
11.941,2.645
11.958,2.642
11.974,2.639
11.990,2.636
12.006,2.634
12.022,2.632
12.038,2.630
12.054,2.629
12.069,2.628
12.084,2.628
12.099,2.628
12.114,2.629
12.129,2.630
12.143,2.632
12.157,2.634
12.171,2.637
12.184,2.640
12.198,2.644
12.211,2.648
12.224,2.652
12.237,2.657
12.249,2.663
12.262,2.668
12.274,2.674
12.286,2.681
12.297,2.687
12.309,2.694
12.320,2.702
12.331,2.710
12.342,2.718
12.352,2.726
12.363,2.734
12.373,2.743
12.383,2.752
12.393,2.762
12.402,2.771
12.412,2.781
12.421,2.791
12.430,2.801
12.439,2.811
12.447,2.822
12.455,2.832
12.464,2.843
12.471,2.854
12.479,2.865
12.487,2.876
12.494,2.888
12.501,2.899
12.508,2.910
12.515,2.922
12.521,2.934
12.528,2.945
12.534,2.957
12.540,2.969
12.545,2.981
12.551,2.993
12.556,3.006
12.561,3.018
12.566,3.030
12.571,3.043
12.575,3.055
12.580,3.068
12.584,3.080
12.588,3.093
12.591,3.105
12.595,3.118
12.598,3.131
12.601,3.144
12.604,3.157
12.607,3.169
12.609,3.182
12.611,3.195
12.613,3.208
12.615,3.221
12.617,3.234
12.618,3.247
12.620,3.260
12.621,3.273
12.621,3.286
12.622,3.299
12.622,3.312
12.622,3.325
12.622,3.337
12.622,3.350
12.621,3.363
12.620,3.376
12.619,3.389
12.617,3.402
12.615,3.415
12.613,3.427
12.611,3.440
12.608,3.453
12.604,3.465
12.601,3.478
12.597,3.491
12.592,3.503
12.588,3.516
12.583,3.528
12.577,3.540
12.571,3.553
12.565,3.565
12.558,3.577
12.551,3.589
12.543,3.602
12.535,3.614
12.526,3.626
12.517,3.638
12.508,3.649
12.498,3.661
12.487,3.673
12.476,3.684
12.465,3.696
12.453,3.707
12.440,3.719
12.427,3.730
12.414,3.741
12.400,3.753
12.386,3.764
12.372,3.775
12.357,3.786
12.342,3.797
12.326,3.808
12.311,3.818
12.294,3.829
12.278,3.840
12.261,3.850
12.244,3.861
12.227,3.872
12.209,3.882
12.191,3.892
12.173,3.903
12.155,3.913
12.137,3.923
12.118,3.934
12.099,3.944
12.080,3.954
12.061,3.964
12.041,3.974
12.022,3.984
12.002,3.994
11.983,4.004
11.963,4.014
11.943,4.024
11.923,4.034
11.903,4.044
11.883,4.054
11.863,4.063
11.842,4.073
11.822,4.083
11.802,4.093
11.782,4.102
11.762,4.112
11.741,4.122
11.721,4.131
11.701,4.141
11.681,4.150
11.662,4.160
11.642,4.170
11.622,4.179
11.603,4.189
11.583,4.198
11.564,4.208
11.545,4.217
11.526,4.227
11.507,4.236
11.488,4.245
11.469,4.255
11.450,4.264
11.431,4.274
11.413,4.283
11.394,4.292
11.376,4.302
11.357,4.311
11.339,4.320
11.320,4.329
11.302,4.339
11.284,4.348
11.266,4.357
11.247,4.366
11.229,4.375
11.211,4.384
11.193,4.393
11.175,4.402
11.156,4.411
11.138,4.420
11.120,4.429
11.102,4.438
11.084,4.447
11.066,4.455
11.047,4.464
11.029,4.473
11.011,4.481
10.993,4.490
10.974,4.498
10.956,4.507
10.937,4.515
10.919,4.524
10.900,4.532
10.881,4.540
10.863,4.549
10.844,4.557
10.825,4.565
10.806,4.573
10.787,4.581
10.768,4.589
10.749,4.597
10.729,4.605
10.710,4.613
10.690,4.621
10.670,4.628
10.651,4.636
10.631,4.644
10.611,4.651
10.590,4.659
10.570,4.666
10.550,4.673
10.529,4.681
10.509,4.688
10.488,4.695
10.467,4.702
10.446,4.709
10.425,4.716
10.404,4.723
10.383,4.729
10.362,4.736
10.341,4.743
10.319,4.749
10.298,4.756
10.276,4.762
10.255,4.768
10.233,4.775
10.211,4.781
10.189,4.787
10.167,4.793
10.146,4.798
10.124,4.804
10.102,4.810
10.080,4.816
10.057,4.821
10.035,4.826
10.013,4.832
9.991,4.837
9.969,4.842
9.946,4.847
9.924,4.852
9.902,4.857
9.879,4.861
9.857,4.866
9.835,4.871
9.812,4.875
9.790,4.879
9.768,4.884
9.745,4.888
9.723,4.892
9.700,4.895
9.678,4.899
9.656,4.903
9.633,4.906
9.611,4.910
9.589,4.913
9.566,4.916
9.544,4.919
9.522,4.922
9.500,4.925
9.477,4.928
9.455,4.930
9.433,4.933
9.411,4.935
9.389,4.937
9.367,4.939
9.345,4.941
9.323,4.943
9.301,4.945
9.279,4.947
9.257,4.948
9.235,4.950
9.214,4.951
9.192,4.952
9.170,4.953
9.148,4.955
9.127,4.956
9.105,4.956
9.083,4.957
9.062,4.958
9.040,4.959
9.019,4.959
8.997,4.960
8.976,4.960
8.954,4.961
8.933,4.961
8.911,4.961
8.890,4.962
8.869,4.962
8.847,4.962
8.826,4.962
8.805,4.962
8.783,4.962
8.762,4.962
8.741,4.962
8.720,4.962
8.698,4.961
8.677,4.961
8.656,4.961
8.635,4.961
8.614,4.960
8.593,4.960
8.571,4.960
8.550,4.959
8.529,4.959
8.508,4.959
8.487,4.958
8.466,4.958
8.445,4.958
8.424,4.957
8.403,4.957
8.382,4.956
8.361,4.956
8.340,4.956
8.319,4.955
8.298,4.955
8.277,4.954
8.256,4.954
8.235,4.954
8.214,4.953
8.194,4.953
8.173,4.953
8.152,4.952
8.131,4.952
8.111,4.951
8.090,4.951
8.070,4.950
8.049,4.950
8.029,4.949
8.008,4.949
7.988,4.948
7.968,4.947
7.948,4.946
7.928,4.945
7.908,4.944
7.888,4.943
7.869,4.942
7.849,4.941
7.830,4.940
7.810,4.938
7.791,4.937
7.772,4.935
7.753,4.934
7.734,4.932
7.716,4.930
7.697,4.928
7.679,4.926
7.661,4.924
7.643,4.921
7.625,4.919
7.607,4.916
7.589,4.913
7.572,4.910
7.555,4.907
7.538,4.904
7.521,4.900
7.505,4.897
7.488,4.893
7.472,4.889
7.456,4.885
7.440,4.880
7.425,4.876
7.410,4.871
7.394,4.866
7.380,4.861
7.365,4.856
7.351,4.851
7.336,4.845
7.322,4.839
7.309,4.834
7.295,4.828
7.282,4.822
7.269,4.816
7.256,4.809
7.243,4.803
7.231,4.797
7.219,4.790
7.207,4.784
7.195,4.777
7.183,4.771
7.172,4.764
7.161,4.757
7.150,4.751
