X,Y
7.079,4.654
7.084,4.650
7.089,4.645
7.096,4.641
7.104,4.637
7.112,4.634
7.121,4.630
7.132,4.627
7.143,4.625
7.155,4.622
7.167,4.620
7.181,4.619
7.195,4.617
7.210,4.616
7.226,4.615
7.242,4.614
7.260,4.614
7.278,4.614
7.296,4.614
7.315,4.614
7.335,4.614
7.356,4.615
7.377,4.616
7.399,4.617
7.421,4.618
7.444,4.620
7.467,4.621
7.491,4.623
7.515,4.625
7.540,4.627
7.565,4.630
7.591,4.632
7.617,4.635
7.644,4.638
7.671,4.640
7.698,4.643
7.726,4.647
7.754,4.650
7.782,4.653
7.811,4.657
7.840,4.660
7.869,4.664
7.898,4.667
7.928,4.671
7.958,4.675
7.988,4.679
8.018,4.683
8.049,4.687
8.079,4.691
8.110,4.695
8.141,4.699
8.172,4.703
8.203,4.707
8.233,4.711
8.265,4.715
8.296,4.719
8.327,4.723
8.358,4.727
8.389,4.731
8.419,4.735
8.450,4.739
8.481,4.743
8.512,4.747
8.542,4.750
8.573,4.754
8.603,4.758
8.633,4.761
8.663,4.765
8.692,4.768
8.722,4.771
8.751,4.774
8.780,4.777
8.808,4.780
8.837,4.783
8.865,4.786
8.893,4.789
8.921,4.791
8.948,4.794
8.976,4.796
9.003,4.798
9.030,4.801
9.056,4.803
9.083,4.805
9.109,4.807
9.135,4.810
9.161,4.812
9.187,4.814
9.212,4.816
9.238,4.818
9.263,4.819
9.287,4.821
9.312,4.823
9.337,4.825
9.361,4.827
9.385,4.829
9.409,4.831
9.433,4.832
9.457,4.834
9.480,4.836
9.503,4.838
9.526,4.840
9.549,4.842
9.572,4.844
9.595,4.845
9.617,4.847
9.640,4.849
9.662,4.851
9.684,4.854
9.706,4.856
9.728,4.858
9.749,4.860
9.771,4.862
9.792,4.865
9.813,4.867
9.835,4.869
9.855,4.872
9.876,4.875
9.897,4.877
9.918,4.880
9.938,4.883
9.959,4.886
9.979,4.889
9.999,4.892
10.019,4.895
10.039,4.898
10.059,4.902
10.079,4.905
10.098,4.909
10.118,4.913
10.137,4.917
10.157,4.921
10.176,4.925
10.195,4.930
10.214,4.934
10.234,4.939
10.253,4.943
10.271,4.948
10.290,4.953
10.309,4.959
10.328,4.964
10.346,4.969
10.365,4.975
10.384,4.981
10.402,4.987
10.420,4.993
10.439,4.999
10.457,5.005
10.475,5.011
10.493,5.017
10.511,5.024
10.529,5.030
10.547,5.036
10.565,5.043
10.583,5.049
10.600,5.056
10.618,5.063
10.635,5.069
10.653,5.076
10.670,5.083
10.688,5.089
10.705,5.096
10.722,5.102
10.739,5.109
10.756,5.116
10.773,5.122
10.790,5.129
10.807,5.135
10.824,5.141
10.841,5.148
10.858,5.154
10.874,5.160
10.891,5.166
10.907,5.172
10.924,5.178
10.940,5.184
10.956,5.189
10.973,5.195
10.989,5.200
11.005,5.205
11.021,5.210
11.037,5.215
11.053,5.220
11.069,5.225
11.085,5.229
11.100,5.233
11.116,5.237
11.132,5.241
11.147,5.245
11.163,5.248
11.178,5.252
11.194,5.255
11.209,5.258
11.224,5.260
11.240,5.263
11.255,5.265
11.270,5.268
11.285,5.270
11.299,5.272
11.314,5.274
11.329,5.276
11.344,5.279
11.358,5.281
11.372,5.283
11.387,5.285
11.401,5.287
11.415,5.290
11.429,5.292
11.443,5.294
11.457,5.297
11.470,5.300
11.484,5.303
11.497,5.306
11.511,5.309
11.524,5.313
11.537,5.317
11.550,5.321
11.563,5.325
11.575,5.330
11.588,5.335
11.600,5.340
11.612,5.345
11.624,5.351
11.636,5.358
11.648,5.364
11.660,5.371
11.671,5.379
11.682,5.387
11.693,5.396
11.704,5.404
11.715,5.414
11.726,5.424
11.736,5.434
11.746,5.445
11.757,5.456
11.766,5.468
11.776,5.480
11.786,5.493
11.795,5.506
11.804,5.519
11.813,5.533
11.821,5.547
11.830,5.561
11.838,5.575
11.846,5.590
11.854,5.605
11.861,5.620
11.869,5.636
11.876,5.651
11.883,5.667
11.889,5.683
11.896,5.700
11.902,5.716
11.908,5.732
11.913,5.749
11.918,5.765
11.923,5.782
11.928,5.799
11.933,5.816
11.937,5.832
11.941,5.849
11.945,5.866
11.948,5.883
11.951,5.899
11.954,5.916
11.956,5.932
11.958,5.949
11.960,5.965
11.962,5.981
11.963,5.997
11.964,6.013
11.965,6.028
11.965,6.044
11.965,6.059
11.964,6.074
11.964,6.088
11.962,6.103
11.961,6.117
11.959,6.130
11.957,6.144
11.955,6.157
11.952,6.170
11.949,6.183
11.945,6.196
11.941,6.208
11.937,6.220
11.933,6.232
11.928,6.244
11.922,6.255
11.917,6.267
11.911,6.278
11.905,6.289
11.898,6.300
11.891,6.310
11.884,6.321
11.876,6.331
11.868,6.341
11.860,6.351
11.851,6.361
11.842,6.371
11.832,6.380
11.822,6.390
11.812,6.399
11.802,6.408
11.791,6.418
11.780,6.427
