X	Y
41.531	23.842
41.589	23.737
41.656	23.631
41.731	23.525
41.814	23.418
41.904	23.310
42.001	23.201
42.105	23.092
42.216	22.982
42.333	22.871
42.455	22.760
42.583	22.648
42.716	22.535
42.854	22.422
42.997	22.308
43.144	22.194
43.294	22.079
43.449	21.963
43.606	21.847
43.767	21.731
43.930	21.614
44.095	21.496
44.262	21.378
44.431	21.259
44.601	21.140
44.772	21.021
44.944	20.901
45.117	20.781
45.290	20.661
45.463	20.540
45.637	20.418
45.812	20.297
45.987	20.175
46.164	20.053
46.340	19.930
46.518	19.808
46.696	19.685
46.875	19.562
47.055	19.439
47.236	19.315
47.418	19.192
47.600	19.068
47.784	18.944
47.968	18.821
48.154	18.697
48.340	18.573
48.528	18.449
48.717	18.325
48.906	18.201
49.097	18.078
49.289	17.954
49.482	17.830
49.677	17.707
49.873	17.583
50.070	17.460
50.268	17.337
50.467	17.214
50.668	17.091
50.871	16.969
51.075	16.847
51.280	16.725
51.486	16.603
51.694	16.482
51.903	16.362
52.113	16.242
52.324	16.123
52.537	16.004
52.750	15.887
52.964	15.770
53.180	15.654
53.396	15.540
53.612	15.427
53.830	15.314
54.048	15.204
54.267	15.094
54.486	14.986
54.706	14.880
54.926	14.775
55.146	14.672
55.367	14.571
55.588	14.472
55.810	14.374
56.031	14.279
56.253	14.185
56.475	14.094
56.696	14.005
56.918	13.919
57.139	13.835
57.360	13.753
57.581	13.674
57.802	13.598
58.022	13.524
58.242	13.453
58.462	13.385
58.681	13.320
58.899	13.258
59.117	13.199
59.334	13.143
59.550	13.089
59.766	13.039
59.981	12.992
60.195	12.947
60.408	12.905
60.620	12.866
60.832	12.830
61.042	12.796
61.252	12.765
61.460	12.737
61.668	12.711
61.874	12.687
62.079	12.667
62.283	12.648
62.486	12.633
62.688	12.619
62.888	12.608
63.087	12.600
63.285	12.593
63.481	12.589
63.676	12.588
63.870	12.588
64.062	12.591
64.252	12.596
64.441	12.603
64.629	12.612
64.814	12.623
64.998	12.636
65.181	12.651
65.361	12.669
65.538	12.688
65.714	12.710
65.887	12.734
66.056	12.760
66.223	12.789
66.386	12.820
66.546	12.853
66.702	12.889
66.855	12.928
67.003	12.969
67.146	13.013
67.285	13.059
67.420	13.108
67.549	13.161
67.673	13.215
67.792	13.273
67.904	13.334
68.012	13.398
68.113	13.465
68.207	13.535
68.296	13.608
68.378	13.684
68.454	13.764
68.524	13.846
68.588	13.933
68.647	14.022
68.700	14.115
68.748	14.212
68.791	14.312
68.829	14.416
68.862	14.524
68.890	14.635
68.914	14.750
68.934	14.869
68.950	14.992
68.961	15.119
68.969	15.250
68.973	15.384
68.973	15.523
68.970	15.665
68.963	15.810
68.952	15.959
68.939	16.111
68.921	16.266
68.901	16.424
68.877	16.584
68.850	16.747
68.820	16.913
68.787	17.081
68.751	17.250
68.712	17.422
68.670	17.596
68.625	17.771
68.578	17.948
68.527	18.126
68.474	18.306
68.419	18.487
68.361	18.668
68.301	18.851
68.238	19.034
68.173	19.217
68.106	19.401
68.036	19.585
67.965	19.770
67.891	19.954
67.816	20.139
67.738	20.323
67.659	20.507
67.578	20.691
