X	Y
41.851	28.264
41.925	28.205
42.016	28.150
42.123	28.099
42.246	28.051
42.384	28.008
42.536	27.968
42.700	27.932
42.877	27.899
43.064	27.869
43.262	27.842
43.469	27.818
43.684	27.796
43.906	27.777
44.135	27.760
44.369	27.745
44.608	27.732
44.850	27.720
45.095	27.711
45.342	27.703
45.590	27.696
45.837	27.690
46.084	27.685
46.330	27.681
46.574	27.677
46.816	27.675
47.058	27.674
47.298	27.674
47.537	27.675
47.774	27.677
48.011	27.681
48.247	27.686
48.481	27.692
48.714	27.700
48.947	27.709
49.178	27.720
49.409	27.733
49.638	27.747
49.867	27.763
50.095	27.781
50.322	27.800
50.549	27.822
50.775	27.845
51.000	27.871
51.224	27.898
51.448	27.928
51.671	27.960
51.894	27.994
52.116	28.031
52.338	28.070
52.559	28.111
52.779	28.154
52.999	28.200
53.218	28.248
53.435	28.299
53.652	28.351
53.867	28.406
54.081	28.464
54.294	28.523
54.505	28.585
54.714	28.649
54.922	28.715
55.128	28.784
55.332	28.855
55.534	28.928
55.734	29.003
55.932	29.081
56.128	29.160
56.321	29.242
56.511	29.326
56.700	29.412
56.885	29.501
57.068	29.591
57.248	29.684
57.425	29.779
57.599	29.876
57.771	29.974
57.939	30.075
58.105	30.177
58.268	30.281
58.429	30.386
58.586	30.493
58.741	30.602
58.893	30.711
59.042	30.822
59.189	30.934
59.332	31.048
59.473	31.162
59.611	31.277
59.746	31.393
59.879	31.510
60.009	31.628
60.136	31.746
60.260	31.865
60.382	31.985
60.499	32.105
60.613	32.226
60.722	32.349
60.827	32.472
60.926	32.598
61.019	32.724
61.106	32.853
61.187	32.984
61.260	33.117
61.325	33.252
61.383	33.389
61.431	33.530
61.471	33.673
61.501	33.819
61.522	33.968
61.532	34.121
61.531	34.277
61.521	34.436
61.501	34.597
61.472	34.762
61.435	34.928
61.389	35.097
61.336	35.267
61.276	35.439
61.209	35.612
61.135	35.786
61.056	35.962
60.971	36.137
60.882	36.313
60.787	36.490
60.689	36.666
60.587	36.842
60.482	37.017
60.375	37.191
60.265	37.364
60.153	37.536
60.039	37.707
59.925	37.876
59.809	38.043
59.691	38.208
59.572	38.372
59.452	38.534
59.330	38.693
59.207	38.851
59.083	39.007
58.958	39.161
58.831	39.312
58.703	39.462
58.574	39.609
58.444	39.753
58.313	39.895
58.180	40.035
58.047	40.172
57.912	40.306
57.777	40.438
57.640	40.567
57.502	40.693
57.364	40.816
57.224	40.936
57.084	41.053
56.943	41.166
56.802	41.275
56.660	41.380
56.518	41.480
56.375	41.576
56.232	41.667
56.090	41.753
55.947	41.833
55.804	41.908
55.662	41.976
55.520	42.038
55.379	42.093
55.238	42.142
55.098	42.183
54.958	42.217
54.820	42.243
54.682	42.262
54.545	42.274
54.409	42.280
54.274	42.283
54.140	42.281
54.006	42.278
53.873	42.273
53.740	42.268
53.607	42.263
53.475	42.260
53.344	42.261
53.212	42.265
53.081	42.273
52.949	42.288
52.818	42.310
52.687	42.339
52.557	42.375
52.427	42.418
52.299	42.465
52.174	42.518
52.050	42.576
51.930	42.638
51.813	42.703
51.699	42.771
51.590	42.841
51.486	42.913
51.387	42.987
51.293	43.061
51.206	43.136
51.124	43.210
51.048	43.283
50.974	43.355
50.902	43.424
50.830	43.492
50.756	43.557
50.679	43.618
50.597	43.675
50.508	43.728
50.410	43.777
50.303	43.819
50.184	43.856
50.053	43.888
49.911	43.913
49.759	43.932
49.599	43.946
49.430	43.954
49.253	43.956
49.071	43.954
48.883	43.946
48.691	43.933
48.496	43.915
48.299	43.892
48.100	43.865
47.900	43.832
47.701	43.796
47.504	43.755
47.309	43.709
47.117	43.659
46.930	43.606
46.748	43.548
46.572	43.487
46.403	43.421
46.240	43.352
46.083	43.280
45.932	43.203
45.787	43.122
45.647	43.038
45.512	42.949
45.382	42.857
45.257	42.760
45.136	42.660
45.019	42.555
44.906	42.447
44.797	42.334
44.691	42.218
44.588	42.097
44.488	41.972
44.391	41.842
44.296	41.709
44.203	41.572
44.113	41.430
44.024	41.285
43.938	41.135
43.854	40.983
43.772	40.826
43.691	40.667
43.613	40.504
43.536	40.338
43.462	40.169
43.389	39.998
43.317	39.824
43.247	39.647
43.179	39.468
43.113	39.286
43.047	39.102
42.983	38.917
42.921	38.729
42.860	38.540
42.800	38.350
42.741	38.157
42.684	37.964
42.627	37.769
42.571	37.574
42.516	37.378
42.462	37.181
42.408	36.984
42.355	36.787
42.302	36.589
42.249	36.392
42.197	36.196
42.144	36.000
42.092	35.804
42.039	35.610
41.986	35.416
41.933	35.224
41.879	35.034
41.824	34.845
41.769	34.658
41.714	34.472
41.657	34.290
41.599	34.109
41.540	33.931
41.481	33.756
41.422	33.583
41.363	33.413
41.306	33.245
41.251	33.080
41.198	32.918
41.148	32.759
41.102	32.602
41.061	32.448
41.024	32.297
40.993	32.148
40.968	32.002
40.950	31.859
40.939	31.719
40.936	31.582
40.942	31.448
40.958	31.316
40.982	31.187
41.015	31.062
41.055	30.938
41.100	30.818
41.151	30.700
41.205	30.585
41.261	30.472
41.318	30.362
41.375	30.254
41.431	30.148
41.484	30.045
41.533	29.943
41.578	29.844
41.616	29.747
41.648	29.652
41.673	29.558
41.694	29.467
41.709	29.376
41.719	29.288
41.726	29.200
41.729	29.114
41.728	29.029
41.725	28.944
41.720	28.861
41.714	28.778
41.710	28.697
41.709	28.618
41.715	28.541
41.730	28.467
41.756	28.395
41.796	28.328
41.851	28.264
