X,Y
91.258,46.606
91.317,46.518
91.383,46.429
91.455,46.341
91.534,46.253
91.620,46.165
91.712,46.077
91.810,45.989
91.913,45.902
92.023,45.816
92.137,45.730
92.257,45.644
92.381,45.559
92.510,45.475
92.644,45.391
92.782,45.308
92.923,45.226
93.069,45.145
93.218,45.064
93.370,44.985
93.526,44.906
93.684,44.829
93.845,44.753
94.008,44.678
94.174,44.604
94.341,44.532
94.511,44.461
94.681,44.391
94.854,44.323
95.027,44.256
95.201,44.191
95.376,44.127
95.551,44.065
95.726,44.005
95.902,43.946
96.077,43.890
96.251,43.835
96.426,43.782
96.600,43.731
96.773,43.681
96.946,43.634
97.119,43.588
97.292,43.544
97.464,43.502
97.636,43.461
97.807,43.422
97.979,43.385
98.150,43.349
98.320,43.315
98.491,43.283
98.661,43.252
98.831,43.222
99.001,43.195
99.170,43.168
99.340,43.143
99.509,43.120
99.678,43.098
99.847,43.078
100.016,43.059
100.184,43.041
100.353,43.025
100.521,43.010
100.690,42.996
100.858,42.984
101.026,42.973
101.194,42.963
101.362,42.955
101.530,42.947
101.698,42.941
101.866,42.936
102.034,42.933
102.202,42.930
102.370,42.929
102.538,42.928
102.706,42.929
102.874,42.931
103.042,42.933
103.211,42.937
103.379,42.942
103.548,42.948
103.716,42.954
103.885,42.962
104.054,42.970
104.223,42.979
104.393,42.989
104.563,43.000
104.733,43.011
104.903,43.023
105.074,43.036
105.245,43.049
105.416,43.063
105.587,43.078
105.759,43.093
105.932,43.109
106.104,43.125
106.277,43.142
106.451,43.159
106.625,43.177
106.800,43.195
106.975,43.213
107.150,43.232
107.326,43.251
107.503,43.270
107.680,43.289
107.858,43.309
108.036,43.329
108.215,43.349
108.394,43.369
108.575,43.389
108.755,43.410
108.937,43.430
109.119,43.451
109.302,43.471
109.486,43.491
109.670,43.512
109.854,43.533
110.039,43.554
110.224,43.575
110.409,43.596
110.594,43.618
110.780,43.640
110.965,43.663
111.149,43.686
111.334,43.710
111.518,43.734
111.702,43.759
111.885,43.785
112.067,43.811
112.249,43.838
112.429,43.866
112.609,43.895
112.788,43.925
112.965,43.956
113.141,43.988
113.316,44.021
113.490,44.055
113.662,44.090
113.833,44.127
114.001,44.165
114.168,44.204
114.333,44.244
114.497,44.286
114.658,44.330
114.817,44.375
114.973,44.421
115.128,44.469
115.280,44.519
115.429,44.571
115.576,44.624
115.720,44.679
115.862,44.736
116.000,44.795
116.136,44.856
116.270,44.918
116.401,44.983
116.530,45.049
116.657,45.117
116.781,45.186
116.905,45.258
117.026,45.331
117.146,45.405
117.265,45.481
117.382,45.559
117.499,45.638
117.614,45.719
117.729,45.801
117.843,45.885
117.957,45.970
118.070,46.056
118.183,46.144
118.296,46.233
118.409,46.324
118.522,46.415
118.636,46.508
118.750,46.602
118.865,46.698
118.980,46.794
119.097,46.892
119.214,46.990
119.333,47.090
119.453,47.191
119.575,47.293
119.698,47.395
119.823,47.499
119.949,47.604
120.077,47.709
120.205,47.816
120.335,47.923
120.465,48.032
120.596,48.142
120.727,48.253
120.859,48.364
120.990,48.477
121.122,48.591
121.253,48.706
121.383,48.822
121.513,48.939
121.642,49.058
121.769,49.177
121.896,49.298
122.021,49.420
122.144,49.543
122.265,49.667
122.385,49.792
122.502,49.919
122.617,50.047
122.729,50.176
122.839,50.306
122.946,50.438
123.050,50.571
123.150,50.705
123.247,50.840
123.340,50.977
123.429,51.115
123.515,51.254
123.596,51.395
123.673,51.537
123.745,51.680
123.813,51.825
123.875,51.972
123.933,52.119
123.986,52.268
124.034,52.418
124.078,52.570
124.117,52.722
124.152,52.876
124.183,53.031
124.210,53.187
124.233,53.344
124.252,53.503
124.267,53.662
124.280,53.822
124.288,53.983
124.294,54.144
124.296,54.307
124.296,54.470
124.293,54.634
124.287,54.799
124.278,54.964
124.268,55.130
124.254,55.297
124.239,55.464
124.222,55.632
124.203,55.799
124.182,55.968
124.159,56.137
124.135,56.306
124.110,56.475
124.083,56.644
124.056,56.814
124.027,56.984
123.998,57.154
123.968,57.324
123.937,57.494
123.906,57.664
123.875,57.834
123.843,58.004
123.811,58.174
123.779,58.343
123.746,58.513
123.712,58.682
123.678,58.851
123.644,59.020
123.608,59.189
123.572,59.358
123.535,59.526
123.497,59.694
123.458,59.862
123.418,60.030
123.377,60.197
123.335,60.363
123.292,60.530
123.247,60.696
123.202,60.862
123.154,61.027
123.106,61.192
123.056,61.356
123.004,61.520
122.951,61.683
122.896,61.846
122.839,62.008
122.780,62.170
122.720,62.331
122.658,62.492
122.593,62.652
122.527,62.811
122.459,62.970
122.388,63.128
122.316,63.285
122.241,63.442
122.163,63.598
122.084,63.753
122.002,63.907
121.917,64.061
121.830,64.214
121.741,64.366
121.649,64.517
121.555,64.667
121.459,64.817
121.360,64.965
121.260,65.113
121.158,65.260
121.053,65.406
120.947,65.551
120.839,65.695
120.730,65.838
120.619,65.980
120.506,66.121
120.391,66.262
120.275,66.401
120.158,66.539
120.039,66.676
119.919,66.812
119.798,66.947
119.676,67.081
119.552,67.213
119.428,67.345
119.302,67.476
119.176,67.605
119.049,67.733
118.921,67.860
118.792,67.986
118.663,68.111
118.533,68.234
118.403,68.356
118.272,68.477
118.140,68.597
118.009,68.716
117.877,68.833
117.745,68.949
117.613,69.063
117.481,69.176
117.348,69.288
117.216,69.399
117.084,69.508
116.951,69.615
116.819,69.722
116.686,69.826
116.553,69.930
