X	Y
23.977	10.045
23.996	10.011
24.017	9.977
24.041	9.944
24.068	9.911
24.098	9.878
24.131	9.846
24.167	9.815
24.205	9.784
24.245	9.753
24.289	9.722
24.334	9.692
24.382	9.662
24.432	9.632
24.485	9.602
24.539	9.572
24.596	9.543
24.654	9.513
24.715	9.484
24.777	9.454
24.841	9.425
24.907	9.395
24.974	9.366
25.043	9.336
25.114	9.306
25.186	9.276
25.259	9.246
25.334	9.215
25.410	9.184
25.487	9.153
25.565	9.122
25.644	9.090
25.724	9.058
25.805	9.025
25.887	8.991
25.970	8.958
26.053	8.923
26.137	8.889
26.221	8.853
26.306	8.817
26.392	8.781
26.478	8.744
26.565	8.707
26.652	8.669
26.739	8.631
26.827	8.593
26.916	8.554
27.005	8.515
27.094	8.476
27.183	8.436
27.273	8.396
27.363	8.356
27.453	8.316
27.544	8.275
27.634	8.235
27.725	8.194
27.816	8.153
27.907	8.111
27.998	8.070
28.089	8.029
28.181	7.987
28.272	7.946
28.363	7.904
28.454	7.863
28.545	7.821
28.636	7.779
28.727	7.738
28.817	7.697
28.907	7.655
28.998	7.614
29.087	7.573
29.177	7.532
29.266	7.492
29.355	7.451
29.444	7.411
29.532	7.371
29.620	7.331
29.707	7.292
29.794	7.253
29.881	7.214
29.966	7.175
30.052	7.137
30.137	7.099
30.221	7.062
30.304	7.025
30.387	6.988
30.469	6.952
30.551	6.917
30.631	6.882
30.711	6.847
30.791	6.813
30.869	6.779
30.947	6.746
31.024	6.713
31.101	6.681
31.177	6.648
31.252	6.617
31.327	6.585
31.401	6.554
31.474	6.523
31.547	6.492
31.620	6.461
31.692	6.431
31.763	6.400
31.834	6.370
31.905	6.340
31.975	6.310
32.044	6.280
32.113	6.250
32.182	6.220
32.250	6.190
32.318	6.160
32.385	6.130
32.453	6.100
32.519	6.069
32.586	6.039
32.652	6.008
32.718	5.977
32.784	5.946
32.849	5.915
32.914	5.883
32.979	5.851
33.044	5.819
33.108	5.787
33.173	5.754
33.237	5.720
33.301	5.687
33.365	5.652
33.428	5.618
33.492	5.583
33.556	5.547
33.619	5.511
33.683	5.474
33.746	5.437
33.809	5.400
33.872	5.362
33.935	5.324
33.998	5.286
34.061	5.247
34.123	5.209
34.186	5.169
34.248	5.130
34.310	5.091
34.372	5.051
34.434	5.011
34.496	4.972
34.557	4.932
34.619	4.892
34.680	4.852
34.741	4.812
34.802	4.773
34.863	4.733
34.924	4.693
34.984	4.654
35.044	4.615
35.104	4.576
35.164	4.537
35.224	4.498
35.283	4.460
35.342	4.422
35.401	4.385
35.460	4.347
35.518	4.311
35.577	4.274
35.635	4.238
35.693	4.203
35.750	4.168
35.808	4.133
35.865	4.100
35.922	4.066
35.978	4.034
36.035	4.002
36.091	3.970
36.147	3.939
36.203	3.909
36.259	3.879
36.314	3.850
36.370	3.821
36.425	3.793
36.481	3.766
36.536	3.739
36.592	3.713
36.647	3.687
36.703	3.662
36.758	3.638
36.813	3.614
36.869	3.591
36.925	3.568
36.980	3.546
37.036	3.525
37.092	3.504
37.149	3.484
37.205	3.464
37.261	3.445
37.318	3.426
37.375	3.408
37.433	3.391
37.490	3.374
37.548	3.358
37.606	3.343
37.665	3.328
37.723	3.314
37.783	3.300
37.842	3.287
37.902	3.275
37.962	3.263
38.021	3.252
38.081	3.243
38.141	3.234
38.201	3.226
38.261	3.219
38.320	3.213
38.379	3.208
38.438	3.205
38.496	3.203
38.554	3.202
38.611	3.202
38.668	3.204
38.724	3.207
38.780	3.211
38.834	3.218
38.888	3.225
38.941	3.235
38.993	3.246
39.043	3.259
39.093	3.273
39.141	3.290
39.189	3.308
39.235	3.328
39.279	3.351
39.323	3.375
39.364	3.402
39.405	3.430
39.443	3.461
39.481	3.493
39.517	3.528
39.551	3.564
39.584	3.602
39.615	3.642
39.646	3.683
39.674	3.726
39.702	3.771
39.728	3.817
39.753	3.864
39.776	3.913
39.798	3.963
39.819	4.014
39.838	4.067
39.856	4.120
39.873	4.175
39.889	4.230
39.904	4.287
39.917	4.344
39.929	4.402
39.940	4.461
39.949	4.520
39.958	4.580
39.965	4.641
39.971	4.702
39.977	4.763
39.981	4.825
39.984	4.888
39.985	4.950
39.986	5.013
39.986	5.076
39.985	5.139
39.984	5.203
39.981	5.267
39.977	5.331
39.973	5.395
39.968	5.459
39.962	5.524
39.956	5.588
39.949	5.653
39.942	5.718
39.933	5.782
39.925	5.847
39.916	5.912
39.906	5.977
39.896	6.042
39.886	6.107
39.876	6.172
39.865	6.237
39.854	6.301
39.842	6.366
39.831	6.431
