X	Y
24.295	11.000
24.324	10.978
24.357	10.958
24.394	10.941
24.436	10.926
24.481	10.913
24.531	10.902
24.584	10.893
24.641	10.887
24.701	10.882
24.764	10.879
24.831	10.878
24.900	10.878
24.973	10.880
25.047	10.883
25.125	10.888
25.204	10.894
25.286	10.901
25.370	10.909
25.455	10.918
25.543	10.929
25.631	10.940
25.721	10.952
25.813	10.964
25.905	10.977
25.998	10.991
26.092	11.005
26.186	11.020
26.281	11.034
26.376	11.049
26.472	11.064
26.567	11.079
26.662	11.094
26.756	11.109
26.850	11.123
26.943	11.138
27.036	11.151
27.127	11.165
27.217	11.177
27.306	11.189
27.393	11.201
27.480	11.211
27.565	11.221
27.648	11.231
27.731	11.240
27.813	11.249
27.893	11.257
27.973	11.264
28.052	11.271
28.130	11.278
28.208	11.285
28.284	11.291
28.361	11.297
28.436	11.303
28.511	11.309
28.586	11.314
28.660	11.319
28.734	11.325
28.808	11.330
28.882	11.335
28.956	11.341
29.029	11.346
29.103	11.352
29.177	11.358
29.250	11.364
29.325	11.370
29.399	11.376
29.474	11.383
29.549	11.390
29.624	11.397
29.700	11.405
29.777	11.413
29.855	11.422
29.933	11.431
30.012	11.441
30.091	11.452
30.172	11.463
30.254	11.474
30.336	11.487
30.420	11.500
30.505	11.514
30.590	11.528
30.676	11.543
30.764	11.559
30.851	11.575
30.940	11.591
31.029	11.608
31.119	11.626
31.209	11.644
31.299	11.662
31.390	11.681
31.482	11.700
31.573	11.719
31.665	11.739
31.756	11.759
31.848	11.779
31.940	11.800
32.032	11.820
32.124	11.841
32.215	11.862
32.307	11.883
32.398	11.903
32.488	11.924
32.579	11.945
32.669	11.966
32.758	11.987
32.847	12.008
32.935	12.029
33.022	12.049
33.109	12.070
33.195	12.090
33.280	12.110
33.364	12.130
33.447	12.149
33.529	12.168
33.610	12.187
33.690	12.205
33.768	12.223
33.846	12.241
33.922	12.258
33.996	12.275
34.069	12.291
34.141	12.306
34.211	12.321
34.280	12.336
34.347	12.350
34.413	12.364
34.477	12.378
34.541	12.391
34.603	12.405
34.664	12.418
34.724	12.431
34.782	12.445
34.840	12.458
34.897	12.472
34.952	12.485
35.007	12.499
35.061	12.514
35.115	12.529
35.167	12.544
35.219	12.560
35.270	12.577
35.320	12.594
35.370	12.612
35.420	12.630
35.469	12.650
35.517	12.670
35.565	12.692
35.613	12.714
35.660	12.737
35.708	12.762
35.755	12.788
35.802	12.815
35.848	12.843
35.894	12.873
35.939	12.904
35.984	12.936
36.027	12.969
36.070	13.003
36.112	13.038
36.152	13.074
36.191	13.112
36.228	13.150
36.264	13.190
36.298	13.231
36.330	13.272
36.360	13.315
36.388	13.358
36.414	13.403
