X	Y
19.810	11.886
19.842	11.807
19.884	11.721
19.937	11.629
20.000	11.530
20.073	11.425
20.156	11.313
20.248	11.194
20.350	11.068
20.462	10.935
20.583	10.795
20.713	10.648
20.852	10.493
20.998	10.333
21.152	10.167
21.310	9.998
21.474	9.827
21.640	9.655
21.809	9.482
21.978	9.312
22.147	9.143
22.315	8.979
22.481	8.819
22.643	8.666
22.800	8.521
22.952	8.384
23.096	8.257
23.232	8.142
23.359	8.039
23.477	7.949
23.584	7.871
23.684	7.803
23.778	7.742
23.866	7.686
23.950	7.633
24.032	7.581
24.112	7.527
24.192	7.470
24.273	7.408
24.357	7.341
24.443	7.268
24.534	7.190
24.629	7.108
24.730	7.020
24.838	6.928
24.953	6.831
25.077	6.730
25.210	6.624
25.354	6.514
25.508	6.400
25.670	6.284
25.841	6.165
26.019	6.046
26.203	5.926
26.393	5.806
26.587	5.688
26.784	5.572
26.983	5.459
27.185	5.350
27.387	5.245
27.588	5.147
27.788	5.054
27.986	4.969
28.181	4.892
28.372	4.823
28.557	4.765
28.737	4.716
28.912	4.676
29.080	4.646
29.241	4.624
29.396	4.612
29.543	4.608
29.682	4.612
29.813	4.624
29.936	4.645
30.050	4.673
30.155	4.708
30.251	4.751
30.337	4.802
30.414	4.862
30.482	4.933
30.541	5.013
30.592	5.106
30.634	5.211
30.668	5.330
30.694	5.461
30.712	5.605
30.724	5.760
30.730	5.924
30.729	6.096
30.724	6.274
30.714	6.457
30.700	6.644
30.683	6.833
30.663	7.023
30.641	7.211
30.617	7.398
30.592	7.581
30.566	7.759
30.540	7.933
30.512	8.101
30.484	8.266
30.454	8.428
30.422	8.587
30.387	8.744
30.350	8.899
30.310	9.053
30.267	9.207
30.220	9.361
30.170	9.516
30.115	9.672
30.055	9.829
29.992	9.988
29.925	10.145
29.855	10.301
29.784	10.452
29.711	10.599
29.638	10.739
29.566	10.871
29.494	10.994
29.424	11.106
29.356	11.205
29.292	11.290
29.230	11.361
29.170	11.418
29.107	11.463
29.038	11.497
28.960	11.524
28.869	11.543
28.762	11.558
28.639	11.569
28.501	11.578
28.350	11.584
28.188	11.590
28.018	11.595
27.841	11.600
27.659	11.606
27.476	11.615
27.292	11.626
27.110	11.641
26.931	11.660
26.759	11.684
26.595	11.714
26.439	11.750
26.291	11.791
26.149	11.837
26.012	11.888
25.878	11.942
25.747	11.999
25.616	12.059
25.485	12.121
25.352	12.184
25.216	12.247
25.075	12.311
24.929	12.374
24.777	12.436
24.620	12.496
24.459	12.555
24.295	12.612
24.127	12.666
23.958	12.718
23.787	12.766
23.615	12.810
23.444	12.850
23.273	12.886
23.104	12.918
22.937	12.943
22.773	12.964
22.612	12.979
22.455	12.988
22.301	12.993
22.150	12.994
22.002	12.991
21.857	12.984
21.715	12.976
21.575	12.965
21.438	12.953
21.303	12.940
21.171	12.926
21.041	12.912
20.914	12.898
20.789	12.884
20.667	12.870
20.549	12.855
20.434	12.839
20.323	12.822
20.216	12.803
20.113	12.784
20.015	12.763
19.924	12.739
19.844	12.712
19.777	12.680
19.729	12.642
19.701	12.597
19.697	12.544
19.711	12.486
19.734	12.427
19.759	12.369
19.776	12.318
19.782	12.274
19.779	12.232
19.774	12.189
19.770	12.141
19.770	12.087
19.775	12.026
19.788	11.959
19.810	11.886
