X	Y
20.291	12.775
20.409	12.753
20.540	12.732
20.683	12.711
20.836	12.691
21.000	12.673
21.172	12.657
21.351	12.643
21.536	12.632
21.727	12.624
21.922	12.619
22.119	12.618
22.318	12.622
22.518	12.630
22.717	12.643
22.914	12.660
23.110	12.679
23.302	12.699
23.491	12.720
23.674	12.740
23.853	12.758
24.024	12.773
24.188	12.784
24.345	12.790
24.492	12.789
24.629	12.782
24.755	12.766
24.872	12.743
24.982	12.713
25.087	12.679
25.191	12.644
25.296	12.608
25.405	12.573
25.520	12.543
25.646	12.518
25.783	12.500
25.931	12.490
26.088	12.488
26.253	12.494
26.424	12.507
26.598	12.528
26.775	12.557
26.952	12.594
27.127	12.638
27.299	12.689
27.466	12.749
27.627	12.816
27.779	12.890
27.921	12.972
28.055	13.060
28.180	13.155
28.296	13.254
28.404	13.358
28.503	13.466
28.595	13.577
28.679	13.691
28.755	13.806
28.825	13.923
28.887	14.040
28.941	14.158
28.987	14.278
29.025	14.398
29.052	14.521
29.070	14.647
29.076	14.775
29.070	14.907
29.051	15.044
29.020	15.184
28.974	15.329
28.917	15.478
28.848	15.629
28.768	15.781
28.679	15.933
28.583	16.085
28.479	16.234
28.369	16.381
28.254	16.523
28.135	16.660
28.014	16.792
27.891	16.915
27.767	17.031
27.643	17.138
27.518	17.239
27.392	17.334
27.265	17.425
27.137	17.513
27.007	17.599
26.876	17.684
26.742	17.770
26.606	17.858
26.467	17.950
26.325	18.045
26.180	18.146
26.032	18.252
25.882	18.362
25.729	18.473
25.575	18.584
25.419	18.694
25.261	18.801
25.103	18.904
24.945	19.001
24.786	19.090
24.628	19.171
24.470	19.241
24.314	19.299
24.159	19.344
24.005	19.374
23.853	19.393
23.702	19.400
23.552	19.398
23.403	19.388
23.256	19.372
23.109	19.350
22.963	19.325
22.818	19.298
22.673	19.271
22.529	19.244
22.386	19.218
22.245	19.191
22.107	19.162
21.973	19.127
21.844	19.086
21.722	19.037
21.607	18.977
21.501	18.904
21.405	18.817
21.319	18.714
21.244	18.595
21.179	18.461
21.121	18.315
21.071	18.158
21.026	17.992
20.986	17.819
20.949	17.640
20.915	17.458
20.880	17.274
20.846	17.090
20.810	16.908
20.771	16.729
20.728	16.556
20.682	16.387
20.632	16.223
20.579	16.063
20.524	15.906
20.467	15.754
20.409	15.604
20.349	15.457
20.289	15.312
20.228	15.169
20.167	15.027
20.107	14.887
20.047	14.747
19.990	14.609
19.936	14.474
19.886	14.343
19.841	14.216
19.803	14.096
19.772	13.982
19.750	13.875
19.738	13.778
19.736	13.690
19.744	13.611
19.759	13.537
19.777	13.468
19.795	13.399
19.810	13.328
19.821	13.254
19.829	13.178
19.838	13.105
19.853	13.035
19.876	12.974
19.912	12.923
19.960	12.881
20.022	12.848
20.098	12.820
20.188	12.796
20.291	12.775
