X	Y
33.534	15.903
33.581	15.860
33.637	15.817
33.703	15.776
33.777	15.736
33.860	15.698
33.949	15.662
34.046	15.627
34.149	15.594
34.258	15.563
34.372	15.534
34.491	15.507
34.614	15.482
34.741	15.459
34.871	15.438
35.003	15.420
35.138	15.404
35.275	15.390
35.412	15.379
35.550	15.371
35.689	15.365
35.828	15.361
35.968	15.360
36.109	15.361
36.250	15.364
36.392	15.369
36.535	15.377
36.678	15.386
36.822	15.397
36.967	15.410
37.112	15.425
37.257	15.441
37.404	15.459
37.551	15.478
37.699	15.499
37.847	15.521
37.996	15.545
38.146	15.570
38.296	15.595
38.448	15.622
38.599	15.650
38.752	15.679
38.905	15.708
39.058	15.739
39.213	15.770
39.367	15.802
39.522	15.835
39.676	15.868
39.830	15.903
39.984	15.939
40.138	15.975
40.291	16.013
40.442	16.051
40.593	16.091
40.743	16.131
40.891	16.173
41.038	16.216
41.183	16.260
41.326	16.305
41.467	16.352
41.605	16.400
41.742	16.449
41.876	16.499
42.007	16.551
42.135	16.604
42.260	16.659
42.382	16.715
42.501	16.772
42.616	16.831
42.728	16.891
42.836	16.953
42.941	17.016
43.043	17.080
43.142	17.146
43.238	17.212
43.331	17.280
43.422	17.349
43.509	17.419
43.594	17.490
43.676	17.562
43.756	17.635
43.833	17.709
43.908	17.784
43.981	17.860
44.051	17.936
44.120	18.013
44.186	18.091
44.250	18.169
44.312	18.248
44.371	18.328
44.428	18.410
44.481	18.492
44.532	18.575
44.579	18.660
44.623	18.745
44.663	18.832
44.699	18.921
44.732	19.011
44.760	19.103
44.784	19.196
44.803	19.291
44.818	19.388
44.827	19.487
44.832	19.587
44.833	19.688
44.829	19.791
44.820	19.894
44.808	19.998
44.791	20.101
44.771	20.205
44.747	20.307
44.720	20.409
44.689	20.509
44.655	20.608
44.619	20.704
44.579	20.799
44.537	20.890
44.493	20.979
44.446	21.065
44.397	21.147
44.346	21.226
44.294	21.302
44.240	21.375
44.185	21.446
44.129	21.516
44.072	21.583
44.015	21.649
43.957	21.714
43.899	21.777
43.841	21.840
43.784	21.903
43.727	21.966
43.671	22.029
43.616	22.092
43.562	22.156
43.508	22.219
43.454	22.282
43.401	22.344
43.346	22.405
43.291	22.464
43.235	22.520
43.177	22.574
43.117	22.625
43.055	22.672
42.991	22.716
42.923	22.755
42.852	22.789
42.779	22.819
42.702	22.845
42.623	22.868
42.543	22.889
42.461	22.908
42.378	22.926
42.295	22.944
42.212	22.962
42.130	22.982
42.048	23.004
41.968	23.028
41.890	23.056
41.814	23.089
41.741	23.126
41.671	23.167
41.602	23.213
41.534	23.263
41.467	23.316
41.400	23.372
41.332	23.431
41.263	23.491
41.193	23.553
41.120	23.617
41.044	23.681
40.965	23.746
40.882	23.810
40.795	23.874
40.702	23.938
40.603	24.000
40.499	24.060
40.389	24.118
40.275	24.175
40.156	24.229
40.033	24.280
39.908	24.330
39.780	24.376
39.649	24.419
39.518	24.459
39.385	24.495
39.252	24.528
39.119	24.557
38.986	24.582
38.855	24.602
38.726	24.618
38.599	24.630
38.475	24.636
38.354	24.638
38.238	24.634
38.126	24.625
38.018	24.610
37.916	24.590
37.819	24.563
37.726	24.532
37.636	24.495
37.549	24.453
37.464	24.406
37.382	24.353
37.301	24.296
37.221	24.234
37.142	24.168
37.063	24.097
36.983	24.021
36.902	23.942
36.819	23.858
36.734	23.770
36.647	23.678
36.556	23.583
36.462	23.484
36.365	23.381
36.266	23.276
36.163	23.167
36.058	23.056
35.952	22.944
35.843	22.829
35.733	22.712
35.621	22.595
35.508	22.476
35.395	22.357
35.281	22.237
35.167	22.118
35.053	21.998
34.939	21.879
34.826	21.760
34.713	21.643
34.601	21.527
34.491	21.413
34.382	21.301
34.275	21.191
34.171	21.083
34.068	20.979
33.968	20.877
33.871	20.779
33.777	20.684
33.686	20.594
33.599	20.506
33.515	20.421
33.435	20.339
33.359	20.259
33.286	20.181
33.218	20.105
33.154	20.031
33.094	19.958
33.038	19.885
32.987	19.814
32.940	19.742
32.898	19.671
32.861	19.599
32.830	19.527
32.803	19.454
32.781	19.380
32.764	19.305
32.752	19.229
32.743	19.153
32.738	19.076
32.736	18.999
32.736	18.922
32.740	18.844
32.745	18.767
32.752	18.689
32.759	18.612
32.768	18.535
32.778	18.459
32.787	18.383
32.797	18.307
32.808	18.231
32.818	18.154
32.830	18.078
32.842	18.000
32.854	17.922
32.867	17.843
32.880	17.762
32.894	17.680
32.909	17.596
32.924	17.510
32.940	17.422
32.957	17.333
32.974	17.242
32.992	17.152
33.011	17.062
33.031	16.973
33.051	16.887
33.072	16.804
33.094	16.725
33.117	16.651
33.141	16.582
33.166	16.519
33.191	16.464
33.218	16.417
33.245	16.378
33.272	16.345
33.299	16.316
33.324	16.289
33.347	16.263
33.368	16.234
33.385	16.202
33.399	16.166
33.413	16.126
33.427	16.083
33.445	16.039
33.468	15.994
33.497	15.948
33.534	15.903
