X	Y
43.907	27.247
43.992	27.137
44.088	27.026
44.196	26.914
44.313	26.801
44.441	26.687
44.578	26.572
44.725	26.456
44.881	26.338
45.045	26.220
45.217	26.100
45.396	25.978
45.583	25.856
45.777	25.732
45.977	25.606
46.183	25.478
46.395	25.349
46.612	25.218
46.834	25.086
47.061	24.951
47.291	24.814
47.525	24.676
47.762	24.535
48.003	24.392
48.245	24.247
48.490	24.100
48.736	23.950
48.984	23.798
49.232	23.644
49.482	23.487
49.733	23.329
49.985	23.168
50.238	23.006
50.492	22.842
50.747	22.676
51.003	22.508
51.260	22.340
51.517	22.170
51.776	21.999
52.036	21.827
52.296	21.654
52.557	21.480
52.819	21.306
53.082	21.131
53.345	20.955
53.609	20.780
53.874	20.604
54.140	20.428
54.406	20.252
54.673	20.076
54.940	19.901
55.208	19.726
55.476	19.552
55.745	19.378
56.015	19.205
56.285	19.033
56.555	18.862
56.826	18.692
57.097	18.523
57.369	18.356
57.641	18.190
57.913	18.026
58.186	17.864
58.459	17.703
58.732	17.544
59.005	17.388
59.279	17.233
59.552	17.080
59.825	16.929
60.098	16.780
60.370	16.633
60.642	16.488
60.913	16.346
61.184	16.205
61.454	16.066
61.723	15.929
61.991	15.795
62.258	15.662
62.524	15.532
62.788	15.403
63.051	15.277
63.313	15.153
63.573	15.031
63.832	14.911
64.088	14.794
64.343	14.678
64.596	14.565
64.846	14.454
65.095	14.345
65.341	14.238
65.585	14.134
65.827	14.032
66.065	13.932
66.302	13.834
66.535	13.739
66.766	13.646
66.993	13.555
67.218	13.467
67.439	13.381
67.658	13.297
67.874	13.216
68.088	13.138
68.299	13.062
68.508	12.989
68.715	12.919
68.920	12.851
69.124	12.787
69.325	12.725
69.526	12.667
69.725	12.611
69.923	12.559
70.119	12.510
70.315	12.464
70.511	12.422
70.705	12.383
70.899	12.347
71.093	12.315
71.287	12.287
71.481	12.262
71.675	12.241
71.869	12.224
72.064	12.211
72.259	12.201
72.454	12.196
72.650	12.193
72.845	12.194
73.039	12.198
73.232	12.205
73.425	12.214
73.616	12.226
73.805	12.240
73.993	12.257
74.178	12.275
74.361	12.295
74.542	12.316
74.720	12.339
74.894	12.363
75.065	12.388
75.233	12.414
75.397	12.440
75.556	12.467
75.712	12.494
75.862	12.521
76.008	12.548
76.149	12.576
76.283	12.607
76.412	12.640
76.533	12.677
76.648	12.718
76.755	12.766
76.854	12.820
76.944	12.881
77.025	12.951
77.097	13.030
77.160	13.120
77.212	13.220
77.253	13.333
77.284	13.458
77.304	13.593
77.315	13.739
77.317	13.894
77.309	14.058
77.294	14.229
77.270	14.408
77.238	14.592
77.200	14.782
77.154	14.977
77.103	15.175
77.045	15.377
76.982	15.580
76.914	15.785
76.841	15.990
76.764	16.196
76.684	16.400
76.600	16.602
76.513	16.801
76.423	16.997
76.331	17.189
76.238	17.376
76.143	17.558
76.046	17.736
75.948	17.910
75.847	18.080
75.745	18.247
75.642	18.411
75.536	18.573
75.429	18.733
75.321	18.891
75.210	19.047
75.098	19.203
74.984	19.358
74.868	19.512
74.751	19.667
74.632	19.822
74.511	19.978
74.388	20.135
74.264	20.293
74.137	20.454
74.010	20.616
73.880	20.782
73.748	20.950
73.615	21.121
73.480	21.296
73.344	21.474
73.206	21.654
73.067	21.837
72.926	22.022
72.784	22.210
72.641	22.400
72.497	22.592
72.352	22.785
72.207	22.980
72.060	23.176
71.913	23.373
71.765	23.571
71.617	23.770
71.468	23.970
71.319	24.170
71.170	24.370
71.020	24.570
70.871	24.770
70.722	24.970
70.572	25.169
70.423	25.368
70.275	25.565
70.126	25.762
69.979	25.957
69.832	26.151
69.685	26.343
69.540	26.533
69.395	26.722
69.251	26.907
69.109	27.091
68.969	27.271
68.830	27.448
68.693	27.621
68.559	27.791
68.427	27.956
68.297	28.117
68.171	28.273
68.047	28.425
67.927	28.571
67.810	28.711
67.697	28.846
67.587	28.974
67.482	29.096
67.381	29.212
67.285	29.320
67.193	29.421
67.106	29.514
67.024	29.600
66.948	29.677
66.875	29.747
66.805	29.809
66.736	29.865
66.666	29.915
66.593	29.960
66.516	30.001
66.434	30.038
66.344	30.071
66.246	30.102
66.137	30.131
66.015	30.158
65.882	30.184
65.738	30.210
65.584	30.233
65.419	30.256
65.246	30.278
65.064	30.299
64.875	30.318
64.678	30.337
64.476	30.354
64.267	30.371
64.054	30.387
63.837	30.401
63.617	30.415
63.393	30.428
63.168	30.440
62.941	30.452
62.714	30.462
62.487	30.472
62.261	30.481
62.036	30.489
61.813	30.496
61.593	30.503
61.377	30.509
61.165	30.515
60.956	30.520
60.751	30.525
60.549	30.530
60.350	30.535
60.154	30.540
59.961	30.545
59.772	30.551
59.585	30.558
59.400	30.565
59.218	30.573
59.039	30.582
58.862	30.592
58.687	30.603
58.514	30.616
58.342	30.630
58.173	30.646
58.005	30.664
57.839	30.684
57.675	30.706
57.511	30.730
57.349	30.757
57.188	30.786
57.027	30.816
56.866	30.849
56.706	30.883
56.546	30.919
56.385	30.956
56.223	30.994
56.060	31.033
55.896	31.072
55.731	31.112
55.564	31.153
55.394	31.193
55.223	31.234
55.048	31.274
54.871	31.314
54.691	31.354
54.507	31.393
54.320	31.430
54.128	31.467
53.933	31.502
53.733	31.536
53.530	31.569
53.325	31.601
53.116	31.631
52.905	31.661
52.693	31.689
52.479	31.717
52.264	31.743
52.048	31.769
51.832	31.794
51.617	31.818
51.401	31.841
51.187	31.863
50.974	31.885
50.763	31.906
50.554	31.926
50.348	31.946
50.145	31.966
49.945	31.985
49.749	32.004
49.557	32.022
49.369	32.040
49.187	32.058
49.009	32.075
48.837	32.092
48.669	32.109
48.505	32.125
48.345	32.141
48.187	32.155
48.032	32.169
47.878	32.181
47.726	32.192
47.574	32.202
47.422	32.210
47.270	32.217
47.117	32.222
46.963	32.224
46.807	32.225
46.648	32.224
46.486	32.220
46.321	32.214
46.151	32.205
45.977	32.194
45.801	32.179
45.623	32.162
45.444	32.141
45.265	32.116
45.088	32.087
44.914	32.055
44.744	32.018
44.579	31.977
44.421	31.931
44.270	31.880
44.127	31.824
43.995	31.762
43.873	31.695
43.763	31.622
43.667	31.543
43.585	31.458
43.519	31.366
43.468	31.268
43.432	31.165
43.409	31.056
43.397	30.943
43.395	30.827
43.400	30.708
43.413	30.587
43.430	30.464
43.450	30.341
43.472	30.218
43.495	30.096
43.516	29.975
43.534	29.857
43.548	29.742
43.557	29.630
43.563	29.522
43.565	29.418
43.565	29.317
43.562	29.221
43.558	29.129
43.553	29.042
43.548	28.960
43.542	28.883
43.537	28.812
43.533	28.746
43.530	28.684
43.529	28.625
43.529	28.566
43.530	28.507
43.532	28.446
43.535	28.381
43.540	28.310
43.546	28.233
43.555	28.151
43.568	28.064
43.585	27.973
43.608	27.877
43.637	27.778
43.673	27.676
43.717	27.572
43.770	27.465
43.833	27.357
43.907	27.247
