X	Y
43.018	31.097
43.081	30.997
43.161	30.907
43.258	30.826
43.372	30.753
43.502	30.688
43.649	30.630
43.810	30.578
43.988	30.532
44.180	30.489
44.386	30.450
44.607	30.414
44.842	30.380
45.090	30.347
45.351	30.314
45.625	30.280
45.912	30.245
46.211	30.208
46.522	30.168
46.843	30.125
47.174	30.079
47.515	30.032
47.863	29.983
48.219	29.933
48.581	29.883
48.949	29.831
49.321	29.780
49.696	29.728
50.074	29.678
50.454	29.628
50.835	29.580
51.215	29.533
51.595	29.489
51.973	29.446
52.348	29.407
52.719	29.371
53.085	29.338
53.446	29.310
53.801	29.285
54.148	29.265
54.487	29.251
54.816	29.241
55.136	29.237
55.444	29.240
55.740	29.249
56.024	29.264
56.294	29.287
56.549	29.318
56.789	29.356
57.014	29.402
57.227	29.454
57.427	29.513
57.618	29.578
57.799	29.647
57.973	29.721
58.141	29.799
58.305	29.880
58.464	29.964
58.622	30.051
58.779	30.138
58.937	30.227
59.097	30.316
59.261	30.405
59.429	30.493
59.604	30.579
59.786	30.664
59.974	30.748
60.169	30.830
60.367	30.911
60.570	30.992
60.775	31.074
60.982	31.156
61.189	31.239
61.396	31.323
61.602	31.410
61.805	31.498
62.005	31.590
62.200	31.684
62.391	31.782
62.574	31.884
62.751	31.991
62.919	32.102
63.078	32.218
63.226	32.341
63.364	32.469
63.490	32.602
63.605	32.740
63.708	32.883
63.799	33.030
63.878	33.180
63.944	33.334
63.998	33.491
64.038	33.650
64.065	33.812
64.079	33.975
64.080	34.139
64.066	34.304
64.038	34.470
63.996	34.636
63.940	34.801
63.872	34.966
63.792	35.131
63.701	35.294
63.600	35.456
63.490	35.617
63.370	35.776
63.244	35.933
63.110	36.087
62.970	36.239
62.824	36.389
62.674	36.535
62.521	36.677
62.364	36.816
62.205	36.951
62.045	37.082
61.884	37.209
61.722	37.332
61.560	37.451
61.398	37.567
61.236	37.680
61.075	37.790
60.914	37.897
60.754	38.002
60.596	38.105
60.439	38.206
60.283	38.306
60.130	38.404
59.978	38.502
59.829	38.598
59.683	38.695
59.540	38.791
59.399	38.887
59.262	38.983
59.126	39.078
58.991	39.171
58.857	39.262
58.723	39.351
58.588	39.437
58.451	39.518
58.312	39.596
58.170	39.669
58.025	39.736
57.875	39.798
57.721	39.852
57.561	39.900
57.395	39.941
57.223	39.974
57.046	40.002
56.866	40.025
56.683	40.044
56.497	40.060
56.311	40.074
56.125	40.088
55.940	40.102
55.756	40.117
55.576	40.135
55.399	40.156
55.226	40.181
55.060	40.211
54.899	40.248
54.747	40.292
54.602	40.344
54.464	40.403
54.333	40.467
54.208	40.536
54.088	40.608
53.973	40.683
53.862	40.759
53.754	40.835
53.649	40.910
53.547	40.983
53.445	41.053
53.344	41.118
53.244	41.179
53.142	41.236
53.038	41.287
52.930	41.334
52.819	41.377
52.702	41.415
52.578	41.449
52.447	41.478
52.307	41.504
52.157	41.525
51.997	41.543
51.825	41.556
51.643	41.565
51.452	41.570
51.252	41.570
51.044	41.564
50.829	41.554
50.608	41.538
50.381	41.516
50.151	41.487
49.916	41.453
49.680	41.412
49.441	41.364
49.201	41.309
48.961	41.246
48.723	41.176
48.485	41.098
48.250	41.012
48.019	40.917
47.792	40.814
47.569	40.701
47.352	40.580
47.141	40.451
46.935	40.315
46.734	40.171
46.539	40.021
46.350	39.864
46.167	39.702
45.991	39.534
45.820	39.362
45.655	39.186
45.497	39.006
45.346	38.823
45.201	38.637
45.063	38.449
44.931	38.259
44.807	38.068
44.690	37.876
44.579	37.684
44.476	37.492
44.381	37.301
44.292	37.111
44.211	36.922
44.135	36.735
44.064	36.550
43.999	36.367
43.938	36.186
43.880	36.008
43.826	35.833
43.774	35.661
43.724	35.493
43.676	35.329
43.628	35.168
43.580	35.012
43.533	34.860
43.484	34.714
43.434	34.572
43.382	34.435
43.331	34.304
43.280	34.177
43.231	34.055
43.184	33.938
43.141	33.824
43.102	33.716
43.068	33.611
43.041	33.510
43.021	33.413
43.010	33.320
43.005	33.229
43.005	33.139
43.009	33.049
43.014	32.956
43.019	32.860
43.023	32.759
43.022	32.652
43.015	32.536
43.003	32.412
42.986	32.281
42.968	32.146
42.950	32.007
42.935	31.867
42.924	31.727
42.921	31.590
42.926	31.457
42.943	31.329
42.973	31.209
43.018	31.097
