X,Y
282.500,145.500
283.437,144.644
284.606,143.856
285.985,143.130
287.552,142.458
289.286,141.834
291.166,141.249
293.170,140.698
295.276,140.172
297.464,139.666
299.710,139.170
301.996,138.680
304.312,138.191
306.658,137.704
309.032,137.217
311.435,136.730
313.866,136.242
316.323,135.753
318.807,135.263
321.318,134.769
323.853,134.273
326.413,133.774
328.997,133.270
331.605,132.761
334.236,132.247
336.888,131.728
339.562,131.203
342.253,130.675
344.960,130.147
347.680,129.619
350.410,129.094
353.148,128.575
355.890,128.063
358.635,127.560
361.380,127.069
364.121,126.590
366.858,126.128
369.586,125.683
372.304,125.257
375.008,124.853
377.696,124.473
380.367,124.118
383.019,123.786
385.653,123.477
388.268,123.188
390.865,122.917
393.443,122.664
396.003,122.426
398.544,122.201
401.066,121.989
403.570,121.786
406.055,121.592
408.522,121.405
410.969,121.223
413.398,121.044
415.808,120.868
418.200,120.695
420.575,120.529
422.932,120.373
425.274,120.231
427.601,120.106
429.914,120.001
432.213,119.919
434.500,119.864
436.774,119.840
439.038,119.848
441.292,119.893
443.536,119.977
445.771,120.105
447.998,120.276
450.216,120.493
452.424,120.756
454.623,121.064
456.812,121.420
458.992,121.824
461.161,122.276
463.319,122.777
465.466,123.328
467.603,123.930
469.728,124.582
471.841,125.287
473.938,126.040
476.008,126.832
478.042,127.653
480.030,128.494
481.961,129.346
483.824,130.199
485.610,131.043
487.308,131.869
488.909,132.667
490.401,133.429
491.774,134.144
493.016,134.815
494.106,135.470
495.021,136.141
495.742,136.861
496.245,137.660
496.511,138.571
496.525,139.617
496.298,140.798
495.847,142.106
495.189,143.534
494.340,145.077
493.315,146.727
492.132,148.477
490.806,150.320
489.355,152.251
487.794,154.262
486.138,156.346
484.394,158.492
482.569,160.691
480.670,162.931
478.704,165.202
476.677,167.493
474.596,169.795
472.468,172.096
470.300,174.386
468.097,176.655
465.868,178.892
463.619,181.086
461.357,183.227
459.088,185.305
456.818,187.309
454.556,189.228
452.307,191.053
450.077,192.779
447.868,194.415
445.682,195.972
443.522,197.457
441.389,198.882
439.285,200.255
437.213,201.587
435.174,202.886
433.172,204.162
431.208,205.425
429.283,206.685
427.401,207.951
425.563,209.232
423.772,210.539
422.027,211.868
420.328,213.205
418.671,214.533
417.056,215.835
415.481,217.095
413.943,218.297
412.441,219.422
410.973,220.456
409.536,221.382
408.130,222.182
406.753,222.841
405.407,223.350
404.099,223.710
402.836,223.918
401.625,223.976
400.474,223.880
399.388,223.632
398.375,223.232
397.425,222.689
396.521,222.022
395.643,221.250
394.774,220.391
393.894,219.463
392.986,218.485
392.031,217.473
391.023,216.439
389.953,215.393
388.814,214.345
387.599,213.304
386.301,212.280
384.913,211.284
383.428,210.325
381.838,209.412
380.141,208.554
378.344,207.748
376.459,206.992
374.495,206.283
372.464,205.618
370.375,204.994
368.239,204.408
366.066,203.857
363.868,203.338
361.654,202.848
359.435,202.385
357.221,201.946
355.020,201.527
352.831,201.126
350.651,200.741
348.478,200.369
346.310,200.009
344.143,199.657
341.976,199.311
339.806,198.969
337.631,198.628
335.448,198.286
333.255,197.940
331.049,197.588
328.830,197.229
326.604,196.868
324.386,196.513
322.188,196.173
320.024,195.857
317.907,195.573
315.851,195.331
313.867,195.139
311.970,195.006
310.173,194.940
308.489,194.951
306.930,195.046
305.500,195.209
304.185,195.386
302.972,195.524
301.846,195.567
300.794,195.460
299.802,195.149
298.856,194.583
297.943,193.775
297.050,192.770
296.163,191.618
295.270,190.366
294.358,189.062
293.413,187.756
292.422,186.493
291.374,185.322
290.268,184.258
289.116,183.295
287.927,182.425
286.714,181.641
285.485,180.936
284.253,180.301
283.028,179.730
281.821,179.214
280.667,178.728
279.614,178.229
278.713,177.678
278.015,177.031
277.572,176.247
277.425,175.290
277.553,174.163
277.898,172.891
278.400,171.500
278.999,170.016
279.637,168.465
280.253,166.873
280.789,165.266
281.188,163.670
281.433,162.098
281.549,160.554
281.562,159.042
281.496,157.565
281.378,156.127
281.233,154.731
281.086,153.380
280.964,152.078
280.894,150.828
280.910,149.635
281.045,148.501
281.333,147.432
281.807,146.430
282.500,145.500
