X,Y
285.000,158.333
286.045,158.276
287.396,158.631
289.020,159.342
290.883,160.356
292.950,161.620
295.188,163.079
297.562,164.680
300.039,166.369
302.586,168.091
305.167,169.792
307.749,171.420
310.298,172.920
312.781,174.239
315.186,175.358
317.523,176.294
319.806,177.070
322.046,177.704
324.257,178.217
326.450,178.630
328.638,178.962
330.834,179.235
333.050,179.467
335.298,179.681
337.592,179.895
339.943,180.131
342.353,180.398
344.815,180.700
347.323,181.040
349.870,181.421
352.448,181.845
355.052,182.315
357.673,182.834
360.304,183.405
362.940,184.031
365.572,184.713
368.195,185.456
370.800,186.262
373.381,187.133
375.929,188.073
378.432,189.080
380.877,190.155
383.249,191.298
385.535,192.508
387.722,193.786
389.796,195.131
391.745,196.544
393.554,198.024
395.210,199.570
396.700,201.184
398.010,202.865
399.129,204.612
400.068,206.422
400.848,208.293
401.491,210.218
402.020,212.194
402.457,214.217
402.824,216.283
403.143,218.387
403.435,220.525
403.725,222.692
404.032,224.886
404.370,227.100
404.720,229.324
405.058,231.548
405.361,233.763
405.605,235.957
405.766,238.120
405.820,240.243
405.744,242.314
405.514,244.324
405.105,246.262
404.495,248.119
403.673,249.889
402.652,251.581
401.450,253.205
400.083,254.770
398.569,256.287
396.925,257.763
395.168,259.210
393.314,260.636
391.382,262.052
389.387,263.466
387.347,264.889
385.276,266.324
383.179,267.763
381.061,269.195
378.924,270.609
376.775,271.993
374.615,273.338
372.451,274.631
370.285,275.863
368.122,277.022
365.966,278.097
363.821,279.077
361.691,279.951
359.580,280.710
357.487,281.353
355.404,281.892
353.325,282.339
351.242,282.707
349.149,283.008
347.037,283.253
344.901,283.454
342.733,283.624
340.526,283.775
338.273,283.919
335.967,284.067
333.612,284.220
331.225,284.365
328.824,284.487
326.425,284.575
324.047,284.614
321.706,284.590
319.420,284.490
317.206,284.301
315.082,284.008
313.065,283.598
311.172,283.058
309.416,282.378
307.785,281.572
306.258,280.659
304.814,279.660
303.433,278.597
302.094,277.488
300.776,276.355
299.459,275.219
298.122,274.099
296.749,273.013
295.347,271.959
293.933,270.927
292.523,269.911
291.132,268.900
289.777,267.888
288.472,266.866
287.235,265.824
286.080,264.756
285.019,263.649
284.049,262.490
283.167,261.261
282.369,259.948
281.654,258.533
281.017,257.002
280.455,255.338
279.966,253.526
279.544,251.558
279.181,249.462
278.867,247.267
278.594,245.005
278.350,242.709
278.128,240.409
277.916,238.136
277.707,235.924
277.489,233.801
277.255,231.801
276.993,229.955
276.699,228.282
276.379,226.754
276.045,225.334
275.708,223.984
275.378,222.665
275.065,221.341
274.782,219.973
274.538,218.525
274.343,216.991
274.207,215.390
274.138,213.744
274.147,212.073
274.241,210.398
274.430,208.740
274.723,207.119
275.129,205.557
275.645,204.065
276.245,202.638
276.901,201.270
277.587,199.956
278.273,198.688
278.933,197.460
279.539,196.267
280.067,195.100
280.517,193.945
280.903,192.782
281.237,191.591
281.533,190.352
281.803,189.046
282.062,187.653
282.317,186.167
282.565,184.606
282.801,182.993
283.023,181.350
283.224,179.700
283.403,178.063
283.553,176.463
283.672,174.921
283.756,173.451
283.808,172.040
283.829,170.667
283.824,169.311
283.794,167.953
283.744,166.572
283.675,165.147
283.597,163.673
283.559,162.215
283.619,160.862
283.840,159.704
284.280,158.831
285.000,158.333
