X	Y
39.996	20.139
40.063	20.011
40.168	19.875
40.310	19.733
40.484	19.584
40.688	19.428
40.918	19.268
41.171	19.102
41.443	18.931
41.733	18.756
42.035	18.578
42.348	18.396
42.668	18.212
42.991	18.025
43.315	17.836
43.637	17.646
43.952	17.455
44.259	17.264
44.558	17.072
44.850	16.879
45.136	16.685
45.416	16.490
45.692	16.294
45.964	16.097
46.234	15.898
46.502	15.697
46.770	15.494
47.037	15.289
47.306	15.081
47.577	14.872
47.850	14.659
48.128	14.444
48.410	14.226
48.698	14.005
48.992	13.780
49.294	13.552
49.604	13.321
49.920	13.087
50.244	12.851
50.573	12.613
50.908	12.373
51.248	12.134
51.592	11.894
51.941	11.654
52.292	11.416
52.646	11.179
53.003	10.944
53.361	10.712
53.721	10.483
54.081	10.257
54.440	10.036
54.800	9.820
55.158	9.609
55.515	9.403
55.870	9.204
56.222	9.012
56.570	8.827
56.915	8.650
57.256	8.482
57.593	8.321
57.927	8.168
58.258	8.023
58.586	7.886
58.912	7.757
59.235	7.635
59.557	7.520
59.877	7.412
60.196	7.312
60.513	7.219
60.831	7.132
61.148	7.052
61.464	6.979
61.782	6.912
62.099	6.852
62.418	6.798
62.738	6.750
63.058	6.709
63.377	6.675
63.693	6.649
64.004	6.632
64.307	6.626
64.601	6.631
64.883	6.649
65.152	6.680
65.404	6.726
65.638	6.787
65.853	6.865
66.045	6.960
66.213	7.074
66.354	7.207
66.468	7.361
66.557	7.533
66.622	7.722
66.665	7.928
66.688	8.148
66.694	8.380
66.685	8.625
66.662	8.879
66.628	9.143
66.585	9.413
66.534	9.690
66.478	9.971
66.419	10.254
66.356	10.541
66.289	10.830
66.218	11.120
66.141	11.413
66.059	11.707
65.970	12.003
65.875	12.299
65.772	12.596
65.661	12.894
65.542	13.192
65.414	13.489
65.276	13.787
65.128	14.083
64.969	14.379
64.798	14.674
64.616	14.968
64.422	15.260
64.217	15.550
64.003	15.839
63.781	16.128
63.553	16.415
63.321	16.701
63.085	16.987
62.847	17.272
62.610	17.557
62.374	17.842
62.140	18.127
61.911	18.412
61.688	18.697
61.472	18.982
61.265	19.269
61.068	19.556
60.884	19.844
60.712	20.133
60.556	20.423
60.415	20.715
60.288	21.004
60.172	21.289
60.064	21.567
59.962	21.834
59.862	22.087
59.763	22.324
59.662	22.541
59.555	22.736
59.441	22.906
59.316	23.047
59.178	23.157
59.024	23.232
58.852	23.270
58.664	23.276
58.461	23.251
58.245	23.202
58.019	23.133
57.786	23.047
57.546	22.949
57.303	22.845
57.058	22.737
56.814	22.631
56.573	22.531
56.337	22.442
56.109	22.367
55.889	22.309
55.675	22.266
55.468	22.239
55.264	22.225
55.064	22.224
54.866	22.234
54.668	22.254
54.469	22.283
54.269	22.320
54.065	22.363
53.856	22.412
53.642	22.465
53.422	22.522
53.198	22.583
52.968	22.646
52.734	22.711
52.495	22.778
52.251	22.846
52.002	22.914
51.749	22.981
51.492	23.048
51.230	23.114
50.964	23.177
50.695	23.238
50.421	23.296
50.144	23.351
49.864	23.403
49.580	23.453
49.293	23.500
49.003	23.546
48.711	23.589
48.417	23.632
48.120	23.673
47.821	23.713
47.521	23.753
47.219	23.792
46.916	23.830
46.612	23.869
46.307	23.908
46.001	23.948
45.695	23.988
45.389	24.027
45.085	24.064
44.783	24.099
44.485	24.128
44.191	24.152
43.902	24.169
43.619	24.178
43.343	24.177
43.075	24.166
42.816	24.143
42.566	24.107
42.327	24.056
42.100	23.990
41.885	23.907
41.683	23.807
41.493	23.693
41.317	23.567
41.153	23.432
41.002	23.290
40.864	23.143
40.738	22.994
40.624	22.845
40.523	22.699
40.434	22.558
40.357	22.425
40.292	22.297
40.239	22.175
40.197	22.056
40.166	21.938
40.146	21.819
40.137	21.698
40.138	21.574
40.145	21.447
40.155	21.318
40.162	21.190
40.164	21.063
40.155	20.939
40.131	20.820
40.092	20.706
40.047	20.595
40.005	20.485
39.976	20.374
39.970	20.259
39.996	20.139
