X	Y
39.996	22.674
40.181	22.617
40.404	22.601
40.661	22.621
40.950	22.675
41.265	22.757
41.604	22.863
41.963	22.988
42.337	23.129
42.723	23.281
43.118	23.440
43.517	23.601
43.917	23.761
44.313	23.914
44.703	24.056
45.083	24.184
45.448	24.293
45.799	24.383
46.138	24.457
46.466	24.517
46.785	24.565
47.098	24.605
47.406	24.638
47.711	24.667
48.014	24.695
48.319	24.724
48.627	24.757
48.939	24.795
49.258	24.843
49.586	24.901
49.923	24.973
50.271	25.060
50.626	25.160
50.987	25.274
51.351	25.400
51.716	25.538
52.080	25.689
52.440	25.851
52.796	26.023
53.144	26.206
53.482	26.398
53.808	26.600
54.121	26.811
54.417	27.030
54.695	27.257
54.952	27.491
55.186	27.731
55.397	27.978
55.583	28.231
55.744	28.487
55.880	28.748
55.990	29.012
56.073	29.278
56.129	29.545
56.158	29.813
56.159	30.081
56.132	30.349
56.076	30.614
55.990	30.877
55.876	31.137
55.736	31.392
55.571	31.642
55.383	31.884
55.175	32.119
54.947	32.344
54.702	32.559
54.442	32.762
54.168	32.953
53.883	33.129
53.588	33.291
53.285	33.436
52.976	33.564
52.662	33.675
52.344	33.769
52.022	33.848
51.697	33.913
51.370	33.965
51.040	34.007
50.709	34.038
50.378	34.060
50.045	34.075
49.713	34.084
49.382	34.087
49.052	34.087
48.724	34.084
48.398	34.081
48.075	34.076
47.755	34.072
47.438	34.069
47.126	34.065
46.818	34.062
46.515	34.060
46.217	34.059
45.925	34.060
45.638	34.061
45.358	34.064
45.085	34.069
44.819	34.075
44.561	34.084
44.310	34.094
44.069	34.101
43.836	34.102
43.613	34.094
43.401	34.074
43.199	34.037
43.009	33.980
42.831	33.901
42.665	33.795
42.513	33.659
42.373	33.497
42.244	33.310
42.127	33.101
42.019	32.873
41.921	32.628
41.831	32.368
41.748	32.097
41.673	31.817
41.604	31.530
41.540	31.239
41.480	30.947
41.424	30.653
41.370	30.360
41.316	30.068
41.261	29.777
41.204	29.489
41.144	29.203
41.079	28.922
41.008	28.646
40.930	28.374
40.842	28.110
40.745	27.852
40.637	27.602
40.518	27.360
40.394	27.125
40.266	26.898
40.138	26.677
40.014	26.462
39.897	26.253
39.790	26.049
39.697	25.850
39.622	25.656
39.568	25.465
39.535	25.279
39.522	25.099
39.522	24.926
39.532	24.762
39.547	24.610
39.563	24.470
39.575	24.346
39.580	24.236
39.580	24.132
39.578	24.025
39.575	23.907
39.574	23.769
39.577	23.607
39.591	23.430
39.620	23.248
39.669	23.071
39.745	22.910
39.852	22.774
39.996	22.674
