X,Y
296.333,155.333
296.257,154.371
296.309,153.214
296.482,151.882
296.766,150.391
297.154,148.761
297.637,147.009
298.206,145.154
298.852,143.213
299.568,141.205
300.344,139.148
301.172,137.060
302.043,134.958
302.950,132.862
303.883,130.788
304.840,128.744
305.822,126.729
306.829,124.740
307.865,122.777
308.929,120.839
310.023,118.923
311.148,117.029
312.307,115.155
313.499,113.300
314.726,111.462
315.990,109.640
317.291,107.833
318.632,106.038
320.013,104.256
321.436,102.484
322.902,100.721
324.411,98.965
325.961,97.217
327.548,95.474
329.168,93.735
330.820,92.001
332.498,90.270
334.202,88.541
335.926,86.812
337.668,85.084
339.425,83.355
341.193,81.624
342.969,79.890
344.751,78.153
346.534,76.411
348.315,74.663
350.092,72.909
351.861,71.147
353.620,69.377
355.364,67.598
357.093,65.812
358.805,64.021
360.500,62.226
362.175,60.430
363.830,58.634
365.464,56.840
367.074,55.050
368.661,53.266
370.222,51.490
371.756,49.723
373.262,47.967
374.739,46.225
376.185,44.498
377.600,42.787
378.981,41.095
380.328,39.424
381.640,37.775
382.923,36.153
384.187,34.560
385.442,33.002
386.698,31.482
387.963,30.004
389.248,28.574
390.564,27.194
391.918,25.869
393.321,24.603
394.784,23.400
396.314,22.265
397.923,21.201
399.621,20.212
401.415,19.304
403.306,18.479
405.280,17.740
407.323,17.090
409.420,16.531
411.556,16.067
413.717,15.700
415.888,15.433
418.056,15.268
420.205,15.209
422.320,15.258
424.389,15.418
426.395,15.692
428.324,16.082
430.162,16.592
431.895,17.223
433.516,17.975
435.032,18.842
436.449,19.818
437.775,20.894
439.018,22.065
440.185,23.324
441.283,24.663
442.320,26.077
443.302,27.558
444.238,29.100
445.134,30.695
445.998,32.338
446.837,34.021
447.653,35.740
448.441,37.493
449.200,39.278
449.926,41.091
450.616,42.932
451.267,44.797
451.876,46.683
452.439,48.590
452.955,50.514
453.418,52.453
453.828,54.404
454.180,56.366
454.471,58.335
454.698,60.310
454.860,62.289
454.958,64.271
454.995,66.257
454.973,68.246
454.895,70.237
454.762,72.232
454.576,74.230
454.342,76.231
454.059,78.234
453.732,80.240
453.362,82.248
452.951,84.259
452.502,86.272
452.017,88.288
451.499,90.305
450.948,92.323
450.360,94.339
449.733,96.348
449.062,98.348
448.346,100.335
447.580,102.305
446.762,104.255
445.887,106.181
444.953,108.081
443.956,109.949
442.894,111.784
441.762,113.580
440.557,115.336
439.277,117.047
437.917,118.709
436.476,120.321
434.955,121.882
433.357,123.397
431.687,124.868
429.947,126.297
428.142,127.688
426.276,129.045
424.351,130.368
422.373,131.663
420.343,132.931
418.266,134.175
416.146,135.399
413.987,136.606
411.791,137.797
409.563,138.977
407.306,140.148
405.025,141.313
402.721,142.476
400.401,143.635
398.066,144.789
395.722,145.933
393.371,147.065
391.018,148.182
388.666,149.279
386.320,150.355
383.983,151.404
381.659,152.425
379.351,153.414
377.064,154.368
374.802,155.283
372.568,156.156
370.366,156.984
368.199,157.763
366.073,158.491
363.990,159.163
361.954,159.778
359.967,160.332
358.022,160.830
356.113,161.275
354.232,161.670
352.373,162.018
350.530,162.325
348.695,162.592
346.862,162.824
345.024,163.025
343.173,163.197
341.304,163.344
339.410,163.470
337.483,163.579
335.517,163.673
333.509,163.757
331.467,163.833
329.403,163.903
327.327,163.969
325.251,164.035
323.185,164.101
321.140,164.171
319.128,164.247
317.159,164.332
315.244,164.427
313.394,164.535
311.621,164.658
309.935,164.799
308.347,164.960
306.868,165.141
305.504,165.321
304.259,165.468
303.136,165.551
302.141,165.539
301.277,165.401
300.547,165.105
299.957,164.619
299.503,163.932
299.156,163.088
298.886,162.143
298.659,161.154
298.445,160.178
298.210,159.270
297.923,158.488
297.575,157.847
297.201,157.283
296.842,156.725
296.539,156.099
296.333,155.333
