X,Y
299.750,165.500
300.428,164.878
301.489,164.326
302.884,163.845
304.568,163.434
306.493,163.094
308.613,162.824
310.881,162.625
313.249,162.496
315.673,162.438
318.104,162.451
320.496,162.534
322.821,162.685
325.085,162.900
327.293,163.173
329.452,163.499
331.570,163.871
333.654,164.285
335.710,164.735
337.745,165.216
339.766,165.722
341.781,166.247
343.795,166.787
345.816,167.336
347.849,167.890
349.894,168.448
351.950,169.012
354.016,169.583
356.092,170.160
358.177,170.745
360.270,171.338
362.371,171.940
364.478,172.552
366.592,173.173
368.711,173.805
370.834,174.449
372.962,175.105
375.094,175.777
377.234,176.467
379.381,177.180
381.537,177.918
383.704,178.685
385.883,179.484
388.075,180.320
390.283,181.195
392.506,182.113
394.747,183.077
397.006,184.090
399.287,185.157
401.587,186.280
403.901,187.460
406.214,188.695
408.513,189.984
410.784,191.326
413.014,192.720
415.190,194.164
417.297,195.657
419.323,197.198
421.253,198.786
423.076,200.418
424.776,202.094
426.340,203.813
427.756,205.573
429.010,207.373
430.098,209.209
431.022,211.073
431.786,212.960
432.391,214.863
432.841,216.777
433.139,218.693
433.285,220.606
433.284,222.510
433.138,224.397
432.850,226.262
432.422,228.099
431.862,229.908
431.179,231.693
430.385,233.457
429.487,235.203
428.497,236.937
427.424,238.661
426.278,240.378
425.069,242.093
423.806,243.809
422.499,245.530
421.158,247.260
419.789,248.996
418.391,250.733
416.966,252.464
415.512,254.181
414.030,255.879
412.521,257.551
410.984,259.189
409.419,260.787
407.828,262.338
406.208,263.835
404.562,265.271
402.889,266.641
401.188,267.936
399.458,269.154
397.694,270.293
395.894,271.349
394.054,272.321
392.171,273.205
390.241,273.998
388.262,274.699
386.230,275.305
384.142,275.813
381.994,276.221
379.784,276.525
377.510,276.724
375.180,276.820
372.804,276.813
370.391,276.705
367.949,276.498
365.488,276.192
363.018,275.790
360.547,275.292
358.084,274.700
355.639,274.016
353.221,273.240
350.839,272.375
348.503,271.422
346.220,270.382
343.999,269.258
341.843,268.058
339.754,266.786
337.736,265.451
335.792,264.057
333.925,262.613
332.138,261.123
330.435,259.596
328.818,258.037
327.290,256.452
325.855,254.849
324.515,253.234
323.275,251.613
322.137,249.991
321.109,248.372
320.197,246.759
319.406,245.154
318.743,243.562
318.215,241.985
317.827,240.427
317.586,238.890
317.497,237.379
317.564,235.894
317.754,234.433
318.017,232.988
318.301,231.551
318.557,230.116
318.734,228.675
318.782,227.221
318.649,225.745
318.288,224.242
317.690,222.708
316.888,221.143
315.917,219.546
314.811,217.920
313.605,216.263
312.333,214.577
311.030,212.862
309.731,211.118
308.469,209.345
307.280,207.544
306.198,205.716
305.240,203.865
304.390,202.005
303.631,200.150
302.945,198.314
302.314,196.511
301.720,194.755
301.147,193.061
300.575,191.443
299.986,189.914
299.365,188.489
298.697,187.178
298.013,185.964
297.359,184.816
296.782,183.706
296.328,182.604
296.045,181.481
295.977,180.307
296.165,179.057
296.574,177.740
297.135,176.381
297.776,175.005
298.428,173.640
299.019,172.311
299.479,171.043
299.738,169.864
299.750,168.794
299.613,167.832
299.471,166.968
299.468,166.194
299.750,165.500
