X,Y
276.500,152.000
277.179,150.884
278.157,149.729
279.409,148.540
280.910,147.319
282.633,146.072
284.552,144.802
286.642,143.513
288.878,142.210
291.233,140.896
293.682,139.576
296.199,138.254
298.758,136.933
301.334,135.619
303.901,134.314
306.433,133.024
308.916,131.749
311.354,130.490
313.750,129.247
316.107,128.017
318.430,126.800
320.723,125.596
322.989,124.404
325.232,123.223
327.456,122.053
329.665,120.892
331.863,119.740
334.053,118.596
336.239,117.460
338.425,116.330
340.616,115.206
342.814,114.087
345.022,112.973
347.241,111.865
349.471,110.763
351.712,109.669
353.965,108.582
356.230,107.504
358.508,106.436
360.798,105.377
363.101,104.330
365.418,103.294
367.748,102.270
370.093,101.259
372.452,100.262
374.826,99.280
377.215,98.313
379.619,97.362
382.038,96.427
384.469,95.509
386.910,94.608
389.359,93.724
391.814,92.858
394.272,92.009
396.733,91.179
399.193,90.366
401.651,89.572
404.105,88.797
406.552,88.041
408.991,87.305
411.419,86.587
413.834,85.890
416.234,85.213
418.618,84.556
420.983,83.920
423.326,83.308
425.646,82.721
427.939,82.159
430.204,81.626
432.438,81.122
434.639,80.650
436.805,80.210
438.933,79.804
441.020,79.434
443.066,79.102
445.066,78.809
447.020,78.556
448.925,78.346
450.786,78.178
452.615,78.050
454.419,77.963
456.209,77.914
457.994,77.902
459.784,77.927
461.587,77.988
463.414,78.083
465.274,78.212
467.177,78.373
469.131,78.565
471.133,78.789
473.159,79.049
475.182,79.347
477.176,79.689
479.116,80.078
480.973,80.517
482.724,81.010
484.340,81.561
485.796,82.174
487.066,82.852
488.122,83.600
488.950,84.420
489.560,85.316
489.968,86.291
490.188,87.347
490.238,88.488
490.132,89.717
489.886,91.036
489.513,92.447
489.018,93.950
488.409,95.544
487.692,97.231
486.874,99.008
485.962,100.877
484.962,102.837
483.882,104.888
482.727,107.030
481.505,109.262
480.221,111.585
478.884,113.998
477.500,116.501
476.074,119.091
474.612,121.760
473.117,124.494
471.594,127.281
470.047,130.109
468.480,132.966
466.898,135.840
465.304,138.719
463.703,141.590
462.098,144.441
460.495,147.260
458.897,150.035
457.308,152.754
455.733,155.404
454.176,157.973
452.640,160.450
451.131,162.822
449.652,165.076
448.208,167.201
446.802,169.188
445.440,171.044
444.127,172.784
442.869,174.424
441.670,175.979
440.536,177.464
439.473,178.894
438.485,180.284
437.578,181.649
436.757,183.005
436.028,184.366
435.395,185.747
434.854,187.153
434.373,188.563
433.918,189.952
433.454,191.297
432.946,192.571
432.361,193.752
431.662,194.814
430.817,195.733
429.792,196.486
428.587,197.072
427.223,197.502
425.719,197.788
424.096,197.943
422.374,197.979
420.574,197.908
418.715,197.742
416.817,197.492
414.902,197.172
412.988,196.793
411.082,196.366
409.179,195.902
407.273,195.411
405.357,194.905
403.425,194.393
401.472,193.887
399.492,193.396
397.479,192.931
395.426,192.503
393.328,192.122
391.179,191.799
388.973,191.544
386.704,191.367
384.376,191.266
381.993,191.236
379.563,191.270
377.090,191.362
374.581,191.507
372.041,191.699
369.476,191.931
366.893,192.197
364.296,192.492
361.693,192.810
359.088,193.145
356.487,193.490
353.897,193.840
351.323,194.189
348.772,194.530
346.248,194.860
343.757,195.177
341.305,195.482
338.896,195.774
336.536,196.055
334.231,196.324
331.985,196.581
329.803,196.826
327.692,197.061
325.656,197.284
323.700,197.496
321.831,197.697
320.052,197.887
318.370,198.067
316.781,198.230
315.272,198.363
313.828,198.451
312.436,198.478
311.080,198.431
309.747,198.296
308.423,198.056
307.092,197.699
305.742,197.210
304.373,196.593
302.994,195.870
301.618,195.060
300.256,194.185
298.919,193.264
297.619,192.319
296.367,191.370
295.175,190.438
294.054,189.544
293.010,188.706
292.026,187.937
291.077,187.250
290.139,186.653
289.188,186.160
288.198,185.780
287.146,185.524
286.016,185.396
284.852,185.347
283.718,185.314
282.678,185.230
281.796,185.031
281.138,184.651
280.759,184.030
280.642,183.175
280.726,182.126
280.953,180.924
281.260,179.611
281.587,178.228
281.875,176.818
282.063,175.420
282.125,174.057
282.074,172.730
281.927,171.438
281.700,170.179
281.408,168.952
281.069,167.755
280.698,166.589
280.311,165.450
279.916,164.338
279.512,163.251
279.097,162.186
278.671,161.141
278.233,160.115
277.780,159.103
277.313,158.106
276.853,157.116
276.452,156.127
276.163,155.130
276.039,154.115
276.133,153.075
276.500,152.000
