X,Y
285.000,144.000
285.552,142.925
286.371,141.787
287.434,140.593
288.718,139.352
290.202,138.071
291.862,136.758
293.676,135.421
295.620,134.068
297.673,132.707
299.812,131.345
302.013,129.991
304.255,128.652
306.521,127.333
308.810,126.033
311.118,124.749
313.446,123.479
315.791,122.222
318.152,120.976
320.527,119.738
322.916,118.506
325.316,117.279
327.727,116.054
330.147,114.830
332.574,113.604
335.007,112.374
337.445,111.139
339.886,109.895
342.328,108.643
344.772,107.382
347.217,106.113
349.663,104.839
352.109,103.561
354.555,102.280
357.002,100.998
359.448,99.717
361.893,98.438
364.338,97.163
366.781,95.893
369.223,94.630
371.664,93.376
374.103,92.132
376.540,90.899
378.974,89.680
381.405,88.475
383.832,87.288
386.252,86.119
388.663,84.973
391.063,83.850
393.450,82.754
395.822,81.686
398.176,80.648
400.511,79.644
402.825,78.675
405.114,77.744
407.378,76.852
409.615,76.003
411.821,75.198
413.995,74.440
416.138,73.729
418.254,73.063
420.348,72.440
422.427,71.858
424.495,71.314
426.557,70.805
428.619,70.329
430.686,69.885
432.763,69.469
434.856,69.079
436.970,68.713
439.110,68.368
441.281,68.043
443.482,67.738
445.711,67.455
447.968,67.197
450.249,66.966
452.554,66.762
454.880,66.589
457.226,66.448
459.589,66.341
461.969,66.271
464.362,66.238
466.769,66.245
469.186,66.295
471.611,66.388
474.031,66.529
476.420,66.724
478.755,66.977
481.008,67.294
483.157,67.681
485.175,68.144
487.038,68.687
488.720,69.316
490.196,70.037
491.442,70.855
492.432,71.776
493.151,72.803
493.611,73.931
493.831,75.155
493.828,76.470
493.619,77.871
493.222,79.352
492.655,80.907
491.936,82.532
491.080,84.222
490.102,85.974
489.018,87.785
487.841,89.652
486.588,91.573
485.272,93.545
483.909,95.563
482.514,97.626
481.101,99.730
479.685,101.873
478.281,104.052
476.903,106.262
475.568,108.503
474.285,110.770
473.049,113.063
471.853,115.378
470.691,117.715
469.554,120.073
468.436,122.448
467.329,124.840
466.226,127.247
465.120,129.667
464.003,132.098
462.868,134.540
461.707,136.989
460.515,139.445
459.282,141.905
458.003,144.369
456.670,146.833
455.290,149.294
453.873,151.744
452.432,154.178
450.976,156.589
449.518,158.970
448.069,161.315
446.641,163.618
445.244,165.872
443.890,168.071
442.590,170.209
441.357,172.278
440.200,174.273
439.131,176.188
438.163,178.015
437.301,179.748
436.527,181.377
435.808,182.889
435.112,184.275
434.409,185.520
433.667,186.615
432.853,187.547
431.937,188.305
430.887,188.877
429.701,189.260
428.413,189.462
427.061,189.491
425.680,189.355
424.308,189.062
422.982,188.620
421.737,188.038
420.601,187.328
419.560,186.521
418.586,185.652
417.650,184.759
416.724,183.878
415.781,183.044
414.793,182.295
413.732,181.666
412.581,181.164
411.333,180.777
409.982,180.488
408.519,180.283
406.937,180.147
405.230,180.065
403.391,180.022
401.411,180.004
399.286,179.995
397.023,179.991
394.640,179.994
392.156,180.004
389.589,180.023
386.957,180.052
384.279,180.092
381.573,180.146
378.856,180.214
376.149,180.297
373.467,180.398
370.831,180.517
368.258,180.655
365.767,180.815
363.375,180.997
361.097,181.201
358.921,181.427
356.834,181.670
354.819,181.927
352.862,182.195
350.946,182.471
349.057,182.751
347.180,183.033
345.298,183.313
343.397,183.587
341.461,183.853
339.475,184.108
337.437,184.348
335.362,184.573
333.265,184.781
331.160,184.971
329.063,185.141
326.989,185.289
324.953,185.416
322.969,185.518
321.053,185.595
319.220,185.645
317.485,185.666
315.859,185.658
314.327,185.617
312.870,185.539
311.465,185.421
310.091,185.260
308.728,185.053
307.354,184.795
305.947,184.483
304.489,184.115
302.981,183.692
301.443,183.223
299.895,182.716
298.359,182.177
296.856,181.615
295.405,181.037
294.028,180.451
292.746,179.865
291.577,179.287
290.521,178.724
289.567,178.184
288.702,177.674
287.914,177.202
287.190,176.775
286.519,176.397
285.903,176.023
285.350,175.584
284.869,175.011
284.469,174.235
284.148,173.246
283.897,172.082
283.704,170.787
283.561,169.401
283.457,167.967
283.382,166.526
283.325,165.121
283.282,163.781
283.257,162.499
283.259,161.263
283.295,160.063
283.373,158.887
283.501,157.724
283.686,156.563
283.927,155.397
284.199,154.232
284.473,153.081
284.717,151.951
284.901,150.855
284.995,149.801
284.972,148.799
284.857,147.842
284.726,146.907
284.656,145.970
284.721,145.009
285.000,144.000
