X,Y
286.667,154.333
287.692,153.882
289.089,153.666
290.817,153.667
292.838,153.863
295.112,154.234
297.600,154.762
300.263,155.425
303.061,156.203
305.956,157.076
308.909,158.025
311.879,159.028
314.828,160.067
317.716,161.120
320.505,162.168
323.155,163.190
325.643,164.175
327.982,165.127
330.189,166.055
332.284,166.966
334.285,167.868
336.209,168.769
338.074,169.676
339.900,170.599
341.703,171.543
343.503,172.518
345.317,173.531
347.164,174.590
349.061,175.703
351.023,176.875
353.046,178.101
355.124,179.375
357.250,180.691
359.417,182.043
361.618,183.422
363.847,184.824
366.097,186.242
368.361,187.668
370.633,189.097
372.906,190.523
375.173,191.937
377.427,193.335
379.662,194.709
381.871,196.054
384.047,197.363
386.185,198.639
388.280,199.890
390.328,201.122
392.324,202.342
394.263,203.557
396.140,204.773
397.950,205.998
399.689,207.237
401.353,208.499
402.935,209.790
404.432,211.116
405.839,212.484
407.151,213.902
408.367,215.370
409.489,216.890
410.516,218.460
411.451,220.079
412.295,221.747
413.048,223.463
413.712,225.227
414.288,227.038
414.777,228.896
415.180,230.799
415.499,232.747
415.731,234.734
415.872,236.748
415.920,238.778
415.868,240.811
415.715,242.837
415.454,244.844
415.084,246.820
414.598,248.754
413.994,250.634
413.267,252.449
412.413,254.187
411.431,255.839
410.329,257.411
409.119,258.913
407.813,260.353
406.425,261.743
404.966,263.092
403.448,264.409
401.885,265.705
400.287,266.990
398.668,268.272
397.040,269.563
395.414,270.872
393.799,272.204
392.189,273.551
390.578,274.906
388.958,276.258
387.323,277.599
385.665,278.920
383.977,280.212
382.254,281.467
380.486,282.674
378.669,283.825
376.794,284.911
374.855,285.923
372.845,286.853
370.765,287.698
368.622,288.463
366.422,289.150
364.171,289.764
361.878,290.309
359.548,290.789
357.189,291.207
354.807,291.567
352.408,291.873
350.001,292.128
347.591,292.338
345.185,292.504
342.790,292.632
340.413,292.725
338.057,292.781
335.723,292.798
333.414,292.771
331.130,292.697
328.872,292.572
326.643,292.393
324.444,292.156
322.277,291.857
320.142,291.492
318.041,291.059
315.975,290.553
313.947,289.970
311.958,289.308
310.010,288.570
308.109,287.766
306.260,286.909
304.468,286.007
302.738,285.072
301.075,284.115
299.483,283.147
297.969,282.178
296.536,281.219
295.189,280.282
293.935,279.376
292.773,278.500
291.699,277.635
290.705,276.760
289.786,275.854
288.935,274.894
288.147,273.862
287.416,272.734
286.735,271.490
286.099,270.123
285.504,268.641
284.948,267.053
284.426,265.372
283.935,263.605
283.472,261.764
283.033,259.858
282.615,257.898
282.213,255.893
281.825,253.853
281.446,251.789
281.077,249.709
280.715,247.618
280.362,245.524
280.017,243.432
279.681,241.350
279.352,239.283
279.032,237.239
278.720,235.223
278.415,233.241
278.119,231.302
277.831,229.410
277.550,227.572
277.281,225.787
277.028,224.046
276.798,222.340
276.598,220.657
276.433,218.990
276.311,217.327
276.237,215.659
276.218,213.976
276.260,212.268
276.370,210.526
276.548,208.744
276.786,206.928
277.073,205.083
277.402,203.214
277.760,201.327
278.140,199.428
278.531,197.522
278.923,195.614
279.306,193.711
279.672,191.818
280.010,189.940
280.314,188.083
280.591,186.251
280.849,184.447
281.098,182.675
281.348,180.939
281.607,179.242
281.885,177.589
282.191,175.982
282.535,174.427
282.925,172.926
283.369,171.481
283.848,170.087
284.336,168.733
284.807,167.408
285.235,166.102
285.591,164.804
285.851,163.504
285.986,162.191
285.976,160.857
285.858,159.523
285.718,158.230
285.643,157.022
285.718,155.941
286.030,155.031
286.667,154.333
