X	Y
8.754	6.603
8.765	6.589
8.779	6.576
8.796	6.563
8.816	6.551
8.838	6.540
8.863	6.529
8.890	6.519
8.919	6.508
8.949	6.499
8.981	6.489
9.015	6.479
9.050	6.470
9.085	6.461
9.122	6.451
9.159	6.442
9.196	6.432
9.234	6.422
9.271	6.412
9.309	6.402
9.348	6.391
9.386	6.381
9.425	6.370
9.464	6.359
9.503	6.349
9.543	6.338
9.583	6.327
9.623	6.316
9.663	6.305
9.704	6.294
9.745	6.283
9.786	6.272
9.827	6.261
9.869	6.250
9.911	6.240
9.953	6.229
9.996	6.219
10.039	6.209
10.082	6.199
10.126	6.189
10.169	6.179
10.213	6.169
10.258	6.160
10.302	6.151
10.347	6.142
10.391	6.133
10.436	6.125
10.481	6.117
10.525	6.109
10.570	6.101
10.615	6.093
10.659	6.086
10.704	6.079
10.748	6.072
10.793	6.066
10.837	6.060
10.880	6.054
10.924	6.049
10.967	6.043
11.010	6.039
11.053	6.034
11.095	6.030
11.137	6.026
11.178	6.023
11.219	6.020
11.260	6.017
11.300	6.015
11.340	6.013
11.379	6.012
11.418	6.012
11.456	6.012
11.494	6.013
11.531	6.014
11.568	6.016
11.604	6.020
11.640	6.023
11.675	6.028
11.709	6.033
11.743	6.040
11.777	6.047
11.810	6.056
11.842	6.065
11.873	6.075
11.904	6.087
11.934	6.099
11.963	6.112
11.991	6.127
12.018	6.142
12.043	6.158
12.067	6.175
12.089	6.193
12.110	6.211
12.129	6.231
12.146	6.251
12.162	6.272
12.175	6.293
12.186	6.316
12.194	6.339
12.201	6.362
12.205	6.387
12.208	6.412
12.209	6.438
12.208	6.464
12.206	6.492
12.202	6.520
12.197	6.549
12.191	6.579
12.184	6.610
12.176	6.641
12.168	6.674
12.159	6.707
12.149	6.742
12.139	6.777
12.129	6.813
12.118	6.849
12.107	6.885
12.095	6.921
12.082	6.957
12.069	6.993
12.055	7.028
12.040	7.061
12.025	7.094
12.008	7.125
11.991	7.154
11.972	7.181
11.953	7.206
11.932	7.228
11.910	7.248
11.887	7.265
11.863	7.278
11.837	7.289
11.811	7.296
11.783	7.301
11.754	7.303
11.725	7.302
11.695	7.300
11.664	7.296
11.634	7.290
11.603	7.283
11.572	7.275
11.541	7.266
11.511	7.257
11.480	7.248
11.451	7.238
11.422	7.229
11.394	7.220
11.366	7.212
11.340	7.204
11.313	7.197
11.288	7.191
11.262	7.185
11.237	7.180
11.211	7.175
11.186	7.171
11.160	7.168
11.134	7.165
11.108	7.163
11.081	7.161
11.053	7.160
11.024	7.159
10.994	7.159
10.964	7.159
10.933	7.160
10.900	7.161
10.867	7.163
10.833	7.165
10.799	7.166
10.763	7.169
10.727	7.171
10.690	7.173
10.653	7.175
10.614	7.177
10.575	7.179
10.536	7.181
10.495	7.182
10.454	7.183
10.413	7.184
10.371	7.184
10.328	7.184
10.285	7.183
10.242	7.182
10.198	7.181
10.154	7.178
10.109	7.176
10.064	7.173
10.019	7.169
9.974	7.165
9.929	7.161
9.884	7.156
9.839	7.150
9.794	7.145
9.750	7.139
9.705	7.132
9.661	7.125
9.617	7.118
9.574	7.111
9.531	7.103
9.488	7.095
9.446	7.086
9.405	7.077
9.365	7.068
9.325	7.059
9.286	7.050
9.248	7.040
9.211	7.030
9.175	7.020
9.139	7.010
9.105	6.999
9.072	6.989
9.040	6.979
9.009	6.968
8.980	6.958
8.951	6.948
8.924	6.938
8.898	6.929
8.874	6.919
8.851	6.910
8.829	6.901
8.809	6.892
8.791	6.884
8.774	6.876
8.759	6.868
8.747	6.860
8.736	6.851
8.728	6.843
8.723	6.833
8.720	6.823
8.720	6.812
8.722	6.800
8.725	6.787
8.729	6.773
8.733	6.759
8.736	6.745
8.738	6.729
8.739	6.714
8.738	6.697
8.738	6.681
8.738	6.665
8.739	6.649
8.742	6.633
8.746	6.618
8.754	6.603
