X,Y
264.833,155.333
265.482,154.099
266.393,152.730
267.529,151.270
268.852,149.762
270.325,148.249
271.909,146.772
273.568,145.376
275.267,144.096
276.996,142.921
278.753,141.823
280.538,140.773
282.349,139.743
284.185,138.704
286.044,137.628
287.925,136.485
289.829,135.252
291.754,133.934
293.703,132.545
295.677,131.099
297.678,129.612
299.707,128.098
301.765,126.572
303.854,125.048
305.975,123.542
308.130,122.067
310.315,120.629
312.523,119.221
314.746,117.841
316.977,116.481
319.207,115.138
321.430,113.806
323.637,112.481
325.820,111.157
327.973,109.829
330.088,108.494
332.161,107.157
334.190,105.827
336.173,104.515
338.108,103.231
339.992,101.984
341.825,100.785
343.602,99.644
345.324,98.570
346.994,97.570
348.640,96.638
350.292,95.765
351.983,94.942
353.742,94.162
355.601,93.416
357.592,92.695
359.738,91.994
362.008,91.335
364.334,90.756
366.650,90.294
368.892,89.987
370.991,89.871
372.884,89.986
374.502,90.368
375.790,91.049
376.765,92.007
377.482,93.194
377.995,94.563
378.360,96.066
378.629,97.656
378.836,99.308
378.993,101.019
379.108,102.786
379.194,104.606
379.262,106.477
379.320,108.396
379.379,110.360
379.434,112.365
379.473,114.407
379.484,116.480
379.456,118.581
379.377,120.705
379.236,122.848
379.020,125.004
378.720,127.168
378.336,129.330
377.872,131.477
377.332,133.596
376.717,135.675
376.033,137.702
375.281,139.663
374.466,141.547
373.590,143.342
372.649,145.044
371.638,146.651
370.550,148.163
369.378,149.579
368.118,150.897
366.763,152.117
365.308,153.237
363.753,154.262
362.101,155.198
360.353,156.049
358.514,156.821
356.585,157.521
354.568,158.154
352.468,158.726
350.291,159.244
348.052,159.720
345.767,160.165
343.450,160.591
341.115,161.008
338.779,161.428
336.456,161.863
334.161,162.323
331.908,162.820
329.699,163.349
327.528,163.900
325.389,164.460
323.274,165.017
321.178,165.560
319.094,166.075
317.016,166.551
314.937,166.976
312.849,167.344
310.744,167.659
308.612,167.925
306.443,168.145
304.230,168.326
301.962,168.469
299.630,168.581
297.226,168.665
294.745,168.724
292.209,168.759
289.648,168.767
287.089,168.748
284.562,168.701
282.095,168.623
279.718,168.515
277.457,168.374
275.343,168.200
273.401,167.992
271.631,167.764
270.028,167.533
268.582,167.317
267.286,167.132
266.132,166.997
265.128,166.894
264.339,166.680
263.842,166.185
263.683,165.288
263.778,164.097
264.007,162.783
264.251,161.513
264.394,160.449
264.413,159.607
264.365,158.876
264.310,158.142
264.317,157.329
264.465,156.404
264.833,155.333
