X,Y
264.667,162.333
265.681,161.782
267.099,161.361
268.875,161.054
270.959,160.845
273.306,160.718
275.868,160.656
278.597,160.643
281.446,160.662
284.371,160.700
287.346,160.752
290.352,160.815
293.372,160.890
296.385,160.975
299.374,161.069
302.319,161.171
305.202,161.281
308.005,161.396
310.709,161.516
313.294,161.640
315.746,161.767
318.080,161.910
320.321,162.083
322.498,162.301
324.638,162.581
326.769,162.937
328.917,163.385
331.111,163.941
333.378,164.620
335.732,165.427
338.158,166.335
340.634,167.317
343.139,168.342
345.654,169.383
348.155,170.410
350.624,171.394
353.039,172.305
355.379,173.115
357.622,173.795
359.738,174.349
361.667,174.848
363.351,175.377
364.729,176.017
365.740,176.851
366.323,177.962
366.440,179.409
366.142,181.142
365.507,183.085
364.611,185.159
363.532,187.287
362.347,189.391
361.132,191.395
359.966,193.219
358.903,194.814
357.920,196.221
356.977,197.504
356.033,198.729
355.047,199.959
353.978,201.258
352.787,202.688
351.461,204.257
350.008,205.935
348.436,207.686
346.755,209.480
344.973,211.281
343.098,213.057
341.140,214.775
339.106,216.401
337.006,217.903
334.848,219.259
332.636,220.466
330.377,221.522
328.078,222.422
325.743,223.165
323.379,223.747
320.992,224.165
318.588,224.417
316.172,224.500
313.751,224.415
311.335,224.180
308.933,223.814
306.554,223.338
304.209,222.772
301.907,222.135
299.657,221.449
297.469,220.733
295.353,220.007
293.318,219.284
291.374,218.548
289.529,217.775
287.791,216.939
286.170,216.018
284.675,214.985
283.315,213.819
282.096,212.495
281.010,211.026
280.036,209.445
279.152,207.788
278.336,206.091
277.567,204.388
276.823,202.714
276.083,201.104
275.336,199.558
274.580,198.048
273.811,196.548
273.029,195.030
272.230,193.465
271.412,191.827
270.575,190.096
269.730,188.298
268.890,186.475
268.069,184.669
267.282,182.921
266.541,181.273
265.863,179.766
265.256,178.438
264.708,177.300
264.186,176.342
263.659,175.555
263.098,174.927
262.527,174.388
262.042,173.789
261.742,172.979
261.665,171.915
261.766,170.698
261.998,169.437
262.311,168.241
262.659,167.198
263.004,166.284
263.313,165.445
263.552,164.625
263.753,163.801
264.068,163.020
264.667,162.333
