X,Y
769.000,501.000
769.325,499.912
769.723,498.776
770.189,497.596
770.718,496.377
771.303,495.123
771.940,493.839
772.623,492.529
773.346,491.197
774.104,489.847
774.892,488.485
775.703,487.115
776.533,485.740
777.376,484.366
778.226,482.997
779.077,481.636
779.926,480.289
780.764,478.961
781.589,477.654
782.393,476.374
783.176,475.121
783.940,473.891
784.690,472.682
785.428,471.489
786.158,470.308
786.883,469.136
787.606,467.970
788.331,466.805
789.060,465.639
789.797,464.467
790.545,463.286
791.308,462.091
792.089,460.881
792.890,459.651
793.716,458.396
794.570,457.115
795.454,455.802
796.373,454.455
797.327,453.072
798.314,451.655
799.335,450.206
800.386,448.726
801.467,447.218
802.576,445.683
803.711,444.124
804.872,442.542
806.056,440.939
807.262,439.317
808.489,437.678
809.735,436.024
810.999,434.356
812.279,432.677
813.573,430.988
814.881,429.292
816.201,427.590
817.531,425.884
818.870,424.177
820.216,422.469
821.568,420.763
822.924,419.061
824.283,417.364
825.643,415.675
827.004,413.995
828.363,412.326
829.721,410.668
831.080,409.018
832.440,407.376
833.801,405.741
835.165,404.111
836.533,402.486
837.905,400.864
839.282,399.245
840.665,397.626
842.055,396.008
843.453,394.388
844.859,392.766
846.275,391.140
847.701,389.510
849.139,387.874
850.588,386.231
852.050,384.581
853.526,382.921
855.016,381.250
856.522,379.569
858.044,377.875
859.583,376.167
861.140,374.444
862.716,372.705
864.312,370.949
865.927,369.175
867.565,367.382
869.223,365.569
870.902,363.738
872.601,361.890
874.318,360.027
876.052,358.150
877.802,356.261
879.567,354.360
881.346,352.450
883.139,350.532
884.943,348.608
886.758,346.678
888.582,344.744
890.416,342.808
892.257,340.871
894.104,338.935
895.957,337.000
897.815,335.069
899.676,333.143
901.539,331.223
903.403,329.311
905.267,327.408
907.131,325.516
908.992,323.636
910.850,321.769
912.705,319.917
914.554,318.082
916.396,316.264
918.232,314.466
920.059,312.688
921.876,310.932
923.683,309.200
925.478,307.493
927.261,305.813
929.032,304.159
930.791,302.531
932.541,300.929
934.282,299.352
936.016,297.800
937.743,296.273
939.465,294.771
941.183,293.292
942.899,291.836
944.613,290.404
946.326,288.994
948.040,287.607
949.757,286.242
951.476,284.898
953.200,283.575
954.929,282.273
956.664,280.991
958.408,279.729
960.161,278.487
961.923,277.264
963.697,276.059
965.484,274.873
967.284,273.705
969.100,272.555
970.931,271.422
972.779,270.305
974.646,269.205
976.533,268.121
978.437,267.054
980.359,266.004
982.295,264.972
984.244,263.958
986.205,262.964
988.175,261.990
990.153,261.037
992.137,260.105
994.126,259.195
996.117,258.308
998.109,257.444
1000.100,256.605
1002.089,255.790
1004.073,255.002
1006.051,254.239
1008.021,253.504
1009.981,252.796
1011.930,252.117
1013.865,251.467
1015.786,250.846
1017.690,250.257
1019.575,249.698
1021.441,249.171
1023.284,248.677
1025.103,248.217
1026.898,247.790
1028.667,247.397
1030.412,247.037
1032.137,246.709
1033.842,246.411
1035.530,246.143
1037.203,245.904
1038.862,245.692
1040.511,245.507
1042.150,245.347
1043.783,245.212
1045.410,245.100
1047.034,245.010
1048.658,244.941
1050.282,244.893
1051.910,244.864
1053.543,244.853
1055.183,244.859
1056.832,244.882
1058.493,244.919
1060.167,244.970
1061.855,245.034
1063.559,245.112
1065.274,245.206
1066.997,245.319
1068.725,245.453
1070.455,245.611
1072.184,245.796
1073.908,246.010
1075.624,246.256
1077.329,246.536
1079.019,246.853
1080.692,247.210
1082.344,247.608
1083.972,248.052
1085.573,248.542
1087.143,249.083
1088.680,249.675
1090.179,250.323
1091.639,251.029
1093.055,251.794
1094.424,252.622
1095.744,253.516
1097.013,254.474
1098.232,255.495
1099.403,256.576
1100.527,257.715
1101.604,258.909
1102.636,260.156
1103.624,261.453
1104.569,262.798
1105.472,264.189
1106.334,265.622
1107.156,267.096
1107.939,268.608
1108.684,270.155
1109.393,271.736
1110.066,273.347
1110.705,274.986
1111.310,276.651
1111.883,278.340
1112.425,280.049
1112.936,281.777
1113.419,283.520
1113.873,285.280
1114.299,287.056
1114.698,288.848
1115.071,290.656
1115.418,292.481
1115.740,294.322
1116.037,296.181
1116.311,298.056
1116.561,299.950
1116.789,301.860
1116.996,303.789
1117.181,305.735
1117.346,307.700
1117.490,309.683
1117.616,311.685
1117.723,313.705
1117.813,315.745
1117.885,317.804
1117.941,319.882
1117.980,321.980
1118.005,324.097
1118.015,326.235
1118.011,328.393
1117.994,330.571
1117.964,332.769
1117.922,334.986
1117.865,337.221
1117.795,339.473
1117.712,341.739
1117.614,344.020
1117.502,346.313
1117.376,348.618
1117.234,350.933
1117.078,353.256
1116.906,355.587
1116.719,357.925
1116.516,360.268
1116.297,362.614
1116.061,364.963
1115.809,367.314
1115.540,369.664
1115.254,372.014
1114.951,374.360
1114.630,376.703
1114.291,379.042
1113.934,381.373
1113.559,383.698
1113.165,386.013
1112.752,388.319
1112.320,390.613
1111.869,392.894
1111.398,395.162
1110.908,397.415
1110.397,399.652
1109.867,401.872
1109.317,404.076
1108.747,406.263
1108.158,408.433
1107.550,410.586
1106.924,412.722
1106.278,414.840
1105.614,416.941
1104.932,419.024
1104.231,421.089
1103.512,423.136
1102.776,425.164
1102.022,427.174
1101.251,429.165
1100.463,431.137
1099.657,433.090
1098.835,435.024
1097.996,436.938
1097.140,438.832
1096.269,440.707
1095.381,442.561
1094.477,444.395
1093.558,446.209
1092.623,448.002
1091.672,449.775
1090.707,451.526
1089.726,453.256
1088.729,454.964
1087.715,456.647
1086.682,458.307
1085.631,459.941
1084.559,461.548
1083.465,463.128
1082.350,464.679
1081.211,466.201
1080.048,467.692
1078.860,469.152
1077.646,470.578
1076.405,471.971
1075.136,473.330
1073.837,474.653
1072.509,475.938
1071.149,477.187
1069.758,478.396
1068.333,479.566
1066.874,480.694
1065.381,481.781
1063.851,482.825
1062.285,483.826
1060.680,484.781
1059.039,485.693
1057.361,486.564
1055.648,487.396
1053.901,488.190
1052.120,488.950
1050.308,489.676
1048.465,490.371
1046.592,491.038
1044.689,491.678
1042.759,492.293
1040.802,492.885
1038.820,493.457
1036.813,494.010
1034.782,494.547
