X,Y
777.000,516.000
778.004,514.896
779.166,513.826
780.477,512.789
781.927,511.784
783.508,510.812
785.209,509.870
787.021,508.958
788.935,508.076
790.942,507.222
793.032,506.396
795.195,505.597
797.422,504.823
799.705,504.076
802.032,503.352
804.396,502.652
806.786,501.976
809.194,501.321
811.609,500.688
814.023,500.075
816.425,499.482
818.807,498.908
821.160,498.351
823.473,497.812
825.737,497.290
827.943,496.783
830.088,496.292
832.175,495.815
834.206,495.351
836.186,494.901
838.117,494.464
840.003,494.040
841.848,493.626
843.655,493.225
845.428,492.833
847.169,492.452
848.882,492.080
850.571,491.718
852.239,491.363
853.889,491.017
855.526,490.678
857.151,490.345
858.769,490.019
860.384,489.699
861.998,489.384
863.615,489.073
865.238,488.767
866.869,488.465
868.509,488.169
870.161,487.880
871.824,487.598
873.500,487.326
875.191,487.063
876.898,486.811
878.622,486.571
880.364,486.344
882.126,486.131
883.909,485.933
885.714,485.751
887.543,485.586
889.396,485.439
891.275,485.311
893.182,485.203
895.117,485.116
897.083,485.052
899.079,485.011
901.108,484.994
903.168,485.001
905.258,485.033
907.376,485.087
909.520,485.165
911.687,485.265
913.875,485.387
916.083,485.530
918.308,485.693
920.548,485.877
922.801,486.081
925.065,486.304
927.337,486.546
929.617,486.806
931.901,487.083
934.187,487.377
936.474,487.688
938.760,488.015
941.041,488.358
943.317,488.716
945.584,489.088
947.842,489.474
950.087,489.873
952.318,490.285
954.533,490.710
956.729,491.147
958.906,491.595
961.066,492.055
963.209,492.529
965.339,493.016
967.455,493.516
969.561,494.031
971.658,494.561
973.747,495.107
975.831,495.669
977.910,496.247
979.987,496.843
982.063,497.456
984.140,498.088
986.220,498.739
988.304,499.409
990.394,500.100
992.491,500.810
994.598,501.542
996.716,502.296
998.847,503.072
1000.992,503.871
1003.154,504.693
1005.333,505.539
1007.531,506.409
1009.751,507.305
1011.992,508.226
1014.252,509.172
1016.528,510.142
1018.817,511.138
1021.117,512.158
1023.426,513.203
1025.740,514.272
1028.057,515.365
1030.375,516.482
1032.690,517.622
1035.001,518.786
1037.304,519.973
1039.597,521.184
1041.877,522.417
1044.141,523.673
1046.388,524.952
1048.614,526.253
1050.817,527.576
1052.993,528.921
1055.142,530.288
1057.259,531.676
1059.342,533.087
1061.389,534.518
1063.397,535.970
1065.363,537.444
1067.285,538.938
1069.159,540.452
1070.985,541.987
1072.758,543.542
1074.480,545.117
1076.149,546.711
1077.765,548.325
1079.330,549.958
1080.842,551.610
1082.301,553.280
1083.709,554.968
1085.063,556.675
1086.365,558.399
1087.615,560.141
1088.812,561.899
1089.957,563.675
1091.049,565.467
1092.088,567.275
1093.075,569.100
1094.009,570.940
1094.890,572.796
1095.718,574.667
1096.494,576.553
1097.216,578.454
1097.886,580.369
1098.503,582.299
1099.067,584.242
1099.579,586.199
1100.039,588.170
1100.451,590.157
1100.815,592.159
1101.135,594.178
1101.411,596.214
1101.645,598.267
1101.840,600.340
1101.998,602.431
1102.119,604.543
1102.207,606.675
1102.262,608.828
1102.287,611.004
1102.284,613.202
1102.254,615.423
1102.200,617.669
1102.123,619.939
1102.026,622.234
1101.909,624.556
1101.776,626.905
1101.627,629.281
1101.465,631.685
1101.291,634.118
1101.108,636.581
1100.917,639.074
1100.719,641.596
1100.510,644.144
1100.290,646.714
1100.056,649.304
1099.805,651.909
