X	Y
31.147	16.436
31.216	16.309
31.312	16.178
31.433	16.042
31.579	15.901
31.745	15.757
31.932	15.610
32.136	15.460
32.356	15.306
32.590	15.151
32.835	14.993
33.090	14.834
33.353	14.673
33.621	14.512
33.893	14.349
34.167	14.187
34.440	14.024
34.713	13.862
34.985	13.699
35.257	13.537
35.528	13.374
35.799	13.211
36.070	13.048
36.340	12.885
36.611	12.721
36.882	12.556
37.153	12.391
37.425	12.225
37.697	12.059
37.969	11.891
38.243	11.723
38.517	11.553
38.793	11.383
39.069	11.211
39.347	11.038
39.626	10.863
39.907	10.688
40.189	10.511
40.472	10.334
40.757	10.157
41.042	9.981
41.329	9.805
41.616	9.630
41.904	9.457
42.192	9.286
42.481	9.118
42.771	8.952
43.061	8.790
43.351	8.632
43.641	8.477
43.931	8.328
44.221	8.183
44.511	8.043
44.801	7.910
45.090	7.782
45.379	7.662
45.667	7.548
45.954	7.441
46.239	7.341
46.522	7.248
46.802	7.162
47.078	7.082
47.351	7.010
47.619	6.944
47.883	6.886
48.141	6.834
48.393	6.789
48.638	6.751
48.877	6.719
49.107	6.695
49.330	6.677
49.544	6.666
49.749	6.662
49.944	6.665
50.129	6.677
50.302	6.698
50.463	6.728
50.612	6.769
50.747	6.820
50.868	6.883
50.974	6.959
51.065	7.047
51.140	7.149
51.201	7.263
51.250	7.389
51.289	7.527
51.319	7.676
51.341	7.834
51.358	8.002
51.370	8.179
51.380	8.364
51.389	8.557
51.396	8.756
51.401	8.962
51.405	9.174
51.407	9.390
51.408	9.610
51.407	9.834
51.405	10.061
51.401	10.289
51.396	10.519
51.390	10.750
51.382	10.981
51.373	11.211
51.363	11.440
51.350	11.667
51.335	11.891
51.316	12.113
51.292	12.330
51.264	12.544
51.231	12.753
51.191	12.957
51.144	13.155
51.089	13.347
51.026	13.532
50.955	13.709
50.873	13.878
50.782	14.040
50.683	14.195
50.577	14.344
50.465	14.488
50.348	14.629
50.227	14.767
50.103	14.903
49.978	15.039
49.853	15.176
49.729	15.314
49.607	15.454
49.486	15.597
49.367	15.741
49.248	15.886
49.128	16.029
49.005	16.170
48.878	16.308
48.747	16.441
48.609	16.568
48.465	16.688
48.312	16.799
48.149	16.900
47.976	16.991
47.794	17.072
47.601	17.144
47.400	17.208
47.190	17.264
46.972	17.314
46.747	17.359
46.515	17.399
46.277	17.435
46.033	17.468
45.784	17.499
45.530	17.530
45.273	17.560
45.011	17.590
44.747	17.622
44.480	17.656
44.210	17.691
43.938	17.727
43.663	17.766
43.386	17.806
43.107	17.848
42.827	17.892
42.544	17.938
42.260	17.986
41.975	18.036
41.689	18.088
41.402	18.143
41.114	18.200
40.825	18.259
40.536	18.321
40.246	18.385
39.957	18.452
39.668	18.521
39.379	18.591
39.091	18.661
38.805	18.730
38.520	18.797
38.238	18.862
37.957	18.924
37.680	18.982
37.406	19.035
37.135	19.082
36.868	19.122
36.605	19.155
36.347	19.179
36.094	19.194
35.846	19.199
35.604	19.193
35.368	19.176
35.137	19.148
34.911	19.113
34.691	19.070
34.475	19.021
34.263	18.969
34.055	18.914
33.850	18.858
33.648	18.803
33.449	18.750
33.253	18.701
33.058	18.656
32.865	18.618
32.674	18.588
32.486	18.563
32.303	18.540
32.128	18.518
31.962	18.494
31.808	18.464
31.667	18.427
31.541	18.379
31.434	18.319
31.345	18.243
31.277	18.152
31.225	18.050
31.189	17.941
31.166	17.828
31.153	17.717
31.148	17.610
31.148	17.513
31.152	17.423
31.155	17.338
31.156	17.256
31.152	17.172
31.141	17.083
31.123	16.989
31.105	16.890
31.092	16.784
31.091	16.673
31.107	16.557
31.147	16.436
