X,Y
10.166,4.810
10.169,4.799
10.174,4.788
10.179,4.777
10.185,4.766
10.192,4.755
10.200,4.744
10.209,4.733
10.218,4.722
10.228,4.711
10.238,4.700
10.250,4.689
10.261,4.679
10.274,4.668
10.287,4.657
10.301,4.647
10.315,4.636
10.330,4.626
10.345,4.615
10.361,4.604
10.377,4.594
10.394,4.583
10.411,4.573
10.429,4.563
10.447,4.552
10.465,4.542
10.484,4.531
10.503,4.521
10.523,4.511
10.542,4.500
10.562,4.490
10.583,4.480
10.603,4.469
10.624,4.459
10.645,4.449
10.666,4.439
10.687,4.428
10.709,4.418
10.730,4.408
10.752,4.397
10.773,4.387
10.795,4.377
10.817,4.367
10.839,4.356
10.860,4.346
10.882,4.336
10.904,4.326
10.926,4.315
10.948,4.305
10.970,4.295
10.992,4.284
11.014,4.274
11.036,4.264
11.058,4.254
11.080,4.243
11.102,4.233
11.124,4.223
11.147,4.212
11.169,4.202
11.191,4.192
11.213,4.181
11.236,4.171
11.258,4.161
11.281,4.150
11.303,4.140
11.326,4.130
11.349,4.119
11.371,4.109
11.394,4.099
11.417,4.088
11.440,4.078
11.463,4.068
11.486,4.057
11.509,4.047
11.532,4.036
11.555,4.026
11.578,4.016
11.602,4.005
11.625,3.995
11.649,3.985
11.672,3.974
11.696,3.964
11.719,3.953
11.743,3.943
11.767,3.933
11.791,3.922
11.815,3.912
11.839,3.901
11.863,3.891
11.887,3.880
11.911,3.870
11.936,3.860
11.960,3.849
11.985,3.839
12.009,3.828
12.034,3.818
12.059,3.807
12.084,3.797
12.109,3.787
12.134,3.776
12.159,3.766
12.184,3.755
12.209,3.745
12.235,3.734
12.260,3.724
12.286,3.713
12.312,3.703
12.337,3.693
12.363,3.682
12.389,3.672
12.415,3.661
12.441,3.651
12.468,3.641
12.494,3.630
12.520,3.620
12.547,3.610
12.573,3.600
12.600,3.589
12.626,3.579
12.653,3.569
12.680,3.559
12.707,3.549
12.733,3.538
12.760,3.528
12.788,3.518
12.815,3.508
12.842,3.498
12.869,3.488
12.896,3.478
12.924,3.468
12.951,3.459
12.979,3.449
13.006,3.439
13.034,3.429
13.062,3.420
13.090,3.410
13.117,3.401
13.145,3.391
13.173,3.382
13.201,3.372
13.229,3.363
13.257,3.354
13.285,3.344
13.314,3.335
13.342,3.326
13.370,3.317
13.398,3.308
13.427,3.299
13.455,3.290
13.484,3.281
13.512,3.273
13.541,3.264
13.569,3.255
13.598,3.247
13.627,3.238
13.656,3.230
13.684,3.222
13.713,3.213
13.742,3.205
13.771,3.197
13.800,3.189
13.829,3.181
13.858,3.173
13.887,3.166
13.916,3.158
13.945,3.150
13.974,3.143
14.003,3.136
14.032,3.128
14.061,3.121
14.091,3.114
14.120,3.107
14.149,3.100
14.179,3.093
14.208,3.086
14.238,3.079
14.267,3.072
14.297,3.065
14.326,3.059
14.356,3.052
14.386,3.046
14.415,3.039
14.445,3.033
14.475,3.026
14.505,3.020
14.535,3.014
14.564,3.007
14.594,3.001
14.624,2.995
14.655,2.989
14.685,2.983
14.715,2.977
14.745,2.971
14.775,2.965
14.806,2.959
14.836,2.953
14.867,2.947
14.897,2.941
14.928,2.936
14.958,2.930
14.989,2.924
15.020,2.918
15.050,2.913
15.081,2.907
15.112,2.901
15.143,2.896
15.174,2.890
15.205,2.884
15.236,2.879
15.267,2.873
15.299,2.868
15.330,2.862
15.361,2.856
15.393,2.851
15.424,2.845
15.456,2.840
15.487,2.834
15.519,2.829
15.551,2.823
15.583,2.817
15.615,2.812
15.647,2.806
15.679,2.800
15.711,2.795
15.743,2.789
15.775,2.784
15.807,2.778
15.840,2.772
15.872,2.766
15.905,2.761
15.937,2.755
15.970,2.749
16.003,2.743
16.036,2.737
16.069,2.731
16.102,2.726
16.135,2.720
16.168,2.714
16.201,2.708
16.234,2.702
16.267,2.696
16.300,2.690
16.333,2.684
16.366,2.678
16.399,2.672
16.433,2.666
16.466,2.660
16.499,2.655
16.532,2.649
16.565,2.643
16.598,2.637
16.631,2.632
16.664,2.626
16.697,2.620
16.729,2.615
16.762,2.609
