X,Y
10.261,5.261
10.270,5.254
10.281,5.248
10.292,5.242
10.304,5.237
10.317,5.232
10.331,5.227
10.345,5.223
10.361,5.219
10.377,5.215
10.394,5.212
10.411,5.208
10.430,5.206
10.449,5.203
10.468,5.201
10.489,5.199
10.510,5.198
10.531,5.197
10.554,5.196
10.577,5.195
10.600,5.195
10.624,5.195
10.649,5.195
10.675,5.195
10.700,5.196
10.727,5.197
10.754,5.198
10.781,5.199
10.809,5.201
10.838,5.203
10.867,5.205
10.896,5.207
10.926,5.210
10.956,5.212
10.987,5.215
11.018,5.218
11.049,5.222
11.081,5.225
11.113,5.229
11.146,5.232
11.179,5.236
11.212,5.241
11.245,5.245
11.279,5.249
11.313,5.254
11.348,5.258
11.382,5.263
11.417,5.268
11.452,5.273
11.488,5.279
11.523,5.284
11.559,5.289
11.595,5.295
11.631,5.300
11.667,5.306
11.703,5.312
11.740,5.318
11.776,5.324
11.813,5.330
11.849,5.336
11.886,5.342
11.923,5.348
11.960,5.354
11.997,5.360
12.033,5.366
12.070,5.373
12.107,5.379
12.144,5.385
12.181,5.392
12.218,5.398
12.254,5.405
12.291,5.411
12.328,5.418
12.364,5.424
12.401,5.430
12.438,5.437
12.474,5.443
12.511,5.450
12.548,5.457
12.584,5.463
12.620,5.470
12.657,5.476
12.693,5.483
12.730,5.489
12.766,5.496
12.802,5.503
12.838,5.509
12.874,5.516
12.910,5.522
12.946,5.529
12.982,5.535
13.018,5.542
13.054,5.549
13.089,5.555
13.125,5.562
13.161,5.568
13.196,5.575
13.231,5.581
13.267,5.588
13.302,5.594
13.337,5.601
13.372,5.607
13.407,5.614
13.442,5.620
13.477,5.627
13.511,5.633
13.546,5.639
13.580,5.646
13.615,5.652
13.649,5.658
13.683,5.665
13.717,5.671
13.751,5.677
13.785,5.683
13.818,5.689
13.852,5.696
13.885,5.702
13.919,5.708
13.952,5.714
13.985,5.720
14.018,5.726
14.050,5.731
14.083,5.737
14.116,5.743
14.148,5.749
14.180,5.755
14.212,5.760
14.244,5.766
14.276,5.771
14.307,5.777
14.339,5.782
14.370,5.788
14.401,5.793
14.432,5.798
14.463,5.804
14.493,5.809
14.524,5.814
14.554,5.819
14.584,5.824
14.614,5.829
14.644,5.834
14.673,5.839
14.703,5.843
14.732,5.848
14.761,5.853
14.790,5.857
14.818,5.862
14.847,5.866
14.875,5.871
14.903,5.875
14.931,5.879
14.959,5.883
14.986,5.887
15.014,5.892
15.041,5.896
15.068,5.900
15.095,5.904
15.122,5.908
15.148,5.912
15.175,5.916
15.201,5.920
15.228,5.924
15.254,5.928
15.280,5.932
15.306,5.936
15.331,5.940
15.357,5.944
15.383,5.948
15.408,5.953
15.433,5.957
15.458,5.961
15.484,5.965
15.509,5.970
15.534,5.974
15.558,5.979
15.583,5.983
15.608,5.988
15.633,5.992
15.657,5.997
15.682,6.002
15.706,6.007
15.730,6.012
15.755,6.017
15.779,6.022
15.803,6.027
15.827,6.033
15.851,6.038
15.876,6.044
15.900,6.050
15.924,6.056
15.948,6.062
15.972,6.068
15.996,6.074
16.020,6.081
16.044,6.087
16.067,6.094
16.091,6.101
16.115,6.108
16.139,6.115
16.163,6.123
16.187,6.130
16.211,6.138
16.235,6.146
16.259,6.154
16.283,6.162
16.307,6.171
16.331,6.180
16.355,6.189
16.380,6.198
16.404,6.207
16.428,6.217
16.452,6.226
16.475,6.236
16.499,6.246
16.523,6.256
16.547,6.267
16.570,6.277
16.594,6.288
16.617,6.299
16.640,6.310
16.663,6.321
16.686,6.332
16.709,6.343
16.731,6.355
16.753,6.367
16.775,6.379
16.797,6.391
16.819,6.403
16.840,6.415
16.861,6.427
16.882,6.440
16.902,6.452
16.923,6.465
16.942,6.478
16.962,6.491
16.981,6.504
17.000,6.517
17.018,6.530
17.037,6.543
17.054,6.557
17.072,6.570
17.088,6.584
17.105,6.598
17.121,6.611
17.136,6.625
17.152,6.639
17.166,6.653
17.180,6.667
17.194,6.681
