X	Y
5.422	3.076
5.435	3.049
5.455	3.020
5.480	2.990
5.510	2.959
5.544	2.926
5.583	2.894
5.625	2.860
5.670	2.826
5.718	2.792
5.768	2.757
5.820	2.723
5.873	2.688
5.926	2.654
5.980	2.619
6.033	2.586
6.085	2.553
6.137	2.520
6.188	2.488
6.238	2.456
6.287	2.425
6.335	2.394
6.383	2.363
6.430	2.333
6.476	2.303
6.522	2.273
6.566	2.243
6.610	2.213
6.654	2.184
6.696	2.154
6.738	2.124
6.780	2.095
6.821	2.065
6.861	2.035
6.901	2.005
6.941	1.975
6.980	1.945
7.019	1.914
7.059	1.884
7.099	1.854
7.139	1.824
7.179	1.794
7.221	1.764
7.262	1.735
7.305	1.705
7.349	1.676
7.393	1.647
7.439	1.618
7.486	1.590
7.533	1.562
7.582	1.534
7.631	1.507
7.680	1.481
7.730	1.455
7.780	1.430
7.830	1.406
7.880	1.383
7.930	1.361
7.979	1.340
8.028	1.319
8.077	1.301
8.125	1.283
8.172	1.267
8.218	1.252
8.263	1.238
8.308	1.225
8.352	1.213
8.395	1.203
8.438	1.193
8.481	1.184
8.523	1.176
8.565	1.169
8.607	1.162
8.649	1.155
8.691	1.149
8.733	1.143
8.775	1.138
8.816	1.133
8.857	1.129
8.897	1.126
8.935	1.125
8.972	1.125
9.006	1.126
9.039	1.129
9.069	1.134
9.097	1.142
9.121	1.151
9.142	1.163
9.161	1.177
9.176	1.194
9.189	1.212
9.199	1.233
9.207	1.255
9.212	1.279
9.215	1.306
9.215	1.334
9.213	1.363
9.209	1.394
9.203	1.427
9.195	1.461
9.185	1.496
9.174	1.533
9.160	1.570
9.145	1.609
9.129	1.649
9.112	1.690
9.094	1.732
9.075	1.775
9.055	1.819
9.036	1.863
9.015	1.908
8.995	1.955
8.975	2.001
8.956	2.049
8.937	2.096
8.918	2.145
8.900	2.194
8.883	2.243
8.866	2.292
8.849	2.342
8.833	2.391
8.818	2.441
8.803	2.491
8.788	2.540
8.774	2.589
8.760	2.638
8.746	2.687
8.733	2.735
8.720	2.782
8.707	2.829
8.694	2.875
8.682	2.919
8.670	2.962
8.657	3.003
8.645	3.042
8.632	3.078
8.618	3.112
8.605	3.142
8.590	3.168
8.575	3.190
8.559	3.209
8.543	3.223
8.527	3.236
8.513	3.249
8.499	3.263
8.489	3.281
8.481	3.303
8.476	3.330
8.473	3.360
8.471	3.392
8.470	3.425
8.468	3.457
8.465	3.488
8.460	3.516
8.452	3.541
8.441	3.560
8.427	3.576
8.411	3.588
8.392	3.598
8.371	3.607
8.350	3.615
8.328	3.624
8.305	3.632
8.281	3.641
8.257	3.648
8.232	3.655
8.207	3.661
8.182	3.665
8.157	3.668
8.132	3.669
8.107	3.668
8.083	3.665
8.061	3.660
8.040	3.654
8.022	3.645
8.005	3.635
7.990	3.624
7.974	3.613
7.957	3.601
7.937	3.591
7.912	3.582
7.883	3.575
7.849	3.569
7.812	3.566
7.771	3.564
7.727	3.563
7.681	3.564
7.634	3.567
7.586	3.570
7.538	3.575
7.490	3.580
7.444	3.587
7.399	3.594
7.356	3.602
7.316	3.610
7.277	3.619
7.239	3.628
7.203	3.637
7.167	3.647
7.132	3.657
7.097	3.668
7.061	3.679
7.025	3.689
6.987	3.700
6.948	3.712
6.907	3.723
6.865	3.734
6.822	3.745
6.779	3.756
6.734	3.768
6.690	3.779
6.645	3.790
6.601	3.801
6.556	3.812
6.513	3.823
6.470	3.833
6.429	3.844
6.389	3.854
6.350	3.864
6.312	3.873
6.276	3.882
6.242	3.890
6.208	3.897
6.177	3.902
6.146	3.906
6.118	3.909
6.090	3.910
6.065	3.908
6.040	3.905
6.017	3.900
5.994	3.892
5.972	3.882
5.951	3.869
5.930	3.853
5.909	3.835
5.888	3.814
5.866	3.792
5.844	3.768
5.821	3.744
5.797	3.720
5.772	3.697
5.745	3.675
5.717	3.655
5.687	3.637
5.655	3.622
5.623	3.608
5.591	3.595
5.560	3.583
5.531	3.571
5.504	3.558
5.480	3.543
5.461	3.527
5.447	3.507
5.437	3.486
5.432	3.462
5.429	3.437
5.429	3.411
5.431	3.386
5.434	3.361
5.436	3.338
5.439	3.316
5.440	3.296
5.440	3.276
5.439	3.256
5.436	3.237
5.431	3.217
5.425	3.196
5.420	3.174
5.415	3.151
5.413	3.128
5.415	3.103
5.422	3.076
